memo
TABLE,MstMissionEventDailyBonus
ENABLE,id,release_key,mst_event_id,mst_mission_reward_group_id,sort_order
e,event_you_00001_daily_bonus_1,202602010,event_you_00001,event_you_00001_daily_bonus_1,1
e,event_you_00001_daily_bonus_2,202602010,event_you_00001,event_you_00001_daily_bonus_2,2
e,event_you_00001_daily_bonus_3,202602010,event_you_00001,event_you_00001_daily_bonus_3,3
e,event_you_00001_daily_bonus_4,202602010,event_you_00001,event_you_00001_daily_bonus_4,4
e,event_you_00001_daily_bonus_5,202602010,event_you_00001,event_you_00001_daily_bonus_5,5
e,event_you_00001_daily_bonus_6,202602010,event_you_00001,event_you_00001_daily_bonus_6,6
e,event_you_00001_daily_bonus_7,202602010,event_you_00001,event_you_00001_daily_bonus_7,7
e,event_you_00001_daily_bonus_8,202602010,event_you_00001,event_you_00001_daily_bonus_8,8
e,event_you_00001_daily_bonus_9,202602010,event_you_00001,event_you_00001_daily_bonus_9,9
e,event_you_00001_daily_bonus_10,202602010,event_you_00001,event_you_00001_daily_bonus_10,10
e,event_you_00001_daily_bonus_11,202602010,event_you_00001,event_you_00001_daily_bonus_11,11
e,event_you_00001_daily_bonus_12,202602010,event_you_00001,event_you_00001_daily_bonus_12,12
e,event_you_00001_daily_bonus_13,202602010,event_you_00001,event_you_00001_daily_bonus_13,13
e,event_you_00001_daily_bonus_14,202602010,event_you_00001,event_you_00001_daily_bonus_14,14
