Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,作成者,確認者,承認状況,Unnamed: 8
,,,,,平野,,未承認,
ガシャ詳細,,,,,,,,承認・設計担当
ガシャ名,幼稚園WARS いいジャン祭ピックアップガシャ,,,,,,,企画
ガシャID,Pickup_you_001,,,,,,,
種別,ピックアップガシャ,,,,,,,
開催期間,2026-02-02 15:00:00,~,2026-03-02 10:59:59,,,,,企画
チケット設定,有,※BNEレギュレーションにより、すべてのガシャはチケットでひける前提で設定しなければならない。,,,,,,
チケット名,ピックアップガシャチケット,,,,,,,ガシャ
チケットID,ticket_glo_00003,,,,,,,ガシャ
チケット備考,チケットのまとめ引きは、最大10連です。所持枚数の最大が10枚以下の場合、まとめ引きの最大数もそれに準じます。,,,,,,,
広告視聴設定有無,無,,,,,,,
広告視聴リセット有無,無,,,,,,,
広告視聴リセット時間,,分,0時間,"24時間→1,440
48時間→2,880
72時間→4,320","・enable_add_ad_play_upper
・ad_play_interval_time",,,
"ガシャ開催期間中
繰返しリセットを行う",行わない,,,,,,,
天井設定,有,,,,,,,
天井回数,100,回目,,,,,,
確定枠設定,有,,,,,,,
確定枠詳細,10,枠目,,,,,,
有償無償合算使用可否,可,※有償プリズム限定の時→「否」にして下さい。基本は「可」です。,,,,,,
有償プリズム限定設定,無,,,,,,,
単発設定,有,,,,,,,
単発プリズム個数,150,個,※デフォルト：150個,,,,,
10連設定,有,,,,,,,
10連プリズム個数,1500,個,"※デフォルト：1,500個",,,,,
ガシャを引ける上限設定,無,,,,,,,
ガシャを引ける上限数,,連を,,まで,※例：30連を1回まで。お一人30連まで引くことができます。,,,
banner_URL,you_00001,,,,,,,企画
ガシャ一覧バナーID,gacha_banner_you_00001,,,,,,,企画
ホームバナーID,hometop_gacha_you_00001,,,,,,,企画
キャラのかけら変換個数,R：10,←デフォルト,,,,,,
,SR：10,,,,,,,
,SSR：20,,,,,,,
,UR ：50,,,,,,,
,ピックアップUR ：50,,,,,,,
備考,,,,,,,,
,,,,,,,,
,,,,,,,,
ガシャバナー用訴求文言,,,,,,,,
ガシャ訴求文言,"「元殺し屋の新人教諭 リタ」と「ルーク」
の出現率UP中!",,,,,,,
キャラ訴求文言,"必殺ワザで連続攻撃する中距離アタックキャラ!
緑属性に大ダメージ!",,,,,,,
ガシャマスター設定,,,,,,,,
①ガシャ訴求文言,"「元殺し屋の新人教諭 リタ」と「ルーク」
の出現率UP中!",,"・元殺し屋の新人教諭 リタ
・ルーク",OprGachaI18n,,,,ガシャ
②訴求キャラ/ID,元殺し屋の新人教諭 リタ,chara_you_00001,,,,,,ガシャ
③キャラ訴求文言,"必殺ワザで
連続攻撃する中距離
アタックキャラ!
緑属性に大ダメージ!",,,OprGachaDisplayUnitI18n,,,,レベデザ
②-1訴求キャラ/ID,ルーク,chara_you_00101,,,,,,ガシャ
③-1キャラ訴求文言,"必殺ワザで複数体の
相手にダメージを与え
相手を毒状態にする
テクニカルキャラ!",,,,,,,レベデザ
④天井表示,ピックアップURキャラ1体確定!,,,OprGachaI18n,※緑色の文字,,,ガシャ
ラインナップ,,,,,,,,ガシャ
,,,,,,,,
,設定確率,ラインナップ数,重み合計,1体の重み,,,,
ピックアップUR,0.0075,1,702,702,,,,
UR,0.0225,13,2106,162,,,,
ピックアップSSR,0.015,1,1404,1404,,,,
SSR,0.085,9,7956,884,,,,
SR,0.35,10,32760,3276,,,,
R,0.52,9,48672,5408,,,,
合計,1,43,93600,,,,,
,,43,,,,,,
,,,,,,,,
キャラID,キャラ名,レアリティ,waight,確率（項目単体単位）,確率（レアリティ単位）,,,
chara_you_00001,元殺し屋の新人教諭 リタ,ピックアップUR,702,0.0075,0.0075,※ピックアップは1体0.75を基本とする,,
chara_spy_00101,<黄昏> ロイド,UR,162,0.00173,0.0225,,,
chara_spy_00201,<いばら姫> ヨル,UR,162,0.00173,,,,
chara_spy_00001,わくわく アーニャ,UR,162,0.00173,,,,
chara_dan_00002,ターボババアの霊力 オカルン,UR,162,0.00173,,,,
chara_gom_00001,囚われの王女 姫様,UR,162,0.00173,,,,
chara_chi_00002,悪魔が恐れる悪魔 チェンソーマン,UR,162,0.00173,,,,
chara_kai_00002,隠された英雄の姿 怪獣８号,UR,162,0.00173,,,,
chara_yuw_00001,リリエルに捧ぐ愛 天乃 リリサ,UR,162,0.00173,,,,
chara_yuw_00101,コスプレに託す乙女心 橘 美花莉,UR,162,0.00173,,,,
chara_sur_00101,誇り高き魔都の剣姫 羽前 京香,UR,162,0.00173,,,,
chara_jig_00001,がらんの画眉丸,UR,162,0.00173,,,,
chara_mag_00001,新人魔法少女 桜木 カナ,UR,162,0.00173,,,,
chara_sum_00101,影のウシオ 小舟 潮,UR,162,0.00173,,,,
chara_you_00101,ルーク,ピックアップSSR,1404,0.015,0.015,,,
chara_dan_00101,モモ,SSR,884,0.00944,0.085,,,
chara_chi_00201,早川 アキ,SSR,884,0.00944,,,,
chara_chi_00301,パワー,SSR,884,0.00944,,,,
chara_kai_00301,四ノ宮 キコル,SSR,884,0.00944,,,,
chara_ron_00001,鴨乃橋 ロン,SSR,884,0.00944,,,,
chara_aha_00101,阿波連 れいな,SSR,884,0.00944,,,,
chara_jig_00101,山田浅ェ門 佐切,SSR,884,0.00944,,,,
chara_dos_00001,冬木 美波,SSR,884,0.00944,,,,
chara_dos_00101,秋野 沙友理,SSR,884,0.00944,,,,
chara_gom_00101,トーチャー・トルチュール,SR,3276,0.035,0.35,,,
chara_bat_00001,清峰 葉流火,SR,3276,0.035,,,,
chara_bat_00101,要 圭,SR,3276,0.035,,,,
chara_kai_00101,市川 レノ,SR,3276,0.035,,,,
chara_sur_00201,東 日万凛,SR,3276,0.035,,,,
chara_sur_00301,駿河 朱々,SR,3276,0.035,,,,
chara_aha_00001,ライドウ,SR,3276,0.035,,,,
chara_jig_00301,山田浅ェ門 仙汰,SR,3276,0.035,,,,
chara_mag_00101,越谷 仁美,SR,3276,0.035,,,,
chara_sum_00201,小舟 澪,SR,3276,0.035,,,,
chara_aka_00001,佐々木,R,5408,0.05777,0.52,,,
chara_aka_00101,文蔵,R,5408,0.05777,,,,
chara_rik_00001,リコピン,R,5408,0.05777,,,,
chara_ron_00101,一色 都々丸,R,5408,0.05777,,,,
chara_dan_00001,オカルン,R,5408,0.05777,,,,
chara_chi_00001,デンジ,R,5408,0.05777,,,,
chara_kai_00001,日比野 カフカ,R,5408,0.05777,,,,
chara_sur_00001,和倉 優希,R,5408,0.05777,,,,
chara_sum_00001,網代 慎平,R,5408,0.05777,,,,
,,,,0.99988,1,,,
,,,,,,,,
SR確定枠確率ラインナップ,,,,,,,,
,,,,,,,,
,設定確率,ラインナップ数,重み合計,1体の重み,,,,
ピックアップUR,0.0075,1,1755,1755,,,,
UR,0.0225,13,5265,405,,,,
ピックアップSSR,0.015,1,3510,3510,,,,
SSR,0.085,9,19890,2210,,,,
SR,0.87,10,203580,20358,,,,
,,,,,,,,
合計,1,34,234000,,,,,
,,34,,,,,,
,,,,,,,,
キャラID,キャラ名,"レアリティ/
ピックアップ",waight,確率（項目単体単位）,確率（レアリティ単位）,,,
chara_you_00001,元殺し屋の新人教諭 リタ,ピックアップUR,1755,0.0075,0.0075,,,
chara_spy_00101,<黄昏> ロイド,UR,405,0.00173,0.0225,,,
chara_spy_00201,<いばら姫> ヨル,UR,405,0.00173,,,,
chara_spy_00001,わくわく アーニャ,UR,405,0.00173,,,,
chara_dan_00002,ターボババアの霊力 オカルン,UR,405,0.00173,,,,
chara_gom_00001,囚われの王女 姫様,UR,405,0.00173,,,,
chara_chi_00002,悪魔が恐れる悪魔 チェンソーマン,UR,405,0.00173,,,,
chara_kai_00002,隠された英雄の姿 怪獣８号,UR,405,0.00173,,,,
chara_yuw_00001,リリエルに捧ぐ愛 天乃 リリサ,UR,405,0.00173,,,,
chara_yuw_00101,コスプレに託す乙女心 橘 美花莉,UR,405,0.00173,,,,
chara_sur_00101,誇り高き魔都の剣姫 羽前 京香,UR,405,0.00173,,,,
chara_jig_00001,がらんの画眉丸,UR,405,0.00173,,,,
chara_mag_00001,新人魔法少女 桜木 カナ,UR,405,0.00173,,,,
chara_sum_00101,影のウシオ 小舟 潮,UR,405,0.00173,,,,
chara_you_00101,ルーク,ピックアップSSR,3510,0.015,0.015,,,
chara_dan_00101,モモ,SSR,2210,0.00944,0.085,,,
chara_chi_00201,早川 アキ,SSR,2210,0.00944,,,,
chara_chi_00301,パワー,SSR,2210,0.00944,,,,
chara_kai_00301,四ノ宮 キコル,SSR,2210,0.00944,,,,
chara_ron_00001,鴨乃橋 ロン,SSR,2210,0.00944,,,,
chara_aha_00101,阿波連 れいな,SSR,2210,0.00944,,,,
chara_jig_00101,山田浅ェ門 佐切,SSR,2210,0.00944,,,,
chara_dos_00001,冬木 美波,SSR,2210,0.00944,,,,
chara_dos_00101,秋野 沙友理,SSR,2210,0.00944,,,,
chara_gom_00101,トーチャー・トルチュール,SR,20358,0.087,0.87,,,
chara_bat_00001,清峰 葉流火,SR,20358,0.087,,,,
chara_bat_00101,要 圭,SR,20358,0.087,,,,
chara_kai_00101,市川 レノ,SR,20358,0.087,,,,
chara_sur_00201,東 日万凛,SR,20358,0.087,,,,
chara_sur_00301,駿河 朱々,SR,20358,0.087,,,,
chara_aha_00001,ライドウ,SR,20358,0.087,,,,
chara_jig_00301,山田浅ェ門 仙汰,SR,20358,0.087,,,,
chara_mag_00101,越谷 仁美,SR,20358,0.087,,,,
chara_sum_00201,小舟 澪,SR,20358,0.087,,,,
,,,,0.99995,1,,,
