Unnamed: 0,ショップ_ショップタブ商品一覧,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
,◼︎リリース時設定可能な項目（要約）,,,,,,,,,,
,"▼ショップ
・プリズム
→購入期限の設定可能
→購入上限数の設定可能
→商品購入に使用できるリソースは以下
現金

・デイリー/ウィークリー/コイン
→プリズム、コイン、アイテムをラインナップとして設定可能
→購入期限はデイリー（毎日04:00）、ウィークリー（毎週月曜日04:00）でリセット
→購入上限数の設定可能
→商品購入/交換時に使用できるリソースは以下
有償無償プリズムの合算（無償から優先的に使用される）,コイン,広告視聴,無料",,,,"▼パック・パス
→購入期限の設定可能
→購入上限数の設定可能
→商品購入に使用できるリソースは以下
現金",,,,,,
,"追加する必要がある機能
・パックの購入方法の追加
有償無償プリズムの合算（無償から優先的に使用される）,広告視聴,無料

・デイリー/ウィークリーの帯分けの追加（自動リセット販売が可能）
この購入方法の場合、バナーは消えず残り続ける
→パック一覧から商品バナーが1つも表示されないことがないようにするため",,,,,,,,,,
,A列で🟥になっているものは、開発追加対応をします。QAから修正依頼がきている内容もありますので、そこと合わせてで対応します。,,,,,,,,,,
,,,,,,,,,,,
,◆プリズム,,,,,,,,,,
,▼恒常販売,,,,,,,,,,
,単発150、10連ガシャ1500のプリズムが必要想定,,,,,,,,,,
,標準価格、ガシャ単価300円、最安値280円程度（モンスト水準）,,,,,,,,,,
,■購入可能回数,無制限,,,,,,,,,
,■販売期間,2025-09-22 12:00:00,〜,無期限,,,,,,,
,,金額,1個当たり,有償/無償,,ガシャ単価,,,,,
,個数,（日本円）,（日本円）,有償分,無償分,（日本円）,差分,割引率,購入可能回数,,
,1,2,2,,,300,,,,,
,80,160,2,,,300,0,0,無制限,,
,240,480,2,,,300,0,0,無制限,,
,510,1000,1.960784314,,,294.1176471,-5.882352941,0.01960784314,無制限,,
,1560,3000,1.923076923,,,288.4615385,-5.656108597,0.03846153846,無制限,,
,2600,4900,1.884615385,,,282.6923077,-5.769230769,0.05769230769,無制限,,
,5400,10000,1.851851852,,,277.7777778,-4.914529915,0.07407407407,無制限,,
,,,,,,,,,,,
,▼期間限定販売：通常のものと合わせて販売、リリース記念で販売,,,,,,,,,,
,■購入可能回数,1～3,,,,,,,,,
,■販売期間,2025-09-22 12:00:00,〜,2025-10-31 11:59:00,,,,,,,
,,金額,1個当たり,有償/無償,,ガシャ単価,,,,,
,個数,（日本円）,（日本円）,有償分,無償分,（日本円）,差分,割引率,購入可能回数,,
,1,2,2,,,300,,,,,
,160,160,1,,,150,-150,0.5,3,,
,480,480,1,,,150,0,0,3,,
,1020,1000,0.9803921569,,,147.0588235,-2.941176471,0.01960784314,1,,
,3120,3000,0.9615384615,,,144.2307692,-2.828054299,0.5192307692,1,,
,5200,4900,0.9423076923,,,141.3461538,-2.884615385,0.5288461538,1,,
,10800,10000,0.9259259259,,,138.8888889,-2.457264957,0.537037037,1,,
,"※アニバーサリーなどの特別なイベントで販売する特別割引プリズム
通常時とお値段変わらず、個数が倍になっている＝50％OFF
HOYOBAのゲームなどを参考に
ウマ娘や学マスも最近結構割引高い商品を出すようになっていることもあり",,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,◆デイリー,,,,,,◆ウィークリー,,,,
,■販売期間,2025-09-22 12:00:00,〜,無期限,,,■販売期間,2025-09-22 12:00:00,〜,無期限,
,アイテム名,個数,対価,"必要リソース数
(視聴回数)
(個数)",1日の上限数,,アイテム名,個数,対価,"必要リソース数
(視聴回数)
(個数)",1週間の上限数
,プリズム,20,広告視聴,1回,1回,,プリズム,30,広告視聴,1回,1回
,カラーメモリー・グレー,100,プリズムで購入,10個,1回,,ピックアップガシャチケット,1,広告視聴,1回,1回
,カラーメモリー・レッド,100,プリズムで購入,10個,1回,,ランクマッチチケット,1,プリズムで購入,30個,5回
,カラーメモリー・グリーン,100,プリズムで購入,10個,1回,,メモリーフラグメント・初級,5,プリズムで購入,25個,6回
,カラーメモリー・ブルー,100,プリズムで購入,10個,1回,,メモリーフラグメント・中級,5,プリズムで購入,35個,2回
,カラーメモリー・イエロー,100,プリズムで購入,10個,1回,,メモリーフラグメント・上級,1,プリズムで購入,15個,1回
,ランクマッチチケット,1,プリズムで購入,30個,1回,,,,,,
,,,,,,,毎週2体はLv.上限40開放できるぐらいの塩梅,,,,
,,,,,,,コインでアイテム交換できるようにするとただでさえ足りない設計なので、コインを使うのはやめました,,,,
,◆コイン,設計書,,,,,,,,,
,■販売期間,2025-09-22 12:00:00,〜,無期限,,,,,,,
,アイテム名,個数,対価,必要リソース数,1日の上限数,,,,,,
,コイン,3000,無料,1,1,,,,,,
,,3000,広告視聴,1,2,,,,,,
,,,,,,,,,,,
,パックラインナップ_一覧,,,,,,,,,,
,"・割引率の上限：通常販売のものは「55%まで」、購入制限があるものは「80%まで」が割引上限（セール上限）となります。
※上記以上の割引率での提供を行いたい場合はBNEプロデューサーへご相談ください。",,,,,,,,,,
,,,,,,,,,,,
,◆【毎日更新】強化パック,,,,,,,,,,
,,,,,,,,,,,
,■ID,,,,パック画面のへの誘導先として。広告視聴で購入可能。,,,,,,
,■合計価格(税込),0,,,→広告見せるか無料ボタンタップのみで購入できるようにするかは御社内でご意見いただけますと幸いです。,,,,,,
,■税別価格,0,,,"→（BNEより）1回目は無料,2回目は広告視聴で返答済み",,,,,,
,■割引価格(税込)=販売価格,0,■割引率,#DIV/0!,,,,,,,
,■税別割引価格,0,,,,,,,,,
,■購入可能回数,2,"⇦毎日リセット。(1回目は無料,2回目は広告視聴)",,,,,,,,
,■販売期間,2025-09-22 12:00:00,〜,無期限,,,,,,,
,,,,,,,,,,,
,名称,有効期限・オマケ,受け取り期限,個数,有償分,無償分(オマケ),単価,価格,おまけ,,
,カラーメモリー・グレー,無償販売,(無期限),10,0,10,0.27,0,2.7,,
,カラーメモリー・レッド,無償販売,(無期限),10,0,10,0.27,0,2.7,,
,カラーメモリー・グリーン,無償販売,(無期限),10,0,10,0.27,0,2.7,,
,カラーメモリー・ブルー,無償販売,(無期限),10,0,10,0.27,0,2.7,,
,カラーメモリー・イエロー,無償販売,(無期限),10,0,10,0.27,0,2.7,,
,コイン,無償販売,(無期限),1000,0,1000,0.01,0,10,,
,,,,,,合計,,0,23.5,,
,,,,,,割引後価格,,0,▼無償報酬の割合,,
,,,,,,割引,,,#DIV/0!,,
