Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,作成者,確認者,承認状況
,,,,,,平野,,未承認
◆【お一人様1回まで購入可】いいジャン祭パック（販売するかどうかは要検討）,,,,,,,,
,,,,,,,,
■ID,,,,,,,,
■store_product_id,,,,,,,,
■Biling ID（ios）,,,,,,,,
■Biling ID（aos）,,,,,,,,
■基準価格(税込),4040,,,,,,,
■税別価格,3672.727273,,,,,,,
■割引価格(税込),3000,■割引率,0.2574257426,,,,,
■税別割引価格,2727.272727,,,,,,,
■購入可能回数,1,⇦いいジャン祭の開催に合わせて再販（2週間に1回）、お一人様1回まで購入可能,,,,,,
■販売期間,2026-02-02 15:00:00,〜,2026-02-16 10:59:59,,,,,
,,,,,,,,
名称,有効期限・オマケ,受け取り期限,個数,有償分,無償分(オマケ),単価,価格,おまけ
メモリーフラグメント・初級,有償販売,(無期限),50,50,0,10,500,0
メモリーフラグメント・中級,有償販売,(無期限),30,30,0,15,450,0
メモリーフラグメント・上級,有償販売,(無期限),3,3,0,30,90,0
ピックアップガシャチケット,有償販売,(無期限),10,10,0,300,3000,0
,,,,,合計,,4040,0
,,,,,割引後価格,,3000,▼無償報酬の割合
,,,,,割引,,0.2574257426,0
