Unnamed: 0,04_ミッション,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
,,,,,,,,,,,,,,,,,
,◆いいジャン祭ミッション,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,項目,内容,,,,,,,,,,,,,,,
,施策名称,幼稚園WARS いいジャン祭 特別ミッション,,,,,,,,,,,,,,,
,開催期間,2026-02-02 15:00:00,〜,2026-03-02 10:59:00.096000,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,ミッション内容,プリズム,コイン,ピックアップガシャチケット,スペシャルガシャチケット,メモリーフラグメント・初級,メモリーフラグメント・中級,メモリーフラグメント・上級,カラーメモリー・レッド,カラーメモリー・グリーン,カラーメモリー・イエロー,カラーメモリー・ブルー,カラーメモリー・グレー,ハナのかけら,ダグのかけら,ハナのカラーメモリー,ダグのカラーメモリー
,ダグ をグレード2まで強化しよう,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200
,ダグ をグレード3まで強化しよう,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300
,ダグ をグレード4まで強化しよう,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350
,ダグ をグレード5まで強化しよう,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,ダグ をLv.20まで強化しよう,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
,ダグ をLv.30まで強化しよう,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
,ダグ をLv.40まで強化しよう,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
,ダグ をLv.50まで強化しよう,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
,ダグ をLv.60まで強化しよう,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0
,ダグ をLv.70まで強化しよう,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
,ダグ をLv.80まで強化しよう,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,ハナ をグレード2まで強化しよう,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0
,ハナ をグレード3まで強化しよう,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0
,ハナ をグレード4まで強化しよう,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350,0
,ハナ をグレード5まで強化しよう,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,ハナ をLv.20まで強化しよう,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
,ハナ をLv.30まで強化しよう,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0
,ハナ をLv.40まで強化しよう,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0
,ハナ をLv.50まで強化しよう,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,
,ハナ をLv.60まで強化しよう,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,
,ハナ をLv.70まで強化しよう,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
,ハナ をLv.80まで強化しよう,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,ストーリークエスト「先輩は敬いたまえ」をクリアしよう,0,12500,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,ストーリークエスト「兄を助けてくれないか？」をクリアしよう,0,12500,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,チャレンジクエスト「世界一安全な幼稚園」をクリアしよう,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
,高難易度「正義だけじゃ何も守れない」をクリアしよう,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,敵を10体撃破しよう,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
,敵を20体撃破しよう,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
,敵を30体撃破しよう,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
,敵を40体撃破しよう,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
,敵を50体撃破しよう,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
,敵を60体撃破しよう,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
,敵を70体撃破しよう,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
,敵を80体撃破しよう,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
,敵を90体撃破しよう,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
,敵を100体撃破しよう,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
,敵を150体撃破しよう,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
,敵を200体撃破しよう,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
,敵を300体撃破しよう,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,報酬合計数,100,25000,4,3,30,20,5,0,0,0,0,0,100,100,850,850
