Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,作成者,確認者,承認状況,Unnamed: 8
,,,,,平野,,社内承認済,
ガシャ詳細,,,,,,,,承認・設計担当
ガシャ名,バレンタインガシャ,,,,,,,企画
ガシャID,,,,,,,,
種別,ピックアップガシャ,,,,,,,
開催期間,2026-02-10 15:00:00,~,2026-03-02 10:59:59,,,,,企画
チケット設定,有,※BNEレギュレーションにより、すべてのガシャはチケットでひける前提で設定しなければならない。,,,,,,
チケット名,バレンタインガシャチケット,,,,,,,ガシャ
チケットID,ticket_glo_10002,,,,,,,ガシャ
チケット備考,チケットのまとめ引きは、最大10連です。所持枚数の最大が10枚以下の場合、まとめ引きの最大数もそれに準じます。,,,,,,,
広告視聴設定有無,無,,,,,,,
広告視聴リセット有無,無,,,,,,,
広告視聴リセット時間,,分,0時間,"24時間→1,440
48時間→2,880
72時間→4,320","・enable_add_ad_play_upper
・ad_play_interval_time",,,
"ガシャ開催期間中
繰返しリセットを行う",行わない,,,,,,,
天井設定,有,,,,,,,
天井回数,100,回目,,,,,,
確定枠設定,有,,,,,,,
確定枠詳細,10,枠目,,,,,,
有償無償合算使用可否,可,※有償プリズム限定の時→「否」にして下さい。基本は「可」です。,,,,,,
有償プリズム限定設定,無,,,,,,,
単発設定,有,,,,,,,
単発プリズム個数,150,個,※デフォルト：150個,,,,,
10連設定,有,,,,,,,
10連プリズム個数,1500,個,"※デフォルト：1,500個",,,,,
ガシャを引ける上限設定,無,,,,,,,
ガシャを引ける上限数,,連を,,まで,※例：30連を1回まで。お一人30連まで引くことができます。,,,
banner_URL,glo_00006,,,,,,,企画
ガシャ一覧バナーID,gacha_banner_glo_00006,,,,,,,企画
ホームバナーID,hometop_gacha_glo_00006,,,,,,,企画
キャラのかけら変換個数,R：10,←デフォルト,,,,,,
,SR：10,,,,,,,
,SSR：20,,,,,,,
,UR ：50,,,,,,,
,ピックアップUR ：50,,,,,,,
備考,中身は女の子キャラのみ,,,,,,,
,女の子キャラ縛りの関係でSR以上しか出ない,,,,,,,
,10枠目はSSR確定にして引きとしている,,,,,,,
,期間内遊んで(ミッションやログボ)チケットがもらえるから引きやすいガシャのポジション。どうしても女の子欲しい人はプリズムでも引けるよ,,,,,,,
,,,,,,,,
ガシャバナー用訴求文言,,,,,,,,
ガシャ訴求文言,"バレンタインガシャチケットでも引ける!
女の子のみ登場ガシャ!",,,,,,,
キャラ訴求文言,"前線の維持に特化したサポートキャラ!
必殺ワザで味方の被ダメージを軽減! ",,,,,,,
ガシャマスター設定,,,,,,,,
①ガシャ訴求文言,"バレンタインガシャチケットでも引ける!
女の子のみ登場ガシャ!",,,OprGachaI18n,,,,ガシャ
②訴求キャラ/ID,影のウシオ 小舟 潮,chara_sum_00101,,,,,,ガシャ
③キャラ訴求文言,"前線の維持に特化した
サポートキャラ!
必殺ワザで味方の
被ダメージを軽減! ",,,OprGachaDisplayUnitI18n,,,,レベデザ
②-1訴求キャラ/ID,囚われの王女 姫様,chara_gom_00001,,,,,,ガシャ
③-1キャラ訴求文言,"必殺ワザと特性で
耐久性抜群の
ディフェンスキャラ!",,,,,,,レベデザ
②-1訴求キャラ/ID,パワー,chara_chi_00301,,,,,,
③-1キャラ訴求文言,"必殺ワザで複数の相手
にダメージを与える!
赤属性の相手に
大ダメージ!",,,,,,,
②-1訴求キャラ/ID,冬木 美波,chara_dos_00001,,,,,,
③-1キャラ訴求文言,"前線を支える遠距離
サポートキャラ!
攻撃UPで戦況を有利
に導くことができるぞ                                                                                                                                                        ",,,,,,,
④天井表示,ピックアップURキャラ1体確定!,,,OprGachaI18n,※緑色の文字,,,ガシャ
ラインナップ,,,,,,,,
,,,,,,,,
,設定確率,ラインナップ数,重み合計,1体の重み,,,,
UR,0.03,8,840,105,,,,
SSR,0.1,7,2800,400,,,,
SR,0.87,5,24360,4872,,,,
合計,1,20,28000,,,,,
,,,,,,,,
,,,,,,,,
キャラID,キャラ名,"レアリティ/
ピックアップ",waight,確率（項目単体単位）,確率（レアリティ単位）,,,
chara_spy_00201,<いばら姫> ヨル,UR,105,0.00375,0.03,,,
chara_spy_00001,わくわく アーニャ,UR,105,0.00375,,,,
chara_gom_00001,囚われの王女 姫様,UR,105,0.00375,,,,
chara_yuw_00001,リリエルに捧ぐ愛 天乃 リリサ,UR,105,0.00375,,,,
chara_yuw_00101,コスプレに託す乙女心 橘 美花莉,UR,105,0.00375,,,,
chara_sur_00101,誇り高き魔都の剣姫 羽前 京香,UR,105,0.00375,,,,
chara_mag_00001,新人魔法少女 桜木 カナ,UR,105,0.00375,,,,
chara_sum_00101,影のウシオ 小舟 潮,UR,105,0.00375,,,,
chara_dan_00101,モモ,SSR,400,0.01428,0.1,,,
chara_chi_00301,パワー,SSR,400,0.01428,,,,
chara_kai_00301,四ノ宮 キコル,SSR,400,0.01428,,,,
chara_aha_00101,阿波連 れいな,SSR,400,0.01428,,,,
chara_jig_00101,山田浅ェ門 佐切,SSR,400,0.01428,,,,
chara_dos_00001,冬木 美波,SSR,400,0.01428,,,,
chara_dos_00101,秋野 沙友理,SSR,400,0.01428,,,,
chara_gom_00101,トーチャー・トルチュール,SR,4872,0.174,0.87,,,
chara_sur_00201,東 日万凛,SR,4872,0.174,,,,
chara_sur_00301,駿河 朱々,SR,4872,0.174,,,,
chara_mag_00101,越谷 仁美,SR,4872,0.174,,,,
chara_sum_00201,小舟 澪,SR,4872,0.174,,,,
,,,,0.99996,1,,,
,,,,,,,,
SSR確定枠確率ラインナップ,,,,,,,,
,,,,,,,,
,設定確率,ラインナップ数,重み合計,1体の重み,,,,
UR,0.03,8,168,21,,,,
SSR,0.97,7,5432,776,,,,
合計,1,15,5600,,,,,
,,,,,,,,
,,,,,,,,
キャラID,キャラ名,"レアリティ/
ピックアップ",waight,確率（項目単体単位）,確率（レアリティ単位）,,,
chara_spy_00201,<いばら姫> ヨル,UR,105,0.00375,0.03,,,
chara_spy_00001,わくわく アーニャ,UR,105,0.00375,,,,
chara_gom_00001,囚われの王女 姫様,UR,105,0.00375,,,,
chara_yuw_00001,リリエルに捧ぐ愛 天乃 リリサ,UR,105,0.00375,,,,
chara_yuw_00101,コスプレに託す乙女心 橘 美花莉,UR,105,0.00375,,,,
chara_sur_00101,誇り高き魔都の剣姫 羽前 京香,UR,105,0.00375,,,,
chara_mag_00001,新人魔法少女 桜木 カナ,UR,105,0.00375,,,,
chara_sum_00101,影のウシオ 小舟 潮,UR,105,0.00375,,,,
chara_dan_00101,モモ,SSR,400,0.13857,0.97,,,
chara_chi_00301,パワー,SSR,400,0.13857,,,,
chara_kai_00301,四ノ宮 キコル,SSR,400,0.13857,,,,
chara_aha_00101,阿波連 れいな,SSR,400,0.13857,,,,
chara_jig_00101,山田浅ェ門 佐切,SSR,400,0.13857,,,,
chara_dos_00001,冬木 美波,SSR,400,0.13857,,,,
chara_dos_00101,秋野 沙友理,SSR,400,0.13857,,,,
,,,,0.99624,1,,,
