Unnamed: 0,"クリエイティブ一覧
https://docs.google.com/spreadsheets/d/1s-5R4ijjb7AXckYDBmqBgHFsZzbOPVe_SvX3hlK5Fdw/edit?gid=576303298#gid=5763032981",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
,"監修資料（監修ち提出後にリンクを貼る）
",,,,,,,,,,,,,,,
,項目,仕様/補足,数量,工数, 画像,規格,"アップ先
S3/AB","画像ID
（PLAN側に確認）
！アイテムIDとは違うので記載注意！","監修
ステータス","BNE様へ
PSDデータ提出
","デザイナー
担当者",制作ステータス,"命名規則
※[ ]内はマスターデータ・運用単位で命名が変化します",,,
,新規アイテム,,,,,,,,,,,,,,,
,【カラーメモリー】,"・ダグのメモリー
　グリーンカラーメモリー
　item_icon_memory_chara_you_00201",1,0.1,,150×150,AB,item_icon_memory_chara_you_00201,,提出不要,江村,,stage_icon_[:asset_key],,,
,,"・ハナのメモリー
　ブルーカラーメモリー
　item_icon_memory_chara_you_00301",1,,,150×150,AB,item_icon_memory_chara_you_00301,,提出不要,江村,,stage_icon_[:asset_key],,,
,【ガシャチケット】,バレンタインガシャチケット,1,,,150×150,AB,item_icon_ticket_glo_10002,監修不要,提出不要,,,stage_icon_[:asset_key],,,
,エンブレム,,,,,,,,,,,,,,,
,【降臨バトルエンブレム】,"元・伝説の殺し屋
emblem_icon_adventbattle_you_season01_00001",6,0.1,,120×120,AB,emblem_icon_adventbattle_you_season01_00001,,PNG提出必要,江村,,emblem_icon_[:asset_key],,,
,,emblem_icon_adventbattle_you_season01_00002,,,,120×120,AB,emblem_icon_adventbattle_you_season01_00002,,PNG提出必要,江村,,emblem_icon_[:asset_key],,,
,,emblem_icon_adventbattle_you_season01_00003,,,,120×120,AB,emblem_icon_adventbattle_you_season01_00003,,PNG提出必要,江村,,emblem_icon_[:asset_key],,,0.0
,,emblem_icon_adventbattle_you_season01_00004,,,,120×120,AB,emblem_icon_adventbattle_you_season01_00004,,PNG提出必要,江村,,emblem_icon_[:asset_key],,,0.0
