memo
TABLE,MstMissionReward,MstMissionReward,MstMissionReward,MstMissionReward,MstMissionReward,MstMissionReward,MstMissionReward
ENABLE,id,release_key,group_id,resource_type,resource_id,resource_amount,sort_order
e,kindergarten_wars_reward_001_1,202602020,kindergarten_wars_reward_001,Item,item_unit_color_memory_dug,200,1
e,kindergarten_wars_reward_002_1,202602020,kindergarten_wars_reward_002,Item,item_unit_color_memory_dug,300,1
e,kindergarten_wars_reward_003_1,202602020,kindergarten_wars_reward_003,Item,item_unit_color_memory_dug,350,1
e,kindergarten_wars_reward_004_1,202602020,kindergarten_wars_reward_004,Item,item_gacha_ticket_pickup,1,1
e,kindergarten_wars_reward_005_1,202602020,kindergarten_wars_reward_005,Item,item_unit_piece_dug,10,1
e,kindergarten_wars_reward_006_1,202602020,kindergarten_wars_reward_006,Item,item_unit_piece_dug,20,1
e,kindergarten_wars_reward_007_1,202602020,kindergarten_wars_reward_007,Item,item_unit_piece_dug,20,1
e,kindergarten_wars_reward_008_1,202602020,kindergarten_wars_reward_008,Item,item_unit_piece_dug,20,1
e,kindergarten_wars_reward_009_1,202602020,kindergarten_wars_reward_009,Item,item_unit_piece_dug,30,1
e,kindergarten_wars_reward_010_1,202602020,kindergarten_wars_reward_010,Item,item_memory_fragment_high,1,1
e,kindergarten_wars_reward_011_1,202602020,kindergarten_wars_reward_011,FreeDiamond,__NULL__,50,1
e,kindergarten_wars_reward_012_1,202602020,kindergarten_wars_reward_012,Item,item_unit_color_memory_hana,200,1
e,kindergarten_wars_reward_013_1,202602020,kindergarten_wars_reward_013,Item,item_unit_color_memory_hana,300,1
e,kindergarten_wars_reward_014_1,202602020,kindergarten_wars_reward_014,Item,item_unit_color_memory_hana,350,1
e,kindergarten_wars_reward_015_1,202602020,kindergarten_wars_reward_015,Item,item_gacha_ticket_pickup,1,1
e,kindergarten_wars_reward_016_1,202602020,kindergarten_wars_reward_016,Item,item_unit_piece_hana,10,1
e,kindergarten_wars_reward_017_1,202602020,kindergarten_wars_reward_017,Item,item_unit_piece_hana,20,1
e,kindergarten_wars_reward_018_1,202602020,kindergarten_wars_reward_018,Item,item_unit_piece_hana,20,1
e,kindergarten_wars_reward_019_1,202602020,kindergarten_wars_reward_019,Item,item_unit_piece_hana,20,1
e,kindergarten_wars_reward_020_1,202602020,kindergarten_wars_reward_020,Item,item_unit_piece_hana,30,1
e,kindergarten_wars_reward_021_1,202602020,kindergarten_wars_reward_021,Item,item_memory_fragment_high,1,1
e,kindergarten_wars_reward_022_1,202602020,kindergarten_wars_reward_022,FreeDiamond,__NULL__,50,1
e,kindergarten_wars_reward_023_1,202602020,kindergarten_wars_reward_023,Coin,__NULL__,12500,1
e,kindergarten_wars_reward_024_1,202602020,kindergarten_wars_reward_024,Coin,__NULL__,12500,1
e,kindergarten_wars_reward_025_1,202602020,kindergarten_wars_reward_025,Item,item_gacha_ticket_special,3,1
e,kindergarten_wars_reward_026_1,202602020,kindergarten_wars_reward_026,Item,item_gacha_ticket_pickup,1,1
e,kindergarten_wars_reward_027_1,202602020,kindergarten_wars_reward_027,Item,item_memory_fragment_low,5,1
e,kindergarten_wars_reward_028_1,202602020,kindergarten_wars_reward_028,Item,item_memory_fragment_low,5,1
e,kindergarten_wars_reward_029_1,202602020,kindergarten_wars_reward_029,Item,item_memory_fragment_low,5,1
e,kindergarten_wars_reward_030_1,202602020,kindergarten_wars_reward_030,Item,item_memory_fragment_low,5,1
e,kindergarten_wars_reward_031_1,202602020,kindergarten_wars_reward_031,Item,item_memory_fragment_low,10,1
e,kindergarten_wars_reward_032_1,202602020,kindergarten_wars_reward_032,Item,item_memory_fragment_mid,5,1
e,kindergarten_wars_reward_033_1,202602020,kindergarten_wars_reward_033,Item,item_memory_fragment_mid,5,1
e,kindergarten_wars_reward_034_1,202602020,kindergarten_wars_reward_034,Item,item_memory_fragment_mid,5,1
e,kindergarten_wars_reward_035_1,202602020,kindergarten_wars_reward_035,Item,item_memory_fragment_mid,5,1
e,kindergarten_wars_reward_036_1,202602020,kindergarten_wars_reward_036,Item,item_memory_fragment_high,1,1
e,kindergarten_wars_reward_037_1,202602020,kindergarten_wars_reward_037,Item,item_memory_fragment_high,1,1
e,kindergarten_wars_reward_038_1,202602020,kindergarten_wars_reward_038,Item,item_memory_fragment_high,1,1
e,kindergarten_wars_reward_039_1,202602020,kindergarten_wars_reward_039,Item,item_gacha_ticket_pickup,1,1
