memo
TABLE,MstAdventBattleReward,MstAdventBattleReward,MstAdventBattleReward,MstAdventBattleReward,MstAdventBattleReward,MstAdventBattleReward
ENABLE,id,mst_advent_battle_reward_group_id,resource_type,resource_id,resource_amount,release_key
e,quest_you_00001_ranking_1_reward_1,quest_you_00001_ranking_1,Emblem,emblem_you_00001,1,202602010
e,quest_you_00001_ranking_1_reward_2,quest_you_00001_ranking_1,FreeDiamond,__NULL__,1000,202602010
e,quest_you_00001_ranking_1_reward_3,quest_you_00001_ranking_1,Coin,__NULL__,100000,202602010
e,quest_you_00001_ranking_1_reward_4,quest_you_00001_ranking_1,Item,item_gacha_ticket_special,5,202602010
e,quest_you_00001_ranking_2_reward_1,quest_you_00001_ranking_2,Emblem,emblem_you_00001,1,202602010
e,quest_you_00001_ranking_2_reward_2,quest_you_00001_ranking_2,FreeDiamond,__NULL__,750,202602010
e,quest_you_00001_ranking_2_reward_3,quest_you_00001_ranking_2,Coin,__NULL__,75000,202602010
e,quest_you_00001_ranking_2_reward_4,quest_you_00001_ranking_2,Item,item_gacha_ticket_special,5,202602010
e,quest_you_00001_ranking_3_reward_1,quest_you_00001_ranking_3,Emblem,emblem_you_00001,1,202602010
e,quest_you_00001_ranking_3_reward_2,quest_you_00001_ranking_3,FreeDiamond,__NULL__,500,202602010
e,quest_you_00001_ranking_3_reward_3,quest_you_00001_ranking_3,Coin,__NULL__,50000,202602010
e,quest_you_00001_ranking_3_reward_4,quest_you_00001_ranking_3,Item,item_gacha_ticket_special,5,202602010
e,quest_you_00001_ranking_4_50_reward_1,quest_you_00001_ranking_4_50,Emblem,emblem_you_00001,1,202602010
e,quest_you_00001_ranking_4_50_reward_2,quest_you_00001_ranking_4_50,FreeDiamond,__NULL__,300,202602010
e,quest_you_00001_ranking_4_50_reward_3,quest_you_00001_ranking_4_50,Coin,__NULL__,30000,202602010
e,quest_you_00001_ranking_4_50_reward_4,quest_you_00001_ranking_4_50,Item,item_gacha_ticket_special,4,202602010
e,quest_you_00001_ranking_51_300_reward_1,quest_you_00001_ranking_51_300,Emblem,emblem_you_00001,1,202602010
e,quest_you_00001_ranking_51_300_reward_2,quest_you_00001_ranking_51_300,FreeDiamond,__NULL__,200,202602010
e,quest_you_00001_ranking_51_300_reward_3,quest_you_00001_ranking_51_300,Coin,__NULL__,20000,202602010
e,quest_you_00001_ranking_51_300_reward_4,quest_you_00001_ranking_51_300,Item,item_gacha_ticket_special,3,202602010
e,quest_you_00001_ranking_301_1000_reward_1,quest_you_00001_ranking_301_1000,Emblem,emblem_you_00001,1,202602010
e,quest_you_00001_ranking_301_1000_reward_2,quest_you_00001_ranking_301_1000,FreeDiamond,__NULL__,150,202602010
e,quest_you_00001_ranking_301_1000_reward_3,quest_you_00001_ranking_301_1000,Coin,__NULL__,15000,202602010
e,quest_you_00001_ranking_301_1000_reward_4,quest_you_00001_ranking_301_1000,Item,item_gacha_ticket_special,3,202602010
e,quest_you_00001_ranking_1001_5000_reward_1,quest_you_00001_ranking_1001_5000,FreeDiamond,__NULL__,100,202602010
e,quest_you_00001_ranking_1001_5000_reward_2,quest_you_00001_ranking_1001_5000,Coin,__NULL__,10000,202602010
e,quest_you_00001_ranking_1001_5000_reward_3,quest_you_00001_ranking_1001_5000,Item,item_gacha_ticket_special,2,202602010
e,quest_you_00001_ranking_5001_10000_reward_1,quest_you_00001_ranking_5001_10000,FreeDiamond,__NULL__,50,202602010
e,quest_you_00001_ranking_5001_10000_reward_2,quest_you_00001_ranking_5001_10000,Coin,__NULL__,5000,202602010
e,quest_you_00001_ranking_5001_10000_reward_3,quest_you_00001_ranking_5001_10000,Item,item_gacha_ticket_special,2,202602010
e,quest_you_00001_ranking_10001_plus_reward_1,quest_you_00001_ranking_10001_plus,FreeDiamond,__NULL__,20,202602010
