,,,,,,作成者,確認者,承認状況,,
,,,,,,平野,,社内確認済,,
,,,,,,,,,,
,,,,,,,,,,
◆【お一人様1回まで購入可】お得プリズム,,,,,,,,,,
■購入可能回数,1回,,,,,,,,,
■販売期間,2026/01/01 0:00,〜,2026/1/15 10:59,,,,,,,
ラインナップ新規,,,,,,,,,,
,金額,1個当たり,有償/無償,,ガシャ単価,,,,,
個数,（日本円）,（日本円）,有償分,無償分,（日本円）,差分,割引率,購入可能回数,,
1,¥2,¥2.00,,,¥300.00,,,,,
320,¥480,¥1.50,,,¥225.00,¥75.00,25.00%,1回,,
"1,680","¥1,980",¥1.18,,,¥176.79,¥123.21,41.07%,1回,,
"3,220","¥2,980",¥0.93,,,¥138.82,¥161.18,53.73%,1回,,
"5,280","¥4,980",¥0.94,,,¥141.48,¥158.52,52.84%,1回,,
"7,500","¥6,980",¥0.93,,,¥139.60,¥160.40,53.47%,1回,,
"12,000","¥9,800",¥0.82,,,¥122.50,¥177.50,59.17%,1回,,
"30,000","27,200",,,,,,,,,
全購入でフェスガシャ200連天井分,"30,000",,,,,,,,,
,,,,,,,,,,
◆【お一人様1回まで購入可】お正月 DXお得パック梅,,,,,,,,,,
ラインナップ新規,,,,,,,,,,
■ID,event_item_pack_8,,,,,,,,,
■store_product_id,44,,,,,,,,,
■Biling ID（ios）,BNEI0434_0043,,,,,,,,,
■Biling ID（aos）,com.bandainamcoent.jumble_0043,,,,,,,,,
■基準価格(税込),"¥1,313",,,,,,,,,
■税別価格,"¥1,193",,,,,,,,,
■割引価格(税込),¥980,■割引率,25.33%,,,,,,,
■税別割引価格,¥882,,,,,,,,,
■購入可能回数,1,,,,,,,,,
■販売期間,2026/01/01 0:00,〜,2026/1/15 10:59,,,,,,,
,,,,,,,,,,
名称,有効期限・オマケ,受け取り期限,個数,有償分,無償分(オマケ),単価,価格,おまけ,,
カラーメモリー・グレー,有償販売,(無期限),750,750,0,¥0.27,¥203,¥0.00,,
カラーメモリー・レッド,有償販売,(無期限),750,750,0,¥0.27,¥203,¥0.00,,
カラーメモリー・グリーン,有償販売,(無期限),750,750,0,¥0.27,¥203,¥0.00,,
カラーメモリー・ブルー,有償販売,(無期限),750,750,0,¥0.27,¥203,¥0.00,,
カラーメモリー・イエロー,有償販売,(無期限),750,750,0,¥0.27,¥203,¥0.00,,
フェスガシャチケット,有償販売,(無期限),1,1,0,¥300.00,¥300,¥0.00,,
コイン,無償販売,(無期限),10000,0,10000,¥0.01,¥0,¥100.00,,
,,,,,合計,,"¥1,313",¥100.00,,
,,,,,割引後価格,,¥980,▼おまけの割合,,
,,,,,割引,,25.33%,10.20%,,
,,,,,,,↑80%以内になるように個数を調整する,,,
,,,,,,,,,,
,,,,,,,,,,
◆【お一人様2回まで購入可】お正月 DXお得パック竹,,,,,,,,,,
ラインナップ新規,,,,,,,,,,
■ID,event_item_pack_9,,,,,,,,,
■store_product_id,45,,,,,,,,,
■Biling ID（ios）,BNEI0434_0044,,,,,,,,,
■Biling ID（aos）,com.bandainamcoent.jumble_0044,,,,,,,,,
■基準価格(税込),"¥3,225",,,,,,,,,
■税別価格,"¥2,932",,,,,,,,,
■割引価格(税込),"¥2,980",■割引率,7.60%,,,,,,,
■税別割引価格,"¥2,682",,,,,,,,,
■購入可能回数,2,⇦リセットなし、お一人様2回まで購入可能,,,,,,,,
■販売期間,2026/01/01 0:00,〜,2026/1/15 10:59,,,,,,,
,,,,,,,,,,
名称,有効期限・オマケ,受け取り期限,個数,有償分,無償分(オマケ),単価,価格,おまけ,1,3
メモリーフラグメント・初級,有償販売,(無期限),120,120,0,¥10.00,"¥1,200",¥0.00,75,225
メモリーフラグメント・中級,有償販売,(無期限),75,75,0,¥15.00,"¥1,125",¥0.00,50,150
メモリーフラグメント・上級,有償販売,(無期限),10,10,0,¥30.00,¥300,¥0.00,8,24
フェスガシャチケット,有償販売,(無期限),2,2,0,¥300.00,¥600,¥0.00,,
コイン,無償販売,(無期限),30000,0,30000,¥0.01,¥0,¥300.00,,
,,,,,合計,,"¥3,225",¥300.00,,
,,,,,割引後価格,,"¥2,980",▼おまけの割合,,
,,,,,割引,,7.60%,10.07%,,
,,,,,,,↑80%以内になるように個数を調整する,,,
,,,,,,,,,,
,,,,,,,,,,
◆【お一人様1回まで購入可】お正月 DXお得パック松,,,,,,,,,,
ラインナップ新規,,,,,,,,,,
■ID,event_item_pack_10,,,,,,,,,
■store_product_id,46,,,,,,,,,
■Biling ID（ios）,BNEI0434_0045,,,,,,,,,
■Biling ID（aos）,com.bandainamcoent.jumble_0045,,,,,,,,,
■基準価格(税込),"¥6,000",,,,,,,,,
■税別価格,"¥5,455",,,,,,,,,
■割引価格(税込),"¥4,980",■割引率,17.00%,,,,,,,
■税別割引価格,"¥4,482",,,,,,,,,
■購入可能回数,1,⇦リセットなし、お一人様1回まで購入可能,,,,,,,,
■販売期間,2026/01/01 0:00,〜,2026/1/15 10:59,,,,,,,
,,,,,,,,,,
名称,有効期限・オマケ,受け取り期限,個数,有償分,無償分(オマケ),単価,価格,おまけ,,
UR1体確定10連ガシャチケット,有償販売,(無期限),1,1,0,"¥3,000.00","¥3,000",¥0.00,,
選べるURキャラのかけらBOX,有償販売,(無期限),50,50,0,¥30.00,"¥1,500",¥0.00,,
フェスガシャチケット,有償販売,(無期限),5,5,0,¥300.00,"¥1,500",¥0.00,,
コイン,無償販売,(無期限),50000,0,50000,¥0.01,¥0,¥500.00,,
,,,,,合計,,"¥6,000",¥500.00,,
,,,,,割引後価格,,"¥4,980",▼おまけの割合,,
,,,,,割引,,17.00%,10.04%,,
,,,,,,,↑80%以内になるように個数を調整する,,,
,,,,,,,,,,
,,,,,,,,,,
◆【お一人様1回まで購入可】いいジャン祭 開催記念パック,,,,,,,,,,
ラインナップ定常,,,,,,,,,,
■ID,event_item_pack_7,,,,,,,,,
■store_product_id,37,,,,,,,,,
■Biling ID（ios）,BNEI0434_0036,,,,,,,,,
■Biling ID（aos）,com.bandainamcoent.jumble_0036,,,,,,,,,
■基準価格(税込),"¥4,040",,,,,,,,,
■税別価格,"¥3,673",,,,,,,,,
■割引価格(税込),"¥3,000",■割引率,25.74%,,,,,,,
■税別割引価格,"¥2,700",,,,,,,,,
■購入可能回数,1,⇦リセットなし、お一人様1回まで購入可能,,,,,,,,
■販売期間,2026/01/01 0:00,〜,2026/01/16 10:59:59,,,,,,,
,,,,,,,,,,
名称,有効期限・オマケ,受け取り期限,個数,有償分,無償分(オマケ),単価,価格,おまけ,,
メモリーフラグメント・初級,有償販売,(無期限),50,50,0,¥10.00,¥500,¥0.00,,
メモリーフラグメント・中級,有償販売,(無期限),30,30,0,¥15.00,¥450,¥0.00,,
メモリーフラグメント・上級,有償販売,(無期限),3,3,0,¥30.00,¥90,¥0.00,,
ピックアップガシャチケット,有償販売,(無期限),10,10,0,¥300.00,"¥3,000",¥0.00,,
,,,,,合計,,"¥4,040",¥0.00,,
,,,,,割引後価格,,"¥3,000",▼おまけの割合,,
,,,,,割引,,25.74%,0.00%,,
,,,,,,,↑80%以内になるように個数を調整する,,,
,,,,,,,,,,
,,,,,,,,,,
◆【お一人様1回まで購入可】お正月 超DX ジャンブルパック,,,,,,,,,,
ラインナップ新規,,,,,,,,,,
■ID,event_item_pack_11,,,,,,,,,
■store_product_id,47,,,,,,,,,
■Biling ID（ios）,BNEI0434_0046,,,,,,,,,
■Biling ID（aos）,com.bandainamcoent.jumble_0046,,,,,,,,,
■基準価格(税込),"¥20,258",,,,,,,,,
■税別価格,"¥18,416",,,,,,,,,
■割引価格(税込),"¥10,000",■割引率,50.64%,"※BNEレギュレーションで10,000円以上のパックを販売する場合は外部決済のみの記載あった為価格調整",,,,,,
■税別割引価格,"¥9,000",,,,,,,,,
■購入可能回数,1,⇦リセットなし、お一人様1回まで購入可能,,,,,,,,
■販売期間,2026/01/01 0:00,〜,2026/1/15 10:59,,,,,,,
,,,,,,,,,,
名称,有効期限・オマケ,受け取り期限,個数,有償分,無償分(オマケ),単価,価格,おまけ,,
UR1体確定10連ガシャチケット,有償販売,(無期限),1,1,0,"¥3,000.00","¥3,000",¥0.00,,
選べるURキャラのかけらBOX,有償販売,(無期限),200,200,0,¥30.00,"¥6,000",¥0.00,,
