,収集メダル設計,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,収集メダル基礎設計,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,▼メダル価値設計,,,,,,,,,,,,,
,収集メダル,赤メダル,名前入れてね,,,,,,,,,,,
,1スタミナでのドロップ枚数,60,,,,,,,,,,,,
,主要報酬取り切りに要求する総枚数,30600,,,,,,,,,,,,
,準主要報酬取り切りに要求する総枚数,63550,,,,,,,,,,,,
,周回報酬取り切りに要求する総枚数,204500,,,,,,,,,,,,
,要求するメダルの合計枚数,298650,,,,,,,,,,,,
,メダル1枚の換算金額,¥0.13,,,,,,,,,,,,
,,,,,,,,,,,,,,
,▼メダル配布量設計（主要取り切りまで）,,,,,▼メダル配布枚数,,,,,,,,
,収集メダル,赤メダル,名前入れてね,,,赤メダル,名前入れてね,,,,,,,
,ログボ配布量,0.7%,,,,200,0,0,0,,,,,
,初回クリア配布量,7.2%,,,,2200,0,0,0,,,,,
,ミッション配布量,0.0%,,,,0,0,0,0,,,,,
,合計,7.8%,0.0%,0.0%,0.0%,2400,0,0,0,,,,,
,,,,,,,,,,,,,,
,▼クエスト周回で集めさせるメダル枚数,,,,,,,,,,,,,
,収集メダル,赤メダル,名前入れてね,,,,,,,,,,,
,主要報酬のみGETの周回メダル枚数,28200,,,,,,,,,,,,
,主要＋準主要GETの周回メダル枚数,91750,,,,,,,,,,,,
,全報酬GETまでの周回メダル枚数,296250,,,,,,,,,,,,
,,,,,,,,,,,,,,
,▼スタミナ消費計算,,,,,,,,,,,,,
,収集メダル,赤メダル,名前入れてね,,,,,,,,,,,
,主要報酬のみGETの消費スタミナ,470.0,,,,,,,,,,,,
,主要＋準主要GETの消費スタミナ,1529.2,,,,,,,,,,,,
,全報酬GETまでの消費スタミナ,4937.5,,,,,,,,,,,,
,主要報酬取り切りスタミナの換算金額,"¥3,855.60",,,,,,,,,,,,
,全報酬コンプスタミナの換算金額,"¥25,767.00",,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,報酬取り切り日数確認,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,報酬獲得の所要日数,1日のスタミナ消費量,赤メダル：主要,赤メダル：主要＋準主要,赤メダル：全報酬,名前入れてね：主要,名前入れてね：主要＋準主要,名前入れてね：全報酬,：主要,：主要＋準主要,：全報酬,：主要,：主要＋準主要,：全報酬
,ライト層,40,11.8日,38.2日,123.4日,,,,,,,,,
,ミドル層,80,5.9日,19.1日,61.7日,,,,,,,,,
,コア層,140,3.4日,10.9日,35.3日,,,,,,,,,
,マニアック層,200,2.4日,7.6日,24.7日,,,,,,,,,
,,,,,,,,,,,,,,
,収集メダル,赤メダル,名前入れてね,,,,,,,,,,,
,ライト層の主要のみGET所要日数,11.8日,,,,,,,,,,,,
,ミドル層の主要のみGET所要日数,5.9日,,,,,,,,,,,,
,コア層の主要のみGET所要日数,3.4日,,,,,,,,,,,,
,マニアック層の主要のみGET所要日数,2.4日,,,,,,,,,,,,
,ライト層の主要＋準主要GET所要日数,38.2日,,,,,,,,,,,,
,ミドル層の主要＋準主要GET日数,19.1日,,,,,,,,,,,,
,コア層の主要＋準主要GET日数,10.9日,,,,,,,,,,,,
,マニアック層の主要＋準主要GET日数,7.6日,,,,,,,,,,,,
,ライト層の全報酬GET日数,123.4日,,,,,,,,,,,,
,ミドル層の全報酬GET日数,61.7日,,,,,,,,,,,,
,コア層の全報酬GET日数,35.3日,,,,,,,,,,,,
,マニアック層の全報酬GET日数,24.7日,,,,,,,,,,,,
