ƒ,,,,,,,,,,,,,,,,,
,＜目次＞,,,,,,,,,,,,,,,,
,,◇バナー関連,◇UI,,,,,,,,,,,,,,
,,◇アイテム,◇キャラ・クエスト関連,,これかえる,,,,,,,,,,,,
,,◇アプリアイコン,,,,,,,,,,,,,,,
,◇バナー関連,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,毎週金曜16:00~16:30「バナーMTG」,,,,,,,,,,,,,,,,
,＜参照：告知スケジュール＞,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
■施作一覧,,バナーの進捗確認はこちら,,,,,,,,,●LINE,◯WP,,,,,
SG,,,,,,,,,,,素材,,,,備考,,
,No,施策,,概要,,,訴求,,,分類,バナーL,バナーM,LINE OA,twitter,,,
FALSE,1,,,,,,,,,,,,,,,,
FALSE,2,,,,,,,,,,,,,,,,
FALSE,3,,,,,,,,,,,,,,,,
FALSE,4,,,,,,,,,,,,,,,,
FALSE,5,,,,,,,,,,,,,,,,
FALSE,6,,,,,,,,,,,,,,,,
FALSE,7,,,,,,,,,,,,,,,,
FALSE,8,,,,,,,,,,,,,,,,
FALSE,9,,,,,,,,,,,,,,,,
FALSE,10,,,,,,,,,,,,,,,,
FALSE,11,,,,,,,,,,,,,,,,
FALSE,12,,,,,,,,,,,,,,,,
FALSE,13,,,,,,,,,,,,,,,,
FALSE,14,,,,,,,,,,,,,,,,
FALSE,15,,,,,,,,,,,,,,,,
FALSE,16,,,,,,,,,,,,,,,,
FALSE,17,,,,,,,,,,,,,,,,
FALSE,18,,,,,,,,,,,,,,,,
FALSE,19,,,,,,,,,,,,,,,,
FALSE,20,,,,,,,,,,,,,,,,
FALSE,21,,,,,,,,,,,,,,,,
FALSE,22,,,,,,,,,,,,,,,,
FALSE,23,,,,,,,,,,,,,,,,
FALSE,24,,,,,,,,,,,,,,,,
FALSE,25,,,,,,,,,,,,,,,,
FALSE,26,,,,,,,,,,,,,,,,
FALSE,27,,,,,,,,,,,,,,,,
FALSE,28,,,,,,,,,,,,,,,,
FALSE,29,,,,,,,,,,,,,,,,
FALSE,30,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,■その他告知（キービジュアル、チュートリアル、告知原画、壁紙配布、アプリアイコン配布、上記に記載が無いIGNなど）,,,,,,,,,,,,,,,,
SG,,,,,,,,,,,素材,,,,備考,,
,No,施策,,概要,,,訴求,,,分類,バナーL,バナーM,LINE OA,twitter,,,
FALSE,1,,,,,,,,,,,,,,,,
FALSE,2,,,,,,,,,,,,,,,,
FALSE,3,,,,,,,,,,,,,,,,
FALSE,4,,,,,,,,,,,,,,,,
FALSE,5,,,,,,,,,,,,,,,,
FALSE,6,,,,,,,,,,,,,,,,
FALSE,7,,,,,,,,,,,,,,,,
FALSE,8,,,,,,,,,,,,,,,,
FALSE,9,,,,,,,,,,,,,,,,
FALSE,10,,,,,,,,,,,,,,,,
FALSE,11,,,,,,,,,,,,,,,,
FALSE,12,,,,,,,,,,,,,,,,
FALSE,13,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
■その他素材,,,チュートリアル、repro原画,,,,,,,,●LINE,◯WP,,,,,
SG,No,,,,,,,,,素材,,,,,,,備考
,,,,,,,,,,チュートリアル,バナーL,バナーM,LINE OA,twitter,repro,,
FALSE,1,,,,,,,,,,,,,,,,
FALSE,2,,,,,,,,,,,,,,,,
FALSE,3,,,,,,,,,,,,,,,,
FALSE,4,,,,,,,,,,,,,,,,
FALSE,5,,,,,,,,,,,,,,,,
FALSE,6,,,,,,,,,,,,,,,,
FALSE,7,,,,,,,,,,,,,,,,
FALSE,7,,,,,,,,,,,,,,,,
FALSE,8,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,◇アイテム,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
SG,No,素材,,,詳細,,,レアリティ,進捗,,,,,,,,
,,,,,,,,,plan確認,ID作成,,,,,,,
FALSE,1,,,,,,,,,,,,,,,,
FALSE,3,,,,,,,,,,,,,,,,
FALSE,2,,,,,,,,,,,,,,,,
FALSE,4,,,,,,,,,,,,,,,,
FALSE,4,,,,,,,,,,,,,,,,
FALSE,6,,,,,,,,,,,,,,,,
FALSE,7,,,,,,,,,,,,,,,,
FALSE,8,,,,,,,,,,,,,,,,
FALSE,9,,,,,,,,,,,,,,,,
FALSE,10,,,,,,,,,,,,,,,,
FALSE,11,,,,,,,,,,,,,,,,
FALSE,12,,,,,,,,,,,,,,,,
FALSE,13,,,,,,,,,,,,,,,,
FALSE,14,,,,,,,,,,,,,,,,
FALSE,15,,,,,,,,,,,,,,,,
FALSE,16,,,,,,,,,,,,,,,,
FALSE,17,,,,,,,,,,,,,,,,
FALSE,18,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,◇UI,,,,,,,,,,,,,,,,
,,タイトル、ホーム画面、いいジャン祭ページ、ログボ,,,,,,,,,,,,,,,
SG,No,素材,,,詳細,,,進捗,,,,,,,,,
,,,,,,,,plan確認,ID作成,,,,,,,,
FALSE,1,タイトル,,,,,,,,,,,,,,,
FALSE,2,ホーム画面,,,,,,,,,,,,,,,
FALSE,3,いいジャン祭ページ,,,,,,,,,,,,,,,
FALSE,4,ログインボーナス,,,,,,,,,,,,,,,
FALSE,5,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,◇キャラ・クエスト関連,,,,,,,,,,,,,,,,
,,かけら、オーラ、スタンプ,,,,,,,,,,,,,,,
SG,,素材,,,,,,,,,,,,,,,
,No,,,,,,,,,,,,,,,,
FALSE,1,,,,,,,,,,,,,,,,
FALSE,2,,,,,,,,,,,,,,,,
FALSE,3,,,,,,,,,,,,,,,,
FALSE,4,,,,,,,,,,,,,,,,
FALSE,5,,,,,,,,,,,,,,,,
FALSE,6,,,,,,,,,,,,,,,,
FALSE,7,,,,,,,,,,,,,,,,
FALSE,8,,,,,,,,,,,,,,,,
FALSE,9,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,◇アプリアイコン,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,使用キャラ,理由・意図,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,案2,使用キャラ,理由・意図,,,,,,,,,,,,,,
