,正月特別号！【推しの子】  いいジャン祭,,,,,
,,,,,,
,施策一覧,,,,,
,,,,,,
,カテゴリー,施策名称,開始日,終了日,備考（ピックアップや配布キャラなどを記載する）,仕様書(リンク)
,【デイリー】,ファンと推し合戦!,2026/01/01 04:00:00,2026/01/16 03:59:59,,https://docs.google.com/spreadsheets/d/1d2uaObkbzpp7a6FJdEBh8LqP5wmen0u57HEEiq8E-bM/edit?gid=289913871#gid=289913871&range=60:60
,【収集】,芸能界へ！,2026/01/01 00:00:00,2026/02/02 10:59:00,,https://docs.google.com/spreadsheets/d/1d2uaObkbzpp7a6FJdEBh8LqP5wmen0u57HEEiq8E-bM/edit?gid=289913871#gid=289913871&range=94:94
,【強化】,ぴえヨンのブートクエスト,2026/01/05 15:00:00,2026/02/02 10:59:00,,https://docs.google.com/spreadsheets/d/1d2uaObkbzpp7a6FJdEBh8LqP5wmen0u57HEEiq8E-bM/edit?gid=289913871#gid=289913871&range=160:160
,【チャレンジ】,推しの子になってやる,2026/01/01 00:00:00,2026/02/02 10:59:00,,https://docs.google.com/spreadsheets/d/1d2uaObkbzpp7a6FJdEBh8LqP5wmen0u57HEEiq8E-bM/edit?gid=289913871#gid=289913871&range=224:224
,【高難易度】,芸能界には才能が集まる,2026/01/01 00:00:00,2026/02/02 10:59:00,,https://docs.google.com/spreadsheets/d/1d2uaObkbzpp7a6FJdEBh8LqP5wmen0u57HEEiq8E-bM/edit?gid=289913871#gid=289913871&range=295:295
,【降臨バトル】,ファーストライブ,2026/01/09 15:00:00,2026/01/13 14:59:59,,https://docs.google.com/spreadsheets/d/1d2uaObkbzpp7a6FJdEBh8LqP5wmen0u57HEEiq8E-bM/edit?gid=1959891932#gid=1959891932&range=A1
,【ログインボーナス】,【推しの子】いいジャン祭 特別ログインボーナス,2026/01/01 00:00:00,2026/01/16 03:59:59,"訴求アイテム
・「【推しの子】SSR確定ガシャチケット」",https://docs.google.com/spreadsheets/d/1d2uaObkbzpp7a6FJdEBh8LqP5wmen0u57HEEiq8E-bM/edit?gid=289913871#gid=289913871&range=23:23
,【ミッションA】,【推しの子】いいジャン祭 特別ミッション,2026/01/01 00:00:00,2026/02/02 10:59:00,,https://docs.google.com/spreadsheets/d/1d2uaObkbzpp7a6FJdEBh8LqP5wmen0u57HEEiq8E-bM/edit?gid=1875707542#gid=1875707542&range=1:1
,【ミッションB】,ぴえヨン特別ブートミッション,2026/01/01 00:00:00,2026/02/02 10:59:00,,https://docs.google.com/spreadsheets/d/1d2uaObkbzpp7a6FJdEBh8LqP5wmen0u57HEEiq8E-bM/edit?gid=1875707542#gid=1875707542&range=47:47
,【交換所】,【推しの子】いいジャン祭交換所,2026/01/01 00:00:00,2026/02/02 10:59:00,"訴求キャラ・アイテム
・「ぴえヨン」SR 緑
・「【推しの子】SSR確定ガシャチケット」
・「プリズム」",https://docs.google.com/spreadsheets/d/1d2uaObkbzpp7a6FJdEBh8LqP5wmen0u57HEEiq8E-bM/edit?gid=1968394752#gid=1968394752&range=B1
,【メインクエスト】,【推しの子】,2026/01/01 00:00:00,無期限,,https://docs.google.com/spreadsheets/d/1d2uaObkbzpp7a6FJdEBh8LqP5wmen0u57HEEiq8E-bM/edit?gid=1892565333#gid=1892565333&range=A1
,【コイン獲得クエスト】,【推しの子】ボーナス,2026/01/01 00:00:00,2026/02/02 10:59:00,,https://docs.google.com/spreadsheets/d/1d2uaObkbzpp7a6FJdEBh8LqP5wmen0u57HEEiq8E-bM/edit?gid=289913871#gid=289913871&range=369:369
