,,,,,作成者,確認者,承認状況,
,,,,,平野,,承認済,
ガシャ詳細,,,,,,,,承認・設計担当
ガシャ名,正月DXフェスガシャ,,,,,,,企画
ガシャID,Fest_osh_001,,,,,,,
種別,フェス限定ガシャ,,,,,,,
開催期間,2026/1/1 0:00,~,2026/2/2 10:59,,,,,企画
チケット設定,有,※BNEレギュレーションにより、すべてのガシャはチケットでひける前提で設定しなければならない。,,,,,,
チケット名,フェスガシャチケット,,,,,,,ガシャ
チケットID,ticket_glo_00004,,,,,,,ガシャ
チケット備考,チケットのまとめ引きは、最大10連です。所持枚数の最大が10枚以下の場合、まとめ引きの最大数もそれに準じます。,,,,,,,
広告視聴設定有無,無,,,,,,,
広告視聴リセット有無,無,,,,,,,
広告視聴リセット時間,,分,0時間,"24時間→1,440
48時間→2,880
72時間→4,320","・enable_add_ad_play_upper
・ad_play_interval_time",,,
"ガシャ開催期間中
繰返しリセットを行う",行わない,,,,,,,
天井設定,有,,,,,,,
天井回数,200,回目,,,,,,
確定枠設定,有,,,,,,,
確定枠詳細,10,枠目,,,,,,
有償無償合算使用可否,可,※有償プリズム限定の時→「否」にして下さい。基本は「可」です。,,,,,,
有償プリズム限定設定,無,,,,,,,
単発設定,有,,,,,,,
単発プリズム個数,150,個,※デフォルト：150個,,,,,
10連設定,有,,,,,,,
10連プリズム個数,"1,500",個,"※デフォルト：1,500個",,,,,
ガシャを引ける上限設定,無,,,,,,,
ガシャを引ける上限数,,連を,,まで,※例：30連を1回まで。お一人30連まで引くことができます。,,,
banner_URL,glo_00002,,,,,,,企画
ガシャ一覧バナーID,gacha_banner_glo_00002,,,,,,,企画
ホームバナーID,hometop_gacha_glo_00002,,,,,,,企画
キャラのかけら変換個数,R：10,←デフォルト,,,,,,
,SR：10,,,,,,,
,SSR：20,,,,,,,
,UR ：50,,,,,,,
,ピックアップUR ：50,,,,,,,
備考,"ピックアップガシャと違って
天井が200、10連の10枠目がSR確定ではなくSSR確定になっています。
ピックアップ対象はアイです。",,,,,,,
,ピックアップ以外のラインナップはスペシャルガシャ,,,,,,,
,SSR推しの子はこちらには出ない,,,,,,,
ガシャマスター設定,,,,,,,,
①ガシャ訴求文言,「B小町不動のセンター アイ」の出現率UP中!,,,OprGachaI18n,,,,ガシャ
②訴求キャラ/ID,B小町不動のセンター アイ,chara_osh_00001,,,,,,ガシャ
③キャラ訴求文言,"味方の必殺ワザ発動の
時間を短縮できるぞ!
さらに、必殺ワザで
複数の攻撃をDOWN",,,OprGachaDisplayUnitI18n,,,,レベデザ
②-1訴求キャラ/ID,,,,,,,,ガシャ
③-1キャラ訴求文言,,,,,,,,レベデザ
④天井表示,ピックアップURキャラ1体確定!,,,OprGachaI18n,※緑色の文字,,,ガシャ
ラインナップ,,,,,,,,ガシャ
,,,,,,,,
,設定確率,ラインナップ数,重み合計,1体の重み,,,,
