,,,,
,更新履歴,,,
,,,,
,版数,更新日,変更箇所,更新内容
,第1.0版,―,―,・新規作成
,第1.1版,2017/11/10,[更新履歴]シート,・更新履歴の追加
,,,[概要]シート,・gasha_nameに関する入力値説明を削除
,,,[概要]シート,・アイテムマスタJSONに関する注意事項を追記
,,,[概要]シート,"・以下の文言を修正
【修正前】
「通常版の仕様と、本拡張版の仕様を1つのタイトルで併用することはできません。最初に選んだ仕様で以後送り続けていただくことになります。」

　↓

【修正後】
「通常版の仕様と、本拡張版の仕様を1つのガシャIDで併用することはできません。※異なるガシャIDであれば併用可能です。」"
,,,[マスタ_ログ出力仕様]シート,・当選アイテム選択型ガシャに関する仕様を追記(赤字で記載)
,,,[当選アイテム選択型ガシャについて]シート,・当選アイテム選択型ガシャに関する説明用のシートとして追加
,第1.2版,2019/9/12,[更新履歴]シート,・更新履歴の追加
,,,[概要]シート,・gasha_idに関する注意事項を追記
,,,[マスタ_ログ出力仕様]シート,・ガシャ開催期間FROMに関する仕様を追記（赤字で記載）
,,,[ガシャマスタ世代管理について]シート,・ガシャマスタの世代管理に関する説明用のシートとして追加
