memo
TABLE,MstStageClearTimeReward,MstStageClearTimeReward,MstStageClearTimeReward,MstStageClearTimeReward,MstStageClearTimeReward,MstStageClearTimeReward,MstStageClearTimeReward
ENABLE,id,mst_stage_id,upper_clear_time_ms,resource_type,resource_id,resource_amount,release_key
e,cleartime_sur_christmas_challenge_20251222_01_01,stage_sur_christmas_challenge_20251222_01,300000,Prism,,20,1
e,cleartime_sur_christmas_challenge_20251222_01_02,stage_sur_christmas_challenge_20251222_01,200000,Prism,,20,1
e,cleartime_sur_christmas_challenge_20251222_01_03,stage_sur_christmas_challenge_20251222_01,140000,Prism,,20,1
e,cleartime_sur_christmas_challenge_20251222_02_01,stage_sur_christmas_challenge_20251222_02,300000,Prism,,20,1
e,cleartime_sur_christmas_challenge_20251222_02_02,stage_sur_christmas_challenge_20251222_02,200000,Prism,,20,1
e,cleartime_sur_christmas_challenge_20251222_02_03,stage_sur_christmas_challenge_20251222_02,140000,Prism,,20,1
e,cleartime_sur_christmas_challenge_20251222_03_01,stage_sur_christmas_challenge_20251222_03,300000,Prism,,20,1
e,cleartime_sur_christmas_challenge_20251222_03_02,stage_sur_christmas_challenge_20251222_03,200000,Prism,,20,1
e,cleartime_sur_christmas_challenge_20251222_03_03,stage_sur_christmas_challenge_20251222_03,140000,Prism,,20,1
e,cleartime_sur_christmas_challenge_20251222_04_01,stage_sur_christmas_challenge_20251222_04,300000,Prism,,20,1
e,cleartime_sur_christmas_challenge_20251222_04_02,stage_sur_christmas_challenge_20251222_04,200000,Prism,,20,1
e,cleartime_sur_christmas_challenge_20251222_04_03,stage_sur_christmas_challenge_20251222_04,140000,Prism,,20,1
e,cleartime_sur_christmas_high_20251222_01_01,stage_sur_christmas_high_20251222_01,300000,Prism,,20,1
e,cleartime_sur_christmas_high_20251222_01_02,stage_sur_christmas_high_20251222_01,200000,Prism,,20,1
e,cleartime_sur_christmas_high_20251222_01_03,stage_sur_christmas_high_20251222_01,140000,Prism,,20,1
e,cleartime_sur_christmas_high_20251222_02_01,stage_sur_christmas_high_20251222_02,300000,Prism,,20,1
e,cleartime_sur_christmas_high_20251222_02_02,stage_sur_christmas_high_20251222_02,200000,Prism,,20,1
e,cleartime_sur_christmas_high_20251222_02_03,stage_sur_christmas_high_20251222_02,140000,Prism,,20,1
e,cleartime_sur_christmas_high_20251222_03_01,stage_sur_christmas_high_20251222_03,400000,Prism,,20,1
e,cleartime_sur_christmas_high_20251222_03_02,stage_sur_christmas_high_20251222_03,300000,Prism,,20,1
e,cleartime_sur_christmas_high_20251222_03_03,stage_sur_christmas_high_20251222_03,240000,Prism,,20,1
e,cleartime_sur_christmas_high_20251222_04_01,stage_sur_christmas_high_20251222_04,300000,Prism,,20,1
e,cleartime_sur_christmas_high_20251222_04_02,stage_sur_christmas_high_20251222_04,200000,Prism,,20,1
e,cleartime_sur_christmas_high_20251222_04_03,stage_sur_christmas_high_20251222_04,100000,Prism,,20,1
e,cleartime_sur_christmas_high_20251222_05_01,stage_sur_christmas_high_20251222_05,500000,Prism,,20,1
e,cleartime_sur_christmas_high_20251222_05_02,stage_sur_christmas_high_20251222_05,400000,Prism,,20,1
e,cleartime_sur_christmas_high_20251222_05_03,stage_sur_christmas_high_20251222_05,300000,Prism,,20,1
