memo
TABLE,MstStageReward,MstStageReward,MstStageReward,MstStageReward,MstStageReward,MstStageReward,MstStageReward,MstStageReward,MstStageReward,MstStageReward
ENABLE,id,mst_stage_id,reward_category,resource_type,resource_id,percentage,sort_order,resource_amount,weight,release_key
e,reward_sur_christmas_daily_20251222_01_01,stage_sur_christmas_daily_20251222_01,FirstClear,Prism,,100,1,20,100,1
e,reward_sur_christmas_daily_20251222_01_02,stage_sur_christmas_daily_20251222_01,Always,Coin,,100,1,1000,100,1
e,reward_sur_christmas_pack_20251222_01_01,stage_sur_christmas_pack_20251222_01,FirstClear,Prism,,100,1,30,100,1
e,reward_sur_christmas_pack_20251222_01_02,stage_sur_christmas_pack_20251222_01,FirstClear,Unit,chara_sur_XXXXX,100,2,1,100,1
e,reward_sur_christmas_pack_20251222_01_03,stage_sur_christmas_pack_20251222_01,FirstClear,Coin,,100,3,250,100,1
e,reward_sur_christmas_pack_20251222_01_04,stage_sur_christmas_pack_20251222_01,Always,Coin,,100,1,75,100,1
e,reward_sur_christmas_pack_20251222_01_05,stage_sur_christmas_pack_20251222_01,Random,Item,piece_sur_XXXXX,10,1,3,100,1
e,reward_sur_christmas_pack_20251222_01_06,stage_sur_christmas_pack_20251222_01,Random,Item,artwork_fragment_XXXXX,100,2,2,100,1
e,reward_sur_christmas_pack_20251222_02_01,stage_sur_christmas_pack_20251222_02,FirstClear,Prism,,100,1,30,100,1
e,reward_sur_christmas_pack_20251222_02_02,stage_sur_christmas_pack_20251222_02,FirstClear,Coin,,100,2,250,100,1
e,reward_sur_christmas_pack_20251222_02_03,stage_sur_christmas_pack_20251222_02,Always,Coin,,100,1,75,100,1
e,reward_sur_christmas_pack_20251222_02_04,stage_sur_christmas_pack_20251222_02,Always,Item,artwork_fragment_XXXXX,100,2,2,100,1
e,reward_sur_christmas_pack_20251222_02_05,stage_sur_christmas_pack_20251222_02,Random,Item,piece_sur_XXXXX,15,1,3,100,1
e,reward_sur_christmas_pack_20251222_03_01,stage_sur_christmas_pack_20251222_03,FirstClear,Prism,,100,1,30,100,1
e,reward_sur_christmas_pack_20251222_03_02,stage_sur_christmas_pack_20251222_03,FirstClear,Coin,,100,2,250,100,1
e,reward_sur_christmas_pack_20251222_03_03,stage_sur_christmas_pack_20251222_03,Always,Coin,,100,1,75,100,1
