mst_series_id,data_type,name,chara_id,color
作品ID（MstSeries.asset_key）,ブロック種別（Normal=ノーマル敵 / Boss=ボス敵 / Counter=対抗ユニット）,キャラ日本語名（Normal/BossはMstEnemyCharacterI18n.name / CounterはMstUnitI18n.name）,対象キャラのID（Normal/BossはMstEnemyCharacter.id / CounterはMstUnit.id）,属性色（Colorless/Red/Blue/Green/Yellow）
spy,Normal,密輸組織の残党,enemy_spy_00001,Blue
spy,Normal,ファントム,enemy_glo_00001,Blue
spy,Boss,フランキー・フランクリン,chara_spy_00401,Colorless
spy,Counter,<黄昏> ロイド,chara_spy_00101,Yellow
dan,Normal,セルポ星人,enemy_dan_00001,Green
dan,Normal,ファントム,enemy_glo_00001,Green
dan,Boss,招き猫 ターボババア,chara_dan_00301,Colorless
dan,Counter,オカルン,chara_dan_00001,Red
gom,Normal,たこ焼き,enemy_gom_00402,Yellow
gom,Normal,バタートースト,enemy_gom_00501,Yellow
gom,Normal,ラーメン,enemy_gom_00701,Yellow
gom,Normal,ファントム,enemy_glo_00001,Yellow
gom,Boss,囚われの王女 姫様,chara_gom_00001,Colorless
gom,Counter,囚われの王女 姫様,chara_gom_00001,Green
chi,Normal,ゾンビ,enemy_chi_00101,Blue
chi,Normal,ファントム,enemy_glo_00001,Blue
chi,Boss,悪魔が恐れる悪魔 チェンソーマン,chara_chi_00002,Colorless
chi,Counter,悪魔が恐れる悪魔 チェンソーマン,chara_chi_00002,Yellow
mag,Normal,冷却系怪異,enemy_mag_00001,Red
mag,Normal,つらら,enemy_mag_00101,Red
mag,Normal,ファントム,enemy_glo_00001,Red
mag,Boss,新人魔法少女 桜木 カナ,chara_mag_00001,Colorless
mag,Counter,新人魔法少女 桜木 カナ,chara_mag_00001,Blue
kai,Normal,怪獣 余獣,enemy_kai_00101,Yellow
kai,Normal,ファントム,enemy_glo_00001,Yellow
kai,Boss,隠された英雄の姿 怪獣８号,chara_kai_00002,Colorless
kai,Counter,隠された英雄の姿 怪獣８号,chara_kai_00002,Green
yuw,Normal,リリエルに捧ぐ愛 天乃 リリサ,chara_yuw_00001,Blue
yuw,Normal,コスプレに託す乙女心 橘 美花莉,chara_yuw_00101,Blue
yuw,Normal,勇気を纏うコスプレ 乃愛,chara_yuw_00301,Blue
yuw,Normal,伝えたいウチの想い 喜咲 アリア,chara_yuw_00401,Blue
yuw,Normal,ファントム,enemy_glo_00001,Blue
yuw,Boss,奥村 正宗,chara_yuw_00601,Colorless
yuw,Counter,リリエルに捧ぐ愛 天乃 リリサ,chara_yuw_00001,Yellow
sur,Normal,醜鬼,enemy_sur_00101,Yellow
sur,Normal,ファントム,enemy_glo_00001,Yellow
sur,Boss,無窮の鎖 和倉 優希,chara_sur_00801,Colorless
sur,Counter,誇り高き魔都の剣姫 羽前 京香,chara_sur_00101,Green
sum,Normal,影,enemy_sum_00001,Red
sum,Normal,ファントム,enemy_glo_00001,Red
sum,Boss,網代 慎平,chara_sum_00001,Colorless
sum,Counter,影のウシオ 小舟 潮,chara_sum_00101,Blue
jig,Normal,門神,enemy_jig_00001,Green
jig,Normal,極楽蝶,enemy_jig_00401,Green
jig,Normal,ファントム,enemy_glo_00001,Green
jig,Boss,民谷 巌鉄斎,chara_jig_00601,Colorless
jig,Counter,がらんの画眉丸,chara_jig_00001,Red
tak,Normal,ファントム,enemy_glo_00001,Blue
tak,Boss,ハッピー星からの使者 タコピー,chara_tak_00001,Colorless
tak,Counter,ハッピー星からの使者 タコピー,chara_tak_00001,Yellow
osh,Normal,星野 ルビー,chara_osh_00201,Green
osh,Normal,MEMちょ,chara_osh_00301,Green
osh,Normal,有馬 かな,chara_osh_00401,Green
osh,Normal,黒川あかね,chara_osh_00501,Green
osh,Normal,ファントム,enemy_glo_00001,Green
osh,Boss,ぴえヨン,chara_osh_00601,Colorless
osh,Counter,B小町不動のセンター アイ,chara_osh_00001,Red
you,Normal,不良系金髪イケメン,enemy_you_00001,Green
you,Normal,イケメンじゃない殺し屋,enemy_you_00101,Green
you,Normal,ファントム,enemy_glo_00001,Green
you,Boss,ダグ,chara_you_00201,Colorless
you,Counter,元殺し屋の新人教諭 リタ,chara_you_00001,Red
kim,Normal,花園 羽香里,chara_kim_00101,Red
kim,Normal,院田 唐音,chara_kim_00201,Red
kim,Normal,好本 静,chara_kim_00301,Red
kim,Normal,ファントム,enemy_glo_00001,Red
kim,Boss,溢れる母性 花園 羽々里,chara_kim_00001,Colorless
kim,Counter,溢れる母性 花園 羽々里,chara_kim_00001,Blue
hut,Normal,ひたむきギタリスト 鳩野 ちひろ,chara_hut_00001,Yellow
hut,Normal,内田 桃,chara_hut_00201,Yellow
hut,Normal,藤井 彩目,chara_hut_00301,Yellow
hut,Normal,ファントム,enemy_glo_00001,Yellow
hut,Boss,幸山 厘,chara_hut_00101,Colorless
hut,Counter,ひたむきギタリスト 鳩野 ちひろ,chara_hut_00001,Green
aya,Normal,シロガネ,enemy_aya_00001,Green
aya,Normal,ファントム,enemy_glo_00001,Green
aya,Boss,花奏 すず,chara_aya_00101,Colorless
aya,Counter,まつり,,Red
glo,Normal,レアファントム,,Colorless
