ENABLE,release_key,id,mst_mission_event_id,language,description
e,202512010,event_sur_00001_1_ja,event_sur_00001_1,ja,"無窮の鎖 和倉 優希 をグレード2まで強化しよう"
e,202512010,event_sur_00001_2_ja,event_sur_00001_2,ja,"無窮の鎖 和倉 優希 をグレード3まで強化しよう"
e,202512010,event_sur_00001_3_ja,event_sur_00001_3,ja,"無窮の鎖 和倉 優希 をグレード4まで強化しよう"
e,202512010,event_sur_00001_4_ja,event_sur_00001_4,ja,"無窮の鎖 和倉 優希 をグレード5まで強化しよう"
e,202512010,event_sur_00001_5_ja,event_sur_00001_5,ja,"無窮の鎖 和倉 優希 をLv.20まで強化しよう"
e,202512010,event_sur_00001_6_ja,event_sur_00001_6,ja,"無窮の鎖 和倉 優希 をLv.30まで強化しよう"
e,202512010,event_sur_00001_7_ja,event_sur_00001_7,ja,"無窮の鎖 和倉 優希 をLv.40まで強化しよう"
e,202512010,event_sur_00001_8_ja,event_sur_00001_8,ja,"無窮の鎖 和倉 優希 をLv.50まで強化しよう"
e,202512010,event_sur_00001_9_ja,event_sur_00001_9,ja,"無窮の鎖 和倉 優希 をLv.60まで強化しよう"
e,202512010,event_sur_00001_10_ja,event_sur_00001_10,ja,"無窮の鎖 和倉 優希 をLv.70まで強化しよう"
e,202512010,event_sur_00001_11_ja,event_sur_00001_11,ja,"無窮の鎖 和倉 優希 をLv.80まで強化しよう"
e,202512010,event_sur_00001_12_ja,event_sur_00001_12,ja,"和倉 青羽 をグレード2まで強化しよう"
e,202512010,event_sur_00001_13_ja,event_sur_00001_13,ja,"和倉 青羽 をグレード3まで強化しよう"
e,202512010,event_sur_00001_14_ja,event_sur_00001_14,ja,"和倉 青羽 をグレード4まで強化しよう"
e,202512010,event_sur_00001_15_ja,event_sur_00001_15,ja,"和倉 青羽 をグレード5まで強化しよう"
e,202512010,event_sur_00001_16_ja,event_sur_00001_16,ja,"和倉 青羽 をLv.20まで強化しよう"
e,202512010,event_sur_00001_17_ja,event_sur_00001_17,ja,"和倉 青羽 をLv.30まで強化しよう"
e,202512010,event_sur_00001_18_ja,event_sur_00001_18,ja,"和倉 青羽 をLv.40まで強化しよう"
e,202512010,event_sur_00001_19_ja,event_sur_00001_19,ja,"和倉 青羽 をLv.50まで強化しよう"
e,202512010,event_sur_00001_20_ja,event_sur_00001_20,ja,"和倉 青羽 をLv.60まで強化しよう"
e,202512010,event_sur_00001_21_ja,event_sur_00001_21,ja,"和倉 青羽 をLv.70まで強化しよう"
e,202512010,event_sur_00001_22_ja,event_sur_00001_22,ja,"和倉 青羽 をLv.80まで強化しよう"
e,202512010,event_sur_00001_23_ja,event_sur_00001_23,ja,ストーリークエスト「スレイブの誕生」をクリアしよう
e,202512010,event_sur_00001_24_ja,event_sur_00001_24,ja,ストーリークエスト「隠れ里の戦い」をクリアしよう
e,202512010,event_sur_00001_25_ja,event_sur_00001_25,ja,チャレンジクエスト「魔都防衛隊」をクリアしよう
e,202512010,event_sur_00001_26_ja,event_sur_00001_26,ja,高難易度「スレイブと組長」をクリアしよう
e,202512010,event_sur_00001_27_ja,event_sur_00001_27,ja,敵を10体撃破しよう
e,202512010,event_sur_00001_28_ja,event_sur_00001_28,ja,敵を20体撃破しよう
e,202512010,event_sur_00001_29_ja,event_sur_00001_29,ja,敵を30体撃破しよう
e,202512010,event_sur_00001_30_ja,event_sur_00001_30,ja,敵を40体撃破しよう
e,202512010,event_sur_00001_31_ja,event_sur_00001_31,ja,敵を50体撃破しよう
e,202512010,event_sur_00001_32_ja,event_sur_00001_32,ja,敵を60体撃破しよう
e,202512010,event_sur_00001_33_ja,event_sur_00001_33,ja,敵を70体撃破しよう
e,202512010,event_sur_00001_34_ja,event_sur_00001_34,ja,敵を80体撃破しよう
e,202512010,event_sur_00001_35_ja,event_sur_00001_35,ja,敵を90体撃破しよう
e,202512010,event_sur_00001_36_ja,event_sur_00001_36,ja,敵を100体撃破しよう
e,202512010,event_sur_00001_37_ja,event_sur_00001_37,ja,敵を150体撃破しよう
e,202512010,event_sur_00001_38_ja,event_sur_00001_38,ja,敵を200体撃破しよう
e,202512010,event_sur_00001_39_ja,event_sur_00001_39,ja,敵を300体撃破しよう
