memo
TABLE,MstAdventBattleRewardGroup,MstAdventBattleRewardGroup,MstAdventBattleRewardGroup,MstAdventBattleRewardGroup,MstAdventBattleRewardGroup
ENABLE,id,mst_advent_battle_id,reward_category,condition_value,release_key
e,quest_you_00001_ranking_1,quest_you_00001,Ranking,1,202602010
e,quest_you_00001_ranking_2,quest_you_00001,Ranking,2,202602010
e,quest_you_00001_ranking_3,quest_you_00001,Ranking,3,202602010
e,quest_you_00001_ranking_4_50,quest_you_00001,Ranking,4-50,202602010
e,quest_you_00001_ranking_51_300,quest_you_00001,Ranking,51-300,202602010
e,quest_you_00001_ranking_301_1000,quest_you_00001,Ranking,301-1000,202602010
e,quest_you_00001_ranking_1001_5000,quest_you_00001,Ranking,1001-5000,202602010
e,quest_you_00001_ranking_5001_10000,quest_you_00001,Ranking,5001-10000,202602010
e,quest_you_00001_ranking_10001_plus,quest_you_00001,Ranking,10001-,202602010
e,quest_you_00001_maxscore_5000,quest_you_00001,MaxScore,5000,202602010
e,quest_you_00001_maxscore_10000,quest_you_00001,MaxScore,10000,202602010
e,quest_you_00001_maxscore_15000,quest_you_00001,MaxScore,15000,202602010
e,quest_you_00001_maxscore_20000,quest_you_00001,MaxScore,20000,202602010
e,quest_you_00001_maxscore_30000,quest_you_00001,MaxScore,30000,202602010
e,quest_you_00001_maxscore_40000,quest_you_00001,MaxScore,40000,202602010
e,quest_you_00001_maxscore_50000,quest_you_00001,MaxScore,50000,202602010
e,quest_you_00001_maxscore_75000,quest_you_00001,MaxScore,75000,202602010
e,quest_you_00001_maxscore_100000,quest_you_00001,MaxScore,100000,202602010
e,quest_you_00001_maxscore_150000,quest_you_00001,MaxScore,150000,202602010
e,quest_you_00001_maxscore_200000,quest_you_00001,MaxScore,200000,202602010
e,quest_you_00001_rank_bronze_1_reward,quest_you_00001,Rank,Bronze-1,202602010
e,quest_you_00001_rank_bronze_2_reward,quest_you_00001,Rank,Bronze-2,202602010
e,quest_you_00001_rank_bronze_3_reward,quest_you_00001,Rank,Bronze-3,202602010
e,quest_you_00001_rank_bronze_4_reward,quest_you_00001,Rank,Bronze-4,202602010
e,quest_you_00001_rank_silver_1_reward,quest_you_00001,Rank,Silver-1,202602010
e,quest_you_00001_rank_silver_2_reward,quest_you_00001,Rank,Silver-2,202602010
e,quest_you_00001_rank_silver_3_reward,quest_you_00001,Rank,Silver-3,202602010
e,quest_you_00001_rank_silver_4_reward,quest_you_00001,Rank,Silver-4,202602010
e,quest_you_00001_rank_gold_1_reward,quest_you_00001,Rank,Gold-1,202602010
e,quest_you_00001_rank_gold_2_reward,quest_you_00001,Rank,Gold-2,202602010
e,quest_you_00001_rank_gold_3_reward,quest_you_00001,Rank,Gold-3,202602010
e,quest_you_00001_rank_gold_4_reward,quest_you_00001,Rank,Gold-4,202602010
e,quest_you_00001_rank_master_1_reward,quest_you_00001,Rank,Master-1,202602010
e,quest_you_00001_rank_master_2_reward,quest_you_00001,Rank,Master-2,202602010
e,quest_you_00001_rank_master_3_reward,quest_you_00001,Rank,Master-3,202602010
e,quest_you_00001_rank_master_4_reward,quest_you_00001,Rank,Master-4,202602010
