memo,報酬一覧の仕様書に基づいて作成した主要報酬の表示設定
TABLE,MstEventDisplayReward,MstEventDisplayReward,MstEventDisplayReward,MstEventDisplayReward,MstEventDisplayReward,MstEventDisplayReward
ENABLE,id,mst_event_id,resource_type,resource_id,sort_order,release_key
e,event_you_00001_reward_001,event_you_00001,Unit,chara_you_00201,1,202602010
e,event_you_00001_reward_002,event_you_00001,Unit,chara_you_00301,2,202602010
e,event_you_00001_reward_003,event_you_00001,FreeDiamond,__NULL__,3,202602010
e,event_you_00001_reward_004,event_you_00001,Coin,__NULL__,4,202602010
e,event_you_00001_reward_005,event_you_00001,Item,ticket_you_00001,5,202602010
e,event_you_00001_reward_006,event_you_00001,Item,memoryfragment_glo_00003,6,202602010
e,event_you_00001_reward_007,event_you_00001,Item,memory_glo_00003,7,202602010
e,event_you_00001_reward_008,event_you_00001,Item,piece_you_00201,8,202602010
e,event_you_00001_reward_009,event_you_00001,Item,piece_you_00301,9,202602010
e,event_you_00001_reward_010,event_you_00001,Item,unit_memory_you_00201,10,202602010
e,event_you_00001_reward_011,event_you_00001,Item,unit_memory_you_00301,11,202602010
e,event_you_00001_reward_012,event_you_00001,Item,piece_sur_00101,12,202602010
e,event_you_00001_reward_013,event_you_00001,Item,piece_sur_00501,13,202602010
e,event_you_00001_reward_014,event_you_00001,Item,piece_sur_00601,14,202602010
e,event_you_00001_reward_015,event_you_00001,Emblem,emblem_event_you_00001,15,202602010
e,event_you_00001_reward_016,event_you_00001,Emblem,emblem_event_you_00002,16,202602010
e,event_you_00001_reward_017,event_you_00001,Emblem,emblem_event_you_00003,17,202602010
