memo
TABLE,MstAdventBattleRank,MstAdventBattleRank,MstAdventBattleRank,MstAdventBattleRank,MstAdventBattleRank,MstAdventBattleRank,MstAdventBattleRank
ENABLE,id,mst_advent_battle_id,rank_type,rank_level,required_lower_score,asset_key,release_key
e,quest_you_00001_rank_bronze_1,quest_you_00001,Bronze,1,1000,__NULL__,202602010
e,quest_you_00001_rank_bronze_2,quest_you_00001,Bronze,2,2000,__NULL__,202602010
e,quest_you_00001_rank_bronze_3,quest_you_00001,Bronze,3,3000,__NULL__,202602010
e,quest_you_00001_rank_bronze_4,quest_you_00001,Bronze,4,4000,__NULL__,202602010
e,quest_you_00001_rank_silver_1,quest_you_00001,Silver,1,5000,__NULL__,202602010
e,quest_you_00001_rank_silver_2,quest_you_00001,Silver,2,7500,__NULL__,202602010
e,quest_you_00001_rank_silver_3,quest_you_00001,Silver,3,10000,__NULL__,202602010
e,quest_you_00001_rank_silver_4,quest_you_00001,Silver,4,12500,__NULL__,202602010
e,quest_you_00001_rank_gold_1,quest_you_00001,Gold,1,15000,__NULL__,202602010
e,quest_you_00001_rank_gold_2,quest_you_00001,Gold,2,30000,__NULL__,202602010
e,quest_you_00001_rank_gold_3,quest_you_00001,Gold,3,50000,__NULL__,202602010
e,quest_you_00001_rank_gold_4,quest_you_00001,Gold,4,75000,__NULL__,202602010
e,quest_you_00001_rank_master_1,quest_you_00001,Master,1,100000,__NULL__,202602010
e,quest_you_00001_rank_master_2,quest_you_00001,Master,2,250000,__NULL__,202602010
e,quest_you_00001_rank_master_3,quest_you_00001,Master,3,500000,__NULL__,202602010
e,quest_you_00001_rank_master_4,quest_you_00001,Master,4,1000000,__NULL__,202602010
