memo
TABLE,MstMissionEvent,MstMissionEvent,MstMissionEvent,MstMissionEvent,MstMissionEvent,MstMissionEvent,MstMissionEvent,MstMissionEvent,MstMissionEvent,MstMissionEvent,MstMissionEvent,MstMissionEvent,MstMissionEvent,MstMissionEvent,MstMissionEventI18n
ENABLE,id,release_key,mst_event_id,criterion_type,criterion_value,criterion_count,unlock_criterion_type,unlock_criterion_value,unlock_criterion_count,group_key,mst_mission_reward_group_id,sort_order,event_category,destination_scene,description.ja
e,kindergarten_wars_mission_001,202602020,event_kindergarten_wars_20260202,SpecificUnitGradeUp,unit_dug_sr_green,2,__NULL__,,0,,kindergarten_wars_reward_001,1,__NULL__,UnitDetail,ダグ をグレード2まで強化しよう
e,kindergarten_wars_mission_002,202602020,event_kindergarten_wars_20260202,SpecificUnitGradeUp,unit_dug_sr_green,3,__NULL__,,0,,kindergarten_wars_reward_002,2,__NULL__,UnitDetail,ダグ をグレード3まで強化しよう
e,kindergarten_wars_mission_003,202602020,event_kindergarten_wars_20260202,SpecificUnitGradeUp,unit_dug_sr_green,4,__NULL__,,0,,kindergarten_wars_reward_003,3,__NULL__,UnitDetail,ダグ をグレード4まで強化しよう
e,kindergarten_wars_mission_004,202602020,event_kindergarten_wars_20260202,SpecificUnitGradeUp,unit_dug_sr_green,5,__NULL__,,0,,kindergarten_wars_reward_004,4,__NULL__,UnitDetail,ダグ をグレード5まで強化しよう
e,kindergarten_wars_mission_005,202602020,event_kindergarten_wars_20260202,SpecificUnitLevelUp,unit_dug_sr_green,20,__NULL__,,0,,kindergarten_wars_reward_005,5,__NULL__,UnitDetail,ダグ をLv.20まで強化しよう
e,kindergarten_wars_mission_006,202602020,event_kindergarten_wars_20260202,SpecificUnitLevelUp,unit_dug_sr_green,30,__NULL__,,0,,kindergarten_wars_reward_006,6,__NULL__,UnitDetail,ダグ をLv.30まで強化しよう
e,kindergarten_wars_mission_007,202602020,event_kindergarten_wars_20260202,SpecificUnitLevelUp,unit_dug_sr_green,40,__NULL__,,0,,kindergarten_wars_reward_007,7,__NULL__,UnitDetail,ダグ をLv.40まで強化しよう
e,kindergarten_wars_mission_008,202602020,event_kindergarten_wars_20260202,SpecificUnitLevelUp,unit_dug_sr_green,50,__NULL__,,0,,kindergarten_wars_reward_008,8,__NULL__,UnitDetail,ダグ をLv.50まで強化しよう
e,kindergarten_wars_mission_009,202602020,event_kindergarten_wars_20260202,SpecificUnitLevelUp,unit_dug_sr_green,60,__NULL__,,0,,kindergarten_wars_reward_009,9,__NULL__,UnitDetail,ダグ をLv.60まで強化しよう
e,kindergarten_wars_mission_010,202602020,event_kindergarten_wars_20260202,SpecificUnitLevelUp,unit_dug_sr_green,70,__NULL__,,0,,kindergarten_wars_reward_010,10,__NULL__,UnitDetail,ダグ をLv.70まで強化しよう
e,kindergarten_wars_mission_011,202602020,event_kindergarten_wars_20260202,SpecificUnitLevelUp,unit_dug_sr_green,80,__NULL__,,0,,kindergarten_wars_reward_011,11,__NULL__,UnitDetail,ダグ をLv.80まで強化しよう
e,kindergarten_wars_mission_012,202602020,event_kindergarten_wars_20260202,SpecificUnitGradeUp,unit_hana_sr_blue,2,__NULL__,,0,,kindergarten_wars_reward_012,12,__NULL__,UnitDetail,ハナ をグレード2まで強化しよう
e,kindergarten_wars_mission_013,202602020,event_kindergarten_wars_20260202,SpecificUnitGradeUp,unit_hana_sr_blue,3,__NULL__,,0,,kindergarten_wars_reward_013,13,__NULL__,UnitDetail,ハナ をグレード3まで強化しよう
e,kindergarten_wars_mission_014,202602020,event_kindergarten_wars_20260202,SpecificUnitGradeUp,unit_hana_sr_blue,4,__NULL__,,0,,kindergarten_wars_reward_014,14,__NULL__,UnitDetail,ハナ をグレード4まで強化しよう
e,kindergarten_wars_mission_015,202602020,event_kindergarten_wars_20260202,SpecificUnitGradeUp,unit_hana_sr_blue,5,__NULL__,,0,,kindergarten_wars_reward_015,15,__NULL__,UnitDetail,ハナ をグレード5まで強化しよう
e,kindergarten_wars_mission_016,202602020,event_kindergarten_wars_20260202,SpecificUnitLevelUp,unit_hana_sr_blue,20,__NULL__,,0,,kindergarten_wars_reward_016,16,__NULL__,UnitDetail,ハナ をLv.20まで強化しよう
e,kindergarten_wars_mission_017,202602020,event_kindergarten_wars_20260202,SpecificUnitLevelUp,unit_hana_sr_blue,30,__NULL__,,0,,kindergarten_wars_reward_017,17,__NULL__,UnitDetail,ハナ をLv.30まで強化しよう
e,kindergarten_wars_mission_018,202602020,event_kindergarten_wars_20260202,SpecificUnitLevelUp,unit_hana_sr_blue,40,__NULL__,,0,,kindergarten_wars_reward_018,18,__NULL__,UnitDetail,ハナ をLv.40まで強化しよう
e,kindergarten_wars_mission_019,202602020,event_kindergarten_wars_20260202,SpecificUnitLevelUp,unit_hana_sr_blue,50,__NULL__,,0,,kindergarten_wars_reward_019,19,__NULL__,UnitDetail,ハナ をLv.50まで強化しよう
e,kindergarten_wars_mission_020,202602020,event_kindergarten_wars_20260202,SpecificUnitLevelUp,unit_hana_sr_blue,60,__NULL__,,0,,kindergarten_wars_reward_020,20,__NULL__,UnitDetail,ハナ をLv.60まで強化しよう
e,kindergarten_wars_mission_021,202602020,event_kindergarten_wars_20260202,SpecificUnitLevelUp,unit_hana_sr_blue,70,__NULL__,,0,,kindergarten_wars_reward_021,21,__NULL__,UnitDetail,ハナ をLv.70まで強化しよう
e,kindergarten_wars_mission_022,202602020,event_kindergarten_wars_20260202,SpecificUnitLevelUp,unit_hana_sr_blue,80,__NULL__,,0,,kindergarten_wars_reward_022,22,__NULL__,UnitDetail,ハナ をLv.80まで強化しよう
e,kindergarten_wars_mission_023,202602020,event_kindergarten_wars_20260202,SpecificStageClearCount,stage_kindergarten_wars_story_001,1,__NULL__,,0,,kindergarten_wars_reward_023,23,__NULL__,StageSelect,ストーリークエスト「先輩は敬いたまえ」をクリアしよう
e,kindergarten_wars_mission_024,202602020,event_kindergarten_wars_20260202,SpecificStageClearCount,stage_kindergarten_wars_story_002,1,__NULL__,,0,,kindergarten_wars_reward_024,24,__NULL__,StageSelect,ストーリークエスト「兄を助けてくれないか？」をクリアしよう
e,kindergarten_wars_mission_025,202602020,event_kindergarten_wars_20260202,SpecificStageClearCount,stage_kindergarten_wars_challenge_001,1,__NULL__,,0,,kindergarten_wars_reward_025,25,__NULL__,StageSelect,チャレンジクエスト「世界一安全な幼稚園」をクリアしよう
e,kindergarten_wars_mission_026,202602020,event_kindergarten_wars_20260202,SpecificStageClearCount,stage_kindergarten_wars_hard_001,1,__NULL__,,0,,kindergarten_wars_reward_026,26,__NULL__,StageSelect,高難易度「正義だけじゃ何も守れない」をクリアしよう
e,kindergarten_wars_mission_027,202602020,event_kindergarten_wars_20260202,EnemyDefeatCount,__NULL__,10,__NULL__,,0,,kindergarten_wars_reward_027,27,__NULL__,Event,敵を10体撃破しよう
e,kindergarten_wars_mission_028,202602020,event_kindergarten_wars_20260202,EnemyDefeatCount,__NULL__,20,__NULL__,,0,,kindergarten_wars_reward_028,28,__NULL__,Event,敵を20体撃破しよう
e,kindergarten_wars_mission_029,202602020,event_kindergarten_wars_20260202,EnemyDefeatCount,__NULL__,30,__NULL__,,0,,kindergarten_wars_reward_029,29,__NULL__,Event,敵を30体撃破しよう
e,kindergarten_wars_mission_030,202602020,event_kindergarten_wars_20260202,EnemyDefeatCount,__NULL__,40,__NULL__,,0,,kindergarten_wars_reward_030,30,__NULL__,Event,敵を40体撃破しよう
e,kindergarten_wars_mission_031,202602020,event_kindergarten_wars_20260202,EnemyDefeatCount,__NULL__,50,__NULL__,,0,,kindergarten_wars_reward_031,31,__NULL__,Event,敵を50体撃破しよう
e,kindergarten_wars_mission_032,202602020,event_kindergarten_wars_20260202,EnemyDefeatCount,__NULL__,60,__NULL__,,0,,kindergarten_wars_reward_032,32,__NULL__,Event,敵を60体撃破しよう
e,kindergarten_wars_mission_033,202602020,event_kindergarten_wars_20260202,EnemyDefeatCount,__NULL__,70,__NULL__,,0,,kindergarten_wars_reward_033,33,__NULL__,Event,敵を70体撃破しよう
e,kindergarten_wars_mission_034,202602020,event_kindergarten_wars_20260202,EnemyDefeatCount,__NULL__,80,__NULL__,,0,,kindergarten_wars_reward_034,34,__NULL__,Event,敵を80体撃破しよう
e,kindergarten_wars_mission_035,202602020,event_kindergarten_wars_20260202,EnemyDefeatCount,__NULL__,90,__NULL__,,0,,kindergarten_wars_reward_035,35,__NULL__,Event,敵を90体撃破しよう
e,kindergarten_wars_mission_036,202602020,event_kindergarten_wars_20260202,EnemyDefeatCount,__NULL__,100,__NULL__,,0,,kindergarten_wars_reward_036,36,__NULL__,Event,敵を100体撃破しよう
e,kindergarten_wars_mission_037,202602020,event_kindergarten_wars_20260202,EnemyDefeatCount,__NULL__,150,__NULL__,,0,,kindergarten_wars_reward_037,37,__NULL__,Event,敵を150体撃破しよう
e,kindergarten_wars_mission_038,202602020,event_kindergarten_wars_20260202,EnemyDefeatCount,__NULL__,200,__NULL__,,0,,kindergarten_wars_reward_038,38,__NULL__,Event,敵を200体撃破しよう
e,kindergarten_wars_mission_039,202602020,event_kindergarten_wars_20260202,EnemyDefeatCount,__NULL__,300,__NULL__,,0,,kindergarten_wars_reward_039,39,__NULL__,Event,敵を300体撃破しよう
