memo,幼稚園WARSいいジャン祭のステージ報酬
TABLE,MstStageReward,MstStageReward,MstStageReward,MstStageReward,MstStageReward,MstStageReward,MstStageReward,MstStageReward,MstStageReward,MstStageReward
ENABLE,id,mst_stage_id,reward_category,resource_type,resource_id,percentage,sort_order,resource_amount,weight,release_key
e,stage_reward_you_001_01,stage_you_00001_001,FirstClear,FreeDiamond,,1,1,80,100,202602010
e,stage_reward_you_001_02,stage_you_00001_001,FirstClear,Coin,,1,2,900,100,202602010
e,stage_reward_you_001_03,stage_you_00001_001,FirstClear,Item,piece_you_00201,1,3,25,100,202602010
e,stage_reward_you_001_04,stage_you_00001_001,FirstClear,Item,memoryfragment_glo_00001,1,4,5,100,202602010
e,stage_reward_you_003_01,stage_you_00001_003,FirstClear,FreeDiamond,,1,1,80,100,202602010
e,stage_reward_you_003_02,stage_you_00001_003,FirstClear,Coin,,1,2,900,100,202602010
e,stage_reward_you_003_03,stage_you_00001_003,FirstClear,Item,piece_you_00201,1,3,25,100,202602010
e,stage_reward_you_003_04,stage_you_00001_003,FirstClear,Item,memoryfragment_glo_00001,1,4,5,100,202602010
e,stage_reward_you_003_05,stage_you_00001_003,FirstClear,Item,memoryfragment_glo_00002,1,5,2,100,202602010
e,stage_reward_you_004_01,stage_you_00001_004,FirstClear,FreeDiamond,,1,1,80,100,202602010
e,stage_reward_you_004_02,stage_you_00001_004,FirstClear,Coin,,1,2,1000,100,202602010
e,stage_reward_you_004_03,stage_you_00001_004,FirstClear,Item,piece_you_00201,1,3,25,100,202602010
e,stage_reward_you_004_04,stage_you_00001_004,FirstClear,Item,unit_memory_you_00201,1,4,1100,100,202602010
e,stage_reward_you_004_05,stage_you_00001_004,FirstClear,Unit,chara_you_00201,1,5,1,100,202602010
e,stage_reward_you_004_06,stage_you_00001_004,FirstClear,Item,memoryfragment_glo_00001,1,6,5,100,202602010
e,stage_reward_you_004_07,stage_you_00001_004,FirstClear,Item,memoryfragment_glo_00002,1,7,3,100,202602010
e,stage_reward_you_004_08,stage_you_00001_004,FirstClear,Item,memoryfragment_glo_00003,1,8,1,100,202602010
e,stage_reward_you_002_01,stage_you_00001_002,FirstClear,FreeDiamond,,1,1,80,100,202602010
e,stage_reward_you_002_02,stage_you_00001_002,FirstClear,Coin,,1,2,900,100,202602010
e,stage_reward_you_002_03,stage_you_00001_002,FirstClear,Item,piece_you_00301,1,3,25,100,202602010
e,stage_reward_you_002_04,stage_you_00001_002,FirstClear,Item,memoryfragment_glo_00001,1,4,5,100,202602010
e,stage_reward_you_005_01,stage_you_00001_005,FirstClear,FreeDiamond,,1,1,80,100,202602010
e,stage_reward_you_005_02,stage_you_00001_005,FirstClear,Coin,,1,2,900,100,202602010
e,stage_reward_you_005_03,stage_you_00001_005,FirstClear,Item,piece_you_00301,1,3,25,100,202602010
e,stage_reward_you_005_04,stage_you_00001_005,FirstClear,Item,memoryfragment_glo_00001,1,4,5,100,202602010
e,stage_reward_you_005_05,stage_you_00001_005,FirstClear,Item,memoryfragment_glo_00002,1,5,2,100,202602010
e,stage_reward_you_006_01,stage_you_00001_006,FirstClear,FreeDiamond,,1,1,80,100,202602010
e,stage_reward_you_006_02,stage_you_00001_006,FirstClear,Coin,,1,2,1000,100,202602010
e,stage_reward_you_006_03,stage_you_00001_006,FirstClear,Item,piece_you_00301,1,3,25,100,202602010
e,stage_reward_you_006_04,stage_you_00001_006,FirstClear,Item,unit_memory_you_00301,1,4,1100,100,202602010
e,stage_reward_you_006_05,stage_you_00001_006,FirstClear,Unit,chara_you_00301,1,5,1,100,202602010
e,stage_reward_you_006_06,stage_you_00001_006,FirstClear,Item,memoryfragment_glo_00001,1,6,5,100,202602010
e,stage_reward_you_006_07,stage_you_00001_006,FirstClear,Item,memoryfragment_glo_00002,1,7,3,100,202602010
e,stage_reward_you_006_08,stage_you_00001_006,FirstClear,Item,memoryfragment_glo_00003,1,8,1,100,202602010
e,stage_reward_you_challenge_01,stage_you_00001_challenge,FirstClear,FreeDiamond,,1,1,240,100,202602010
e,stage_reward_you_challenge_02,stage_you_00001_challenge,FirstClear,Coin,,1,2,900,100,202602010
e,stage_reward_you_challenge_03,stage_you_00001_challenge,FirstClear,Item,ticket_you_00001,1,3,4,100,202602010
e,stage_reward_you_challenge_04,stage_you_00001_challenge,FirstClear,Item,piece_sur_00501,1,4,50,100,202602010
e,stage_reward_you_challenge_05,stage_you_00001_challenge,FirstClear,Item,piece_sur_00101,1,5,50,100,202602010
e,stage_reward_you_challenge_06,stage_you_00001_challenge,FirstClear,Item,piece_sur_00601,1,6,50,100,202602010
e,stage_reward_you_hard_01,stage_you_00001_hard,FirstClear,FreeDiamond,,1,1,200,100,202602010
e,stage_reward_you_hard_02,stage_you_00001_hard,FirstClear,Coin,,1,2,900,100,202602010
e,stage_reward_you_hard_03,stage_you_00001_hard,FirstClear,Item,emblem_event_you_00001,1,3,1,100,202602010
e,stage_reward_you_hard_04,stage_you_00001_hard,FirstClear,Item,emblem_event_you_00002,1,4,1,100,202602010
