memo
TABLE,MstAdventBattleClearReward,MstAdventBattleClearReward,MstAdventBattleClearReward,MstAdventBattleClearReward,MstAdventBattleClearReward,MstAdventBattleClearReward,MstAdventBattleClearReward,MstAdventBattleClearReward,MstAdventBattleClearReward
ENABLE,id,mst_advent_battle_id,reward_category,resource_type,resource_id,resource_amount,percentage,sort_order,release_key
e,advent_battle_you_00001_01,advent_battle_you_00001,FirstClear,Item,memory_glo_00001,10,20,1,202602020
e,advent_battle_you_00001_02,advent_battle_you_00001,FirstClear,Item,memory_glo_00002,10,20,2,202602020
e,advent_battle_you_00001_03,advent_battle_you_00001,FirstClear,Item,memory_glo_00003,10,20,3,202602020
e,advent_battle_you_00001_04,advent_battle_you_00001,FirstClear,Item,memory_glo_00004,10,20,4,202602020
e,advent_battle_you_00001_05,advent_battle_you_00001,FirstClear,Item,memory_glo_00005,10,20,5,202602020
e,advent_battle_you_00001_06,advent_battle_you_00001,Always,Item,memory_glo_00001,5,15,6,202602020
e,advent_battle_you_00001_07,advent_battle_you_00001,Always,Item,memory_glo_00002,5,15,7,202602020
e,advent_battle_you_00001_08,advent_battle_you_00001,Always,Item,memory_glo_00003,5,15,8,202602020
e,advent_battle_you_00001_09,advent_battle_you_00001,Always,Item,memory_glo_00004,5,15,9,202602020
e,advent_battle_you_00001_10,advent_battle_you_00001,Always,Item,memory_glo_00005,5,15,10,202602020
e,advent_battle_you_00001_11,advent_battle_you_00001,Random,Item,memory_glo_00001,3,10,11,202602020
e,advent_battle_you_00001_12,advent_battle_you_00001,Random,Item,memory_glo_00002,3,10,12,202602020
e,advent_battle_you_00001_13,advent_battle_you_00001,Random,Item,memory_glo_00003,3,10,13,202602020
e,advent_battle_you_00001_14,advent_battle_you_00001,Random,Item,memory_glo_00004,3,10,14,202602020
e,advent_battle_you_00001_15,advent_battle_you_00001,Random,Item,memory_glo_00005,3,10,15,202602020
