memo
TABLE,OprGachaPrize,OprGachaPrize,OprGachaPrize,OprGachaPrize,OprGachaPrize,OprGachaPrize,OprGachaPrize,OprGachaPrize
ENABLE,id,group_id,resource_type,resource_id,resource_amount,weight,pickup,release_key
e,Pickup_you_001_pickup_ur,Pickup_you_001,Unit,chara_you_00001,1,702,1,1
e,Pickup_you_001_ur_01,Pickup_you_001,Unit,chara_spy_00101,1,162,0,1
e,Pickup_you_001_ur_02,Pickup_you_001,Unit,chara_spy_00201,1,162,0,1
e,Pickup_you_001_ur_03,Pickup_you_001,Unit,chara_spy_00001,1,162,0,1
e,Pickup_you_001_ur_04,Pickup_you_001,Unit,chara_dan_00002,1,162,0,1
e,Pickup_you_001_ur_05,Pickup_you_001,Unit,chara_gom_00001,1,162,0,1
e,Pickup_you_001_ur_06,Pickup_you_001,Unit,chara_chi_00002,1,162,0,1
e,Pickup_you_001_ur_07,Pickup_you_001,Unit,chara_kai_00002,1,162,0,1
e,Pickup_you_001_ur_08,Pickup_you_001,Unit,chara_yuw_00001,1,162,0,1
e,Pickup_you_001_ur_09,Pickup_you_001,Unit,chara_yuw_00101,1,162,0,1
e,Pickup_you_001_ur_10,Pickup_you_001,Unit,chara_sur_00101,1,162,0,1
e,Pickup_you_001_ur_11,Pickup_you_001,Unit,chara_jig_00001,1,162,0,1
e,Pickup_you_001_ur_12,Pickup_you_001,Unit,chara_mag_00001,1,162,0,1
e,Pickup_you_001_ur_13,Pickup_you_001,Unit,chara_sum_00101,1,162,0,1
e,Pickup_you_001_pickup_ssr,Pickup_you_001,Unit,chara_you_00101,1,1404,1,1
e,Pickup_you_001_ssr_01,Pickup_you_001,Unit,chara_dan_00101,1,884,0,1
e,Pickup_you_001_ssr_02,Pickup_you_001,Unit,chara_chi_00201,1,884,0,1
e,Pickup_you_001_ssr_03,Pickup_you_001,Unit,chara_chi_00301,1,884,0,1
e,Pickup_you_001_ssr_04,Pickup_you_001,Unit,chara_kai_00301,1,884,0,1
e,Pickup_you_001_ssr_05,Pickup_you_001,Unit,chara_ron_00001,1,884,0,1
e,Pickup_you_001_ssr_06,Pickup_you_001,Unit,chara_aha_00101,1,884,0,1
e,Pickup_you_001_ssr_07,Pickup_you_001,Unit,chara_jig_00101,1,884,0,1
e,Pickup_you_001_ssr_08,Pickup_you_001,Unit,chara_dos_00001,1,884,0,1
e,Pickup_you_001_ssr_09,Pickup_you_001,Unit,chara_dos_00101,1,884,0,1
e,Pickup_you_001_sr_01,Pickup_you_001,Unit,chara_gom_00101,1,3276,0,1
e,Pickup_you_001_sr_02,Pickup_you_001,Unit,chara_bat_00001,1,3276,0,1
e,Pickup_you_001_sr_03,Pickup_you_001,Unit,chara_bat_00101,1,3276,0,1
e,Pickup_you_001_sr_04,Pickup_you_001,Unit,chara_kai_00101,1,3276,0,1
e,Pickup_you_001_sr_05,Pickup_you_001,Unit,chara_sur_00201,1,3276,0,1
e,Pickup_you_001_sr_06,Pickup_you_001,Unit,chara_sur_00301,1,3276,0,1
e,Pickup_you_001_sr_07,Pickup_you_001,Unit,chara_aha_00001,1,3276,0,1
e,Pickup_you_001_sr_08,Pickup_you_001,Unit,chara_jig_00301,1,3276,0,1
e,Pickup_you_001_sr_09,Pickup_you_001,Unit,chara_mag_00101,1,3276,0,1
e,Pickup_you_001_sr_10,Pickup_you_001,Unit,chara_sum_00201,1,3276,0,1
e,Pickup_you_001_r_01,Pickup_you_001,Unit,chara_aka_00001,1,5408,0,1
e,Pickup_you_001_r_02,Pickup_you_001,Unit,chara_aka_00101,1,5408,0,1
e,Pickup_you_001_r_03,Pickup_you_001,Unit,chara_rik_00001,1,5408,0,1
e,Pickup_you_001_r_04,Pickup_you_001,Unit,chara_ron_00101,1,5408,0,1
e,Pickup_you_001_r_05,Pickup_you_001,Unit,chara_dan_00001,1,5408,0,1
e,Pickup_you_001_r_06,Pickup_you_001,Unit,chara_chi_00001,1,5408,0,1
e,Pickup_you_001_r_07,Pickup_you_001,Unit,chara_kai_00001,1,5408,0,1
e,Pickup_you_001_r_08,Pickup_you_001,Unit,chara_sur_00001,1,5408,0,1
e,Pickup_you_001_r_09,Pickup_you_001,Unit,chara_sum_00001,1,5408,0,1
e,fixd_Pickup_you_001_pickup_ur,fixd_Pickup_you_001,Unit,chara_you_00001,1,1755,1,1
e,fixd_Pickup_you_001_ur_01,fixd_Pickup_you_001,Unit,chara_spy_00101,1,405,0,1
e,fixd_Pickup_you_001_ur_02,fixd_Pickup_you_001,Unit,chara_spy_00201,1,405,0,1
e,fixd_Pickup_you_001_ur_03,fixd_Pickup_you_001,Unit,chara_spy_00001,1,405,0,1
e,fixd_Pickup_you_001_ur_04,fixd_Pickup_you_001,Unit,chara_dan_00002,1,405,0,1
e,fixd_Pickup_you_001_ur_05,fixd_Pickup_you_001,Unit,chara_gom_00001,1,405,0,1
e,fixd_Pickup_you_001_ur_06,fixd_Pickup_you_001,Unit,chara_chi_00002,1,405,0,1
e,fixd_Pickup_you_001_ur_07,fixd_Pickup_you_001,Unit,chara_kai_00002,1,405,0,1
e,fixd_Pickup_you_001_ur_08,fixd_Pickup_you_001,Unit,chara_yuw_00001,1,405,0,1
e,fixd_Pickup_you_001_ur_09,fixd_Pickup_you_001,Unit,chara_yuw_00101,1,405,0,1
