memo,幼稚園WARSいいジャン祭のログインボーナス報酬（7日間）
TABLE,MstDailyBonusReward,MstDailyBonusReward,MstDailyBonusReward,MstComebackBonus,MstComebackBonus,MstComebackBonus
ENABLE,id,release_key,group_id,resource_type,resource_id,resource_amount
e,comeback_you_00001_1_1,202602010,comeback_reward_group_you_00001_1,Coin,,2000
e,comeback_you_00001_1_2,202602010,comeback_reward_group_you_00001_1,Item,memoryfragment_glo_00001,2
e,comeback_you_00001_2_1,202602010,comeback_reward_group_you_00001_2,Coin,,2000
e,comeback_you_00001_2_2,202602010,comeback_reward_group_you_00001_2,Item,memoryfragment_glo_00001,2
e,comeback_you_00001_3_1,202602010,comeback_reward_group_you_00001_3,FreeDiamond,,20
e,comeback_you_00001_3_2,202602010,comeback_reward_group_you_00001_3,Coin,,2000
e,comeback_you_00001_3_3,202602010,comeback_reward_group_you_00001_3,Item,memory_glo_00002,100
e,comeback_you_00001_4_1,202602010,comeback_reward_group_you_00001_4,Coin,,2000
e,comeback_you_00001_4_2,202602010,comeback_reward_group_you_00001_4,Item,memoryfragment_glo_00001,2
e,comeback_you_00001_4_3,202602010,comeback_reward_group_you_00001_4,Item,memoryfragment_glo_00002,1
e,comeback_you_00001_5_1,202602010,comeback_reward_group_you_00001_5,FreeDiamond,,30
e,comeback_you_00001_5_2,202602010,comeback_reward_group_you_00001_5,Coin,,2000
e,comeback_you_00001_5_3,202602010,comeback_reward_group_you_00001_5,Item,memory_glo_00004,100
e,comeback_you_00001_6_1,202602010,comeback_reward_group_you_00001_6,Coin,,2000
e,comeback_you_00001_6_2,202602010,comeback_reward_group_you_00001_6,Item,memoryfragment_glo_00001,2
e,comeback_you_00001_6_3,202602010,comeback_reward_group_you_00001_6,Item,memoryfragment_glo_00002,1
e,comeback_you_00001_7_1,202602010,comeback_reward_group_you_00001_7,FreeDiamond,,50
e,comeback_you_00001_7_2,202602010,comeback_reward_group_you_00001_7,Coin,,3000
e,comeback_you_00001_7_3,202602010,comeback_reward_group_you_00001_7,Item,ticket_you_00001,3
e,comeback_you_00001_7_4,202602010,comeback_reward_group_you_00001_7,Item,ticket_you_00002,2
e,comeback_you_00001_7_5,202602010,comeback_reward_group_you_00001_7,Item,memoryfragment_glo_00001,5
e,comeback_you_00001_7_6,202602010,comeback_reward_group_you_00001_7,Item,memoryfragment_glo_00002,2
e,comeback_you_00001_7_7,202602010,comeback_reward_group_you_00001_7,Item,memory_glo_00002,500
e,comeback_you_00001_7_8,202602010,comeback_reward_group_you_00001_7,Item,memory_glo_00004,500
