,ランク＆累計ポイント設計,,,,,,,,,,,,,,,,,
,▼ランク報酬について,,,,,,,,,,,,,,,,,
,・シーズン終了時の最終ランクに応じて、新シーズン開始時に報酬を受け取れます。,,,,,,,,,,,,,,,,,
,・「ブロンズ1」「ブロンズ2」「シルバー1」など1ランクごとに設定が必要です。,,,,,,,,,,,,,,,,,
,・報酬アイテムは、1ランクごとに最大5つまで設定できます。,,,,,,,,,,,,,,,,,
,▼累計ポイント報酬について,,,,,,,,,,,,,,,,,
,・ランクマッチ1試合毎で勝利時に獲得したポイントの累計数に応じて報酬を受け取れます。,,,,,,,,,,,,,,,,,
,・報酬獲得可能な累計ポイントに達した段階で報酬が獲得でき、その後敗北後にポイントが下がって、再度報酬獲得可能な累計ポイントに達しても既に報酬を獲得している場合に再度受け取ることはできません。,,,,,,,,,,,,,,,,,
,・報酬アイテムは、累計ポイント1項目につき、1つ設定可能です。,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,◆202509010〜,ランク報酬,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,累計スコア（Pt）,ランク,報酬アイテム1,個数,報酬アイテム2,個数,報酬アイテム3,個数,報酬アイテム4,個数,報酬アイテム5,個数,,,,,,
,0,ブロンズ0,,,なし,,なし,,なし,,なし,,未参加のランク帯。報酬無し。,,,,,
,5~,ブロンズ1,プリズム,30,なし,,なし,,なし,,なし,,,配布できそうなアイテム,,,,
,10~,ブロンズ2,プリズム,40,なし,,なし,,なし,,なし,,,・ランダムRキャラのかけらBOX,,,,
,20~,ブロンズ3,プリズム,60,なし,,なし,,なし,,なし,,,・ランダムSRキャラのかけらBOX,,,,
,30~,ブロンズ4,プリズム,80,なし,,なし,,なし,,なし,,,高レアのかけらは配りたくない。けど、低レアのかけらはガシャチケと役割が被っている。,,,,
,50~,シルバー1,プリズム,100,なし,,なし,,なし,,なし,,,,,,,
,100~,シルバー2,プリズム,110,なし,,なし,,なし,,なし,,,・カラーメモリー各種(5種),,,,
,150~,シルバー3,プリズム,120,なし,,なし,,なし,,なし,,,配布枠が足りない。属性が偏るので避ける,,,,
,200~,シルバー4,プリズム,130,なし,,なし,,なし,,なし,,,,,,,
,400~,ゴールド1,プリズム,150,なし,,なし,,なし,,なし,,,・メモリーフラグメント各種(3種),,,,
,600~,ゴールド2,プリズム,160,なし,,なし,,なし,,なし,,,ピッタリ三枠。無くはない,,,,
,800~,ゴールド3,プリズム,170,なし,,なし,,なし,,なし,,,,,,,
,1000~,ゴールド4,プリズム,180,なし,,なし,,なし,,なし,,,・プレミアムメダル,※BNEさんNG,,,
,1250~,プラチナ1,プリズム,200,なし,,なし,,なし,,なし,,,"限定キャラがいるのでプレイ動機に繋がりそう。
ただしプレミアムメダルガシャの寿命を縮めるので要相談
天井は無しになったので配っても良さそう",,,※限定のタコピーは2.5%,
,1500~,プラチナ2,プリズム,230,なし,,なし,,なし,,なし,,,"参考情報
リリース時到達できそう図鑑ランク60",,,排出確率,
,1750~,プラチナ3,プリズム,260,なし,,なし,,なし,,なし,,,図鑑で獲得プレミアムメダル数65個,,,キャラ,45.00%
,2000~,プラチナ4,プリズム,300,なし,,なし,,なし,,なし,,,,,,アイテム,55.00%
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,◆202512010〜,累計ポイント報酬,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,累計スコア（Pt）,,報酬アイテム,個数,,,,,,,,,,,,,,
,10,,コイン,200,,,,,,,,,,,,,,
,30,,コイン,300,,,,,,,,,,,,,,
,50,,コイン,500,,,,,,,,,,,,,,
,75,,メモリーフラグメント・初級,3,,,,,,,,,,,,,,
,100,,コイン,1000,,,,,,,,,,,,,,
,150,,メモリーフラグメント・初級,5,,,,,,,,,,,,,,
,200,,コイン,1000,,,,,,,,,,,,,,
,300,,メモリーフラグメント・中級,1,,,,,,,,,,,,,,
,400,,コイン,2000,,,,,,,,,,,,,,
,500,,メモリーフラグメント・中級,2,,,,,,,,,,,,,,
,750,,コイン,2000,,,,,,,,,,,,,,
,1000,,プリズム,30,,,,,,,,,,,,,,
,1250,,コイン,3000,,,,,,,,,,,,,,
,1500,,メモリーフラグメント・上級,1,,,,,,,,,,,,,,
,2000,,スペシャルガシャチケット,2,,,,,,,,,,,,,,
