,"2シーズン(10/6~,10/13~)",,,,,,,,,,,,
,,,,,,,,,,,,,
,ステージ情報,,,,,ステージスクショ,,,,,,,
,テキスト,"【基本情報】
3段のステージで戦うぞ！
相手との距離があるので、リーダーPのバランスを考えてパーティを編成しよう！

【コマ効果情報】
攻撃UPコマが登場するぞ!
特性で攻撃UPコマ効果UPを持っているキャラを編成しよう!",,,,,,,,,,,
,,,,,,,,,,,,設定者確認項目,
,BGM,,,,,,,,,,,制限時間,FALSE
,ファイルid,SSE_SBG_003_007,,,,,,,,,,コマ割り,FALSE
,サウンド名称,"メイン・イベントクエスト強敵/ボス登場時2
（高難度）",,,,,,,,,,コマ効果,FALSE
,,,,,,,,,,,,BGM,FALSE
,背景,,,,,,,,,,,背景,FALSE
,asset_key,spy_00001,,,,,,,,,,ステージ情報文言,FALSE
,背景名称,ヨーロッパ風の市街地_昼,,,,,,,,,,報酬受取ランキング,FALSE
,,,,,,,,,,,,報酬受取シーズン,FALSE
,ランキング,,,,,,,,,,,,
,開催,する,,,,コマ割り,,,,,,,
,参加最低ランク,ブロンズ,,,,行数,行パターンID,コマ数,コマ高さ,コマ幅1,コマ幅2,コマ幅3,コマ幅4
,専用報酬,なし（default_pvp）,,,,1行目,1,1コマ,0.55,1,none,none,none
,,,,,,2行目,11,3コマ,0.55,0.4,0.2,0.4,none
,1日の挑戦上限,,,,,3行目,1,1コマ,0.55,1,none,none,none
,フリー,10,回,,,コマ効果,,,,,,,
,ランクマッチチケット,10,回,,,行数,行パターンID,コマ数,コマ高さ,コマ幅1,コマ幅2,コマ幅3,コマ幅4
,,,,,,1行目,,,,,,,
,,,,,,2行目,,,,攻撃upコマ(20%UP),,攻撃upコマ(20%UP),
,,,,,,3行目,,,,,,,
