,"2シーズン(10/20~,10/27~)",,,,,,,,,,,,
,,,,,,,,,,,,,
,ステージ情報,,,,,ステージスクショ,,,,,,,
,テキスト,"【基本情報】
3段のステージで戦うぞ！
相手との距離があるので、リーダーPのバランスを考えてパーティを編成しよう！

【コマ効果情報】
攻撃DOWNコマが登場するぞ!
特性で攻撃DOWNコマ無効化を持っているキャラを編成しよう!",,,,,,,,,,,
,,,,,,,,,,,,設定者確認項目,
,BGM,,,,,,,,,,,制限時間,FALSE
,ファイルid,SSE_SBG_003_007,,,,,,,,,,コマ割り,FALSE
,サウンド名称,"メイン・イベントクエスト強敵/ボス登場時2
（高難度）",,,,,,,,,,コマ効果,FALSE
,,,,,,,,,,,,BGM,FALSE
,背景,,,,,,,,,,,背景,FALSE
,asset_key,dan_00002,,,,,,,,,,ステージ情報文言,FALSE
,背景名称,住宅街_UFOあり,,,,,,,,,,報酬受取ランキング,FALSE
,,,,,,,,,,,,報酬受取シーズン,FALSE
,ランキング,,,,,,,,,,,,
,開催,する,,,,コマ割り,,,,,,,
,参加最低ランク,ブロンズ,,,,行数,行パターンID,コマ数,コマ高さ,コマ幅1,コマ幅2,コマ幅3,コマ幅4
,専用報酬,なし（default_pvp）,,,,1行目,8,3コマ,0.55,0.5,0.25,0.25,none
,,,,,,2行目,1,1コマ,0.55,1,none,none,none
,1日の挑戦上限,,,,,3行目,10,3コマ,0.55,0.25,0.25,0.5,none
,フリー,10,回,,,コマ効果,,,,,,,
,ランクマッチチケット,10,回,,,行数,行パターンID,コマ数,コマ高さ,コマ幅1,コマ幅2,コマ幅3,コマ幅4
,,,,,,1行目,,,,,,攻撃downコマ(30%DOWN),
,作成者,コマ承認状況,,,,2行目,,,,攻撃downコマ(30%DOWN),,,
,平野,承認済,,,,3行目,,,,攻撃downコマ(30%DOWN),,,
