,1シーズン(11/24~),,,,,,,,,,,,
,設定者チェック,QA可能,,,,,,,,,,,
,,,,,,,,,,,,,
,ステージ情報,,,,,ステージスクショ,,,,,,,
,テキスト,"【基本情報】
3段のステージで戦うぞ!
相手との距離があるので、リーダーPのバランスを考えてパーティを編成しよう!

【コマ効果情報】
突風コマが登場するぞ!
特性で突風コマ無効化を持っているキャラを編成しよう!",,,,,,,,,,,
,,,,,,,,,,,,,
,BGM,,,,,,,,,,,,
,ファイルid,SSE_SBG_003_007,,,,,,,,,,,
,サウンド名称,"メイン・イベントクエスト強敵/ボス登場時2
（高難度）",,,,,,,,,,,
,,,,,,,,,,,,,
,背景,,,,,,,,,,,,
,asset_key,yuw_00001,,,,,,,,,,,
,背景名称,コミケ会場風,,,,,,,,,,,
,,,,,,,,,,,,,
,ランキング,,,,,,,,,,,,
,開催,する,,,,コマ割り,,,,,,,
,参加最低ランク,ブロンズ,,,,行数,行パターンID,コマ数,コマ高さ,コマ幅1,コマ幅2,コマ幅3,コマ幅4
,専用報酬,なし（default_pvp）,,,,1行目,6,2コマ,0.55,0.50,0.50,none,none
,,,,,,2行目,1,1コマ,0.55,1,none,none,none
,1日の挑戦上限,,,,,3行目,6,2コマ,0.55,0.50,0.50,none,none
,フリー,10,回,,,コマ効果,,,,,,,
,ランクマッチチケット,10,回,,,行数,行パターンID,コマ数,コマ高さ,コマ幅1,コマ幅2,コマ幅3,コマ幅4
,,,,,,1行目,,,,,突風コマ(250、0.3),,
,特別ルール,,,,,2行目,,,,突風コマ(250、0.3),,,
,開始時リーダーP,200,,,,3行目,,,,突風コマ(250、0.3),,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,作成者,コマ承認状況,,,,,,,,,,,
,平野,承認済,,,,,,,,,,,
,,,,,,,,,,,,,
,設定者チェック,,,,,,,,,,,,
,設定後【実機】で以下の項目について動作確認をしてください。,,,,,,,,,,,,
,,,,,,,,,,,,,
,項目,1週目,2週目,3週目,4週目,チェック確認,,,,,,,
,制限時間,TRUE,TRUE,TRUE,TRUE,完了,,,,,,,
,コマ割り,TRUE,TRUE,TRUE,TRUE,完了,,,,,,,
,コマ効果,TRUE,TRUE,TRUE,TRUE,完了,,,,,,,
,BGM,TRUE,TRUE,TRUE,TRUE,完了,,,,,,,
,背景,TRUE,TRUE,TRUE,TRUE,完了,,,,,,,
,ステージ情報文言,TRUE,TRUE,TRUE,TRUE,完了,,,,,,,
,ランキング報酬一覧,TRUE,TRUE,TRUE,TRUE,完了,,,,,,,
,シーズン報酬一覧,TRUE,TRUE,TRUE,TRUE,完了,,,,,,,
,ランキング報酬受取,TRUE,TRUE,TRUE,TRUE,完了,,,,,,,
,シーズン報酬受取,TRUE,TRUE,TRUE,TRUE,完了,,,,,,,
,1日の挑戦上限,TRUE,TRUE,TRUE,TRUE,完了,,,,,,,
,1日のチケット上限,TRUE,TRUE,TRUE,TRUE,完了,,,,,,,
