,1シーズン(2026/3/9~),,,,,,,,,,,,,
,設定者チェック,QA可能,,,,,,,,,,,,
,,,,,,,,,,,,,,
,ステージ情報,,,,,ステージスクショ,,,,,,,,
,テキスト,"【基本情報】
3段のステージで戦うぞ!
相手との距離があるので、リーダーPのバランスを考えてパーティを編成しよう!

【コマ効果情報】
攻撃UPコマが登場するぞ!
特性で攻撃UPコマ効果UPを持っているキャラを編成しよう!

【特別ルール情報】
リーダーPが1,000溜まった状態でバトルが開始されるぞ!
さらに、全キャラの体力のステータス値が3倍UP!",,,,,,,,,,,,
,,,,,,,,,,,,,,
,BGM,,,,,,,,,,,,,
,ファイルid,SSE_SBG_003_007,,,,,,,,,,,,
,サウンド名称,"メイン・イベントクエスト強敵/ボス登場時2
（高難度）",,,,,,,,,,,,
,,,,,,,,,,,,,,
,背景,,,,,,,,,,,,,
,asset_key,hut_00001,,,,,,,,,,,,
,背景名称,#N/A,,,,,,,,,,,,
,,,,,,,,,,,,,,
,ランキング,,,,,,,,,,,,,
,開催,する,,,,コマ割り,,,,,,,,
,参加最低ランク,ブロンズ,,,,行数,行パターンID,コマ数,コマ高さ,コマ幅1,コマ幅2,コマ幅3,コマ幅4,
,専用報酬,なし（default_pvp）,,,,1行目,6,2コマ,0.55,0.50,0.50,none,none,
,,,,,,2行目,7,3コマ,0.55,0.33,0.34,0.33,none,
,1日の挑戦上限,,,,,3行目,6,2コマ,0.55,0.50,0.50,none,none,
,フリー,10,回,,,4行目,none,none,none,none,none,none,none,
,ランクマッチチケット,10,回,,,コマ効果,,,,,,,,
,,,,,,行数,行パターンID,コマ数,コマ高さ,コマ幅1,コマ幅2,コマ幅3,コマ幅4,参照情報
,特別ルール,,,,,1行目,,,,,攻撃upコマ(20%UP),,,
,開始時リーダーP,1000,,,,2行目,,,,攻撃upコマ(20%UP),,攻撃upコマ(20%UP),,
,キャラ体力,3倍,,,,3行目,,,,攻撃upコマ(20%UP),,,,
,,,,,,4行目,,,,,,,,
,作成者,コマ承認状況,,,,,,,,,,,,
,橋本,承認済,,,,,,,,,,,,
,,,,,,,,,,,,,,
,設定者チェック,,,,,,,,,,,,,
,設定後【実機】で以下の項目について動作確認をしてください。,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,項目,1週目,2週目,3週目,4週目,チェック確認,,,,,,,,
,制限時間,TRUE,TRUE,TRUE,TRUE,完了,,,,,,,,
,コマ割り,TRUE,TRUE,TRUE,TRUE,完了,,,,,,,,
,コマ効果,TRUE,TRUE,TRUE,TRUE,完了,,,,,,,,
,BGM,TRUE,TRUE,TRUE,TRUE,完了,,,,,,,,
,背景,TRUE,TRUE,TRUE,TRUE,完了,,,,,,,,
,ステージ情報文言,TRUE,TRUE,TRUE,TRUE,完了,,,,,,,,
,ランキング報酬一覧,TRUE,TRUE,TRUE,TRUE,完了,,,,,,,,
,シーズン報酬一覧,TRUE,TRUE,TRUE,TRUE,完了,,,,,,,,
,ランキング報酬受取,TRUE,TRUE,TRUE,TRUE,完了,,,,,,,,
,シーズン報酬受取,TRUE,TRUE,TRUE,TRUE,完了,,,,,,,,
,累計ポイント報酬,TRUE,TRUE,TRUE,TRUE,完了,,,,,,,,
,1日の挑戦上限,TRUE,TRUE,TRUE,TRUE,完了,,,,,,,,
,1日のチケット上限,TRUE,TRUE,TRUE,TRUE,完了,,,,,,,,
