BGM/SE関連,,,,
ファイル名,"旧ファイル名
（対応後削除予定）",使用箇所,,サウンド名称
,,分類,使用画面,
SSE_SBG_003_001,ingame_001_2,バトル,メイン・イベントクエスト バトル系1,メイン・イベントクエストのインゲームでバトル系の作品で使用します
SSE_SBG_003_002,"ingame_001
ingame_002
ingame_003",バトル,メイン・イベントクエスト 日常・ギャグ系,メイン・イベントクエストのインゲームで日常・ギャグ系の作品で使用します
SSE_SBG_003_003,ingame_001_3,バトル,メイン・イベントクエスト シリアス系,メイン・イベントクエストのインゲームでシリアス系の作品で使用します
SSE_SBG_003_004,,バトル,メイン・イベントクエスト 強敵/ボスバトル1,メイン・イベントクエストのインゲームで強敵登場時に使用します
SSE_SBG_003_005,,バトル,メイン・イベントクエスト ラブコメ系1,メイン・イベントクエストのインゲームでラブコメ系の作品で使用します
SSE_SBG_003_006,,バトル,メイン・イベントクエスト バトル5 バトル系2,メイン・イベントクエストのインゲームでバトル系の作品で使用します
SSE_SBG_003_007,,バトル,"メイン・イベントクエスト強敵/ボス登場時2
（高難度）",難易度が高難度のメイン・イベントクエストのインゲームで強敵登場時に使用します
SSE_SBG_003_008,,バトル,メイン・イベントクエスト（高難易度）バトル1,難易度が高難度のメイン・イベントクエストのインゲームでバトル系の作品で使用します
SSE_SBG_003_009,,バトル,メイン・イベントクエスト ラブコメ系2,メイン・イベントクエストのインゲームでラブコメ系の作品で使用します
SSE_SBG_003_010,,バトル,降臨バトル ,降臨バトルのインゲームで使用します
SSE_SBG_000_001,,タイトル・ホーム,タイトル,タイトル画面で使用します
SSE_SBG_000_002,,タイトル・ホーム,ホーム1,ホーム画面（定常）で使用します
SSE_SBG_000_003,,タイトル・ホーム,ホーム2,"ホーム画面で使用します
→いいジャン祭周年系イベントなど開催時に使用します"
SSE_SBG_001_001,,システム,バトルリザルト,バトルリザルト画面で使用します
SSE_SBG_000_004,,タイトル・ホーム,イベントTOP,"イベントTOP画面で使用します
→以下の画面でも流れます
・コイン獲得クエストTOP画面
・降臨バトルTOP画面
・いいジャン祭TOP画面
・いいジャン祭ステージ選択画面"
SSE_SBG_000_005,,#N/A,,
SSE_SBG_002_001,,ガシャ,ガシャ演出,ガシャ演出で使用します
SSE_SBG_002_002,,ガシャ,ガシャリザルト画面,ガシャリザルト画面で使用します
