,ランキング報酬,,,,,,,,,,,,
,▼ランキング報酬について,,,,,,,,,,,,
,・シーズン終了時の勝利pt順位に応じて報酬を獲得します。,,,,,,,,,,,,
,・報酬の配布範囲を「n位〜n位」の形で指定します。,,,,,,,,,,,,
,・報酬アイテムは、順位帯ごとに最大5つまで設定できます。,,,,,,,,,,,,
,,,,,,,,,,,,,
,◆202509010〜,,,,,,,,,,,,
,,,,,,,,,,,,,
,ランキング,,,報酬アイテム1,個数,報酬アイテム2,個数,報酬アイテム3,個数,報酬アイテム4,個数,報酬アイテム5,個数
,1,〜,1,スペシャルガシャチケット,5,コイン,50000,なし,,なし,,なし,
,2,〜,2,スペシャルガシャチケット,4,コイン,40000,なし,,なし,,なし,
,3,〜,3,スペシャルガシャチケット,3,コイン,30000,なし,,なし,,なし,
,4,〜,50,スペシャルガシャチケット,2,コイン,20000,なし,,なし,,なし,
,51,〜,100,スペシャルガシャチケット,1,コイン,15000,なし,,なし,,なし,
,101,〜,1000,スペシャルガシャチケット,1,コイン,10000,なし,,なし,,なし,
,1001,〜,5000,スペシャルガシャチケット,1,コイン,5000,なし,,なし,,なし,
,5001,〜,10000,スペシャルガシャチケット,1,コイン,2000,なし,,なし,,なし,
