,"2シーズン(11/10~,11/17~)",,※11/3~はdefault_pvp,,,,,,,,,,,
,設定者チェック,QA可能,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,ステージ情報,,,,,ステージスクショ,,,,,,,,
,テキスト,"【基本情報】
3段のステージで戦うぞ！
相手との距離があるので、リーダーPのバランスを考えてパーティを編成しよう！
リーダーPが1000の状態で開始するぞ！

【コマ効果情報】
ダメージコマが登場するぞ!
特性でダメージコマ無効化を持っているキャラを編成しよう!",,,,,,,,,,,,
,,,,,,,,,,,,,,
,BGM,,,,,,,,,,,,,
,ファイルid,SSE_SBG_003_007,,,,,,,,,,,,
,サウンド名称,"メイン・イベントクエスト強敵/ボス登場時2
（高難度）",,,,,,,,,,,,
,,,,,,,,,,,,,,
,背景,,,,,,,,,,,,,
,asset_key,mag_00002,,,,,,,,,,,,
,背景名称,商店街,,,,,,,,,,,,
,,,,,,,,,,,,,,
,ランキング,,,,,,,,,,,,,
,開催,する,,,,コマ割り,,,,,,,,
,参加最低ランク,ブロンズ,,,,行数,行パターンID,コマ数,コマ高さ,コマ幅1,コマ幅2,コマ幅3,コマ幅4,
,専用報酬,なし（default_pvp）,,,,1行目,11,3コマ,0.55,0.40,0.20,0.4,none,
,,,,,,2行目,7,3コマ,0.55,0.33,0.34,0.33,none,
,1日の挑戦上限,,,,,3行目,11,3コマ,0.55,0.40,0.20,0.4,none,
,フリー,10,回,,,コマ効果,,,,,,,,
,ランクマッチチケット,10,回,,,行数,行パターンID,コマ数,コマ高さ,コマ幅1,コマ幅2,コマ幅3,コマ幅4,
,,,,,,1行目,,,,,,ダメージコマ(150),,・低レベル帯のURが死なないかチェック(URキャラチェック)
,作成者,コマ承認状況,,,,2行目,,,,,,,,・3回ダメージ程度にしたい
,平野,承認済,,,,3行目,,,,ダメージコマ(150),,,,・清峰がタンクでも倒せるorジャンブルラッシュで倒せる
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,設定者チェック,,,,,,,,,,,,,
,設定後【実機】で以下の項目について動作確認をしてください。,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,項目,1週目,2週目,3週目,4週目,チェック確認,,,,,,,,
,制限時間,TRUE,TRUE,TRUE,TRUE,完了,,,,,,,,
,コマ割り,TRUE,TRUE,TRUE,TRUE,完了,,,,,,,,
,コマ効果,TRUE,TRUE,TRUE,TRUE,完了,,,,,,,,
,BGM,TRUE,TRUE,TRUE,TRUE,完了,,,,,,,,
,背景,TRUE,TRUE,TRUE,TRUE,完了,,,,,,,,
,ステージ情報文言,TRUE,TRUE,TRUE,TRUE,完了,,,,,,,,
,ランキング報酬一覧,TRUE,TRUE,TRUE,TRUE,完了,,,,,,,,
,シーズン報酬一覧,TRUE,TRUE,TRUE,TRUE,完了,,,,,,,,
,ランキング報酬受取,TRUE,TRUE,TRUE,TRUE,完了,,,,,,,,
,シーズン報酬受取,TRUE,TRUE,TRUE,TRUE,完了,,,,,,,,
,1日の挑戦上限,TRUE,TRUE,TRUE,TRUE,完了,,,,,,,,
,1日のチケット上限,TRUE,TRUE,TRUE,TRUE,完了,,,,,,,,
