,マッチング,,,
,▼マッチングの概要,,,
,・対戦相手は必ず3人選出されて表示されます。,,,
,・3人の内訳は以下の通りです。,,,
,　・格上から1人,,,
,　・同格から1人,,,
,　・格下から1人,,,
,・格上、同格、格下は、自身のポイントと対戦相手のポイントの差分で判断します。,,,
,・何ポイント差で格上、同格、格下と扱われるかは、データ設定で変更できます。,,,
,・ポイント差の範囲外になるプレイヤーは、対戦相手に表示されなくなります。,,,
,,,,
,マッチングポイント設計,,,
,,,,
,▼マッチングするポイント差分（MstPvpMatchingScoreRange）,,,
,ランク,"ポイント幅
格上（Upper）","ポイント幅
同格（Same）","ポイント幅
格下（Lower）"
,ブロンズ0,+70 〜 +46,+45 〜 +1,+0 〜 -4
,ブロンズ1,+70 〜 +41,+40 〜 +0,-1 〜 -9
,ブロンズ2,+70 〜 +31,+30 〜 +0,-1 〜 -19
,ブロンズ3,+70 〜 +31,+30 〜 -5,-6 〜 -29
,ブロンズ4,+70 〜 +31,+30 〜 -20,-21 〜 -49
,シルバー1,+100 〜 +40,+39 〜 -20,-21 〜 -99
,シルバー2,+100 〜 +40,+39 〜 -30,-31 〜 -80
,シルバー3,+100 〜 +40,+39 〜 -30,-31 〜 -80
,シルバー4,+150 〜 +70,+69 〜 -30,-31 〜 -80
,ゴールド1,+200 〜 +100,+99 〜 -50,-51 〜 -150
,ゴールド2,+200 〜 +100,+99 〜 -50,-51 〜 -150
,ゴールド3,+200 〜 +100,+99 〜 -50,-51 〜 -150
,ゴールド4,+200 〜 +100,+99 〜 -50,-51 〜 -150
,プラチナ1,+300 〜 +200,+199 〜 -50,-51 〜 -200
,プラチナ2,+300 〜 +200,+199 〜 -50,-51 〜 -400
,プラチナ3,+300 〜 +200,+199 〜 -50,-51 〜 -500
,プラチナ4,+500 〜 +200,+199 〜 -50,-51 〜 -500
