作品ID,作品名,識別ID,キャラ_ID,キャラ名（仮）,キャラ名（監修FIX）,必殺ワザ名（監修FIX）,レアリティ
spy,SPY×FAMILY,00001,chara_spy_00001,わくわく アーニャ,わくわく アーニャ,せいふくのアーニャかわいい？,UR
spy,SPY×FAMILY,00002,chara_spy_00002,アーニャ（ドレスアップ）,選定中,わくわくっ！,SSR
spy,SPY×FAMILY,00101,chara_spy_00101,<黄昏> ロイド,<黄昏> ロイド,終わりにしよう,UR
spy,SPY×FAMILY,00201,chara_spy_00201,<いばら姫> ヨル,<いばら姫> ヨル,この手が血で汚れても構わない,UR
spy,SPY×FAMILY,00301,chara_spy_00301,ダミアン・デズモンド,ダミアン・デズモンド,いい気になるなよ,SR
spy,SPY×FAMILY,00401,chara_spy_00401,フランキー・フランクリン,フランキー・フランクリン,超人外骨格！！,SR
spy,SPY×FAMILY,00501,chara_spy_00501,ユーリ・ブライア,姉を想う盲愛 ユーリ・ブライア,姉さぁーーーん♡,UR
aka,ラーメン赤猫,00001,chara_aka_00001,佐々木,佐々木,ハチワレの猫の佐々木さん,R
aka,ラーメン赤猫,00101,chara_aka_00101,文蔵,文蔵,ラーメン赤猫の職人,R
aka,ラーメン赤猫,00201,chara_aka_00201,ハナ,ハナ,ハナのほっこり接客術,SR
aka,ラーメン赤猫,00301,chara_aka_00301,サブ,サブ,プロゲーマーとか無理っすよ,SR
rik,トマトイプーのリコピン,00001,chara_rik_00001,リコピン,リコピン,トマト果汁は健康の証,R
rik,トマトイプーのリコピン,00101,chara_rik_00101,甘戸 めめ,甘戸 めめ,モンブランケーキ,R
dan,ダンダダン,00001,chara_dan_00001,オカルン,オカルン,友達ができたからだ！,R
dan,ダンダダン,00002,chara_dan_00002,ターボババアの霊力 オカルン,ターボババアの霊力 オカルン,萎えるぜ,UR
dan,ダンダダン,00101,chara_dan_00101,モモ,モモ,おっしゃあ いけえ!!,SSR
dan,ダンダダン,00201,chara_dan_00201,アイラ,アイラ,私って美女すぎる,SR
dan,ダンダダン,00202,chara_dan_00202,アクさらの愛 アイラ,アクさらの愛 アイラ,お放しなさい!!,UR
dan,ダンダダン,00301,chara_dan_00301,招き猫 ターボババア,招き猫 ターボババア,クソだらあ!!,SR
dan,ダンダダン,00501,chara_dan_00501,坂田 金太,選定中,,SSR
dan,ダンダダン,00601,chara_dan_00601,星子,選定中,,UR
dan,ダンダダン,00701,chara_dan_00701,オカルン＆ターボババア,選定中,,UR
gom,姫様“拷問”の時間です,00001,chara_gom_00001,囚われの王女 姫様,囚われの王女 姫様,決して屈しない！,UR
gom,姫様“拷問”の時間です,00101,chara_gom_00101,トーチャー・トルチュール,トーチャー・トルチュール,“拷問”の時間です,SR
gom,姫様“拷問”の時間です,00201,chara_gom_00201,クロル,クロル,ワンちゃん大量作戦だ☆,R
gom,姫様“拷問”の時間です,00301,chara_gom_00301,魔王 ゴッドサンダー,悪のカリスマ 魔王ゴッドサンダー,全欲望は我が物！,UR
gom,姫様“拷問”の時間です,00401,chara_gom_00401,マオマオちゃん,マオマオちゃん,ごーもんの時間だよ！,SSR
gom,姫様“拷問”の時間です,00501,chara_gom_00501,陽鬼,陽鬼,私からやらせてもらうよ,SR
gom,姫様“拷問”の時間です,00601,chara_gom_00601,陰鬼,陰鬼,仕事は仕事だよ,SR
gom,姫様“拷問”の時間です,00701,chara_gom_00701,カナッジ,カナッジ,魔王様!!,SR
chi,チェンソーマン,00001,chara_chi_00001,デンジ,デンジ,股間！しか！狙わねえ！,R
chi,チェンソーマン,00002,chara_chi_00002,悪魔が恐れる悪魔 チェンソーマン,悪魔が恐れる悪魔 チェンソーマン,ぶっ殺さねえとなあ！,UR
chi,チェンソーマン,00201,chara_chi_00201,早川 アキ,早川 アキ,狐の悪魔,SSR
chi,チェンソーマン,00301,chara_chi_00301,パワー,パワー,血の匂いじゃ！,SSR
chi,チェンソーマン,00401,chara_chi_00401,マキマ,選定中,,UR
chi,チェンソーマン,00501,chara_chi_00501,姫野,選定中,,SSR
chi,チェンソーマン,00601,chara_chi_00601,小紅,選定中,,SR
chi,チェンソーマン,00701,chara_chi_00701,沢渡 アカネ,選定中,,SR
chi,チェンソーマン,00801,chara_chi_00801,サムライソード,選定中,,SR
chi,チェンソーマン,00901,chara_chi_00901,レゼ,選定中,,UR
bat,忘却バッテリー,00001,chara_bat_00001,清峰 葉流火,清峰 葉流火,負ける気なんて毛頭ない,SR
bat,忘却バッテリー,00101,chara_bat_00101,要 圭,要 圭,天才捕手 要圭,SR
bat,忘却バッテリー,00102,chara_bat_00102,智将 要 圭,選定中,,UR
bat,忘却バッテリー,00201,chara_bat_00201,千早 瞬平,選定中,,SR
bat,忘却バッテリー,00301,chara_bat_00301,藤堂 葵,選定中,,SR
kai,怪獣８号,00001,chara_kai_00001,日比野 カフカ,日比野 カフカ,部分変身!!,R
kai,怪獣８号,00002,chara_kai_00002,隠された英雄の姿 怪獣８号,隠された英雄の姿 怪獣８号,あとは俺に任せろ,UR
kai,怪獣８号,00003,chara_kai_00003,ドレスアップ怪獣８号,選定中,,UR
