スペース名,スペースID,フォルダ名,フォルダID,フォルダアーカイブ,フォルダ作成日時,リスト名,リストID,リストアーカイブ,リスト作成日時
GLOW,90100408512,01_課題管理,90183344093,FALSE,,QA課題,901805933768,FALSE,
GLOW,90100408512,01_課題管理,90183344093,FALSE,,BNE依頼系,901806137188,FALSE,
GLOW,90100408512,01_課題管理,90183344093,FALSE,,プロジェクト課題(旧),901805063681,TRUE,
GLOW,90100408512,GLOW(開発),90180278154,FALSE,,いつかやるリスト（Pendingリスト）,901812721230,FALSE,
GLOW,90100408512,GLOW(開発),90180278154,FALSE,,デバッグ機能要望リスト,901812512292,FALSE,
GLOW,90100408512,GLOW(開発),90180278154,FALSE,,vX.X.X,901807720746,FALSE,
GLOW,90100408512,GLOW(開発),90180278154,FALSE,,v1.5.0,901812696739,FALSE,
GLOW,90100408512,GLOW(開発),90180278154,FALSE,,v1.5.1,901813425336,FALSE,
GLOW,90100408512,GLOW(開発),90180278154,FALSE,,v1.5.2,901814219794,FALSE,
GLOW,90100408512,GLOW(開発),90180278154,FALSE,,v1.6.0,901813425361,FALSE,
GLOW,90100408512,GLOW(開発),90180278154,FALSE,,v1.6.1,901813427310,FALSE,
GLOW,90100408512,GLOW(開発),90180278154,FALSE,,v1.7.0,901815512844,FALSE,
GLOW,90100408512,GLOW(開発),90180278154,FALSE,,v1.8.0,901815566802,FALSE,
GLOW,90100408512,GLOW(開発),90180278154,FALSE,,v1.9.0,901815566994,FALSE,
GLOW,90100408512,GLOW(開発),90180278154,FALSE,,v2.0.0,901815567114,FALSE,
GLOW,90100408512,GLOW(開発),90180278154,FALSE,,v2.1.0,901815622464,FALSE,
GLOW,90100408512,GLOW(開発),90180278154,FALSE,,v2.2.0,901815622488,FALSE,
GLOW,90100408512,GLOW(開発),90180278154,FALSE,,v2.3.0,901815622503,FALSE,
GLOW,90100408512,GLOW(開発),90180278154,FALSE,,v2.4.0,901815627513,FALSE,
GLOW,90100408512,GLOW(開発),90180278154,FALSE,,対応するかもしれないリスト,901800422717,TRUE,
GLOW,90100408512,GLOW(開発),90180278154,FALSE,,UI(ローンチ1),901800791965,TRUE,
GLOW,90100408512,GLOW(開発),90180278154,FALSE,,verup開発検討リスト,901806233831,TRUE,
GLOW,90100408512,GLOW(開発),90180278154,FALSE,,v1.1.0,901806928970,TRUE,
GLOW,90100408512,GLOW(開発),90180278154,FALSE,,v1.1.2,901811992862,TRUE,
GLOW,90100408512,GLOW(開発),90180278154,FALSE,,v1.1.3,901812347935,TRUE,
GLOW,90100408512,GLOW(開発),90180278154,FALSE,,v1.1.3 - 1,901812347958,TRUE,
GLOW,90100408512,GLOW(開発),90180278154,FALSE,,v1.2.0,901811234038,TRUE,
GLOW,90100408512,GLOW(開発),90180278154,FALSE,,v1.2.1,901812721593,TRUE,
GLOW,90100408512,GLOW(開発),90180278154,FALSE,,v1.3.0,901812029991,TRUE,
GLOW,90100408512,GLOW(開発),90180278154,FALSE,,v1.3.1,901812825514,TRUE,
GLOW,90100408512,GLOW(開発),90180278154,FALSE,,v1.4.0,901812060764,TRUE,
GLOW,90100408512,GLOW(開発),90180278154,FALSE,,v1.4.1,901812770621,TRUE,
GLOW,90100408512,GLOW(開発),90180278154,FALSE,,降臨バトル緊急対応リスト,901812166416,TRUE,
GLOW,90100408512,GLOW(開発),90180278154,FALSE,,試遊機,901812416100,TRUE,
GLOW,90100408512,GLOW(運営)アセット,90184106319,FALSE,,アセット制作,901807225676,FALSE,
GLOW,90100408512,GLOW(運営)アセット,90184106319,FALSE,,運営準備,901806787128,FALSE,
GLOW,90100408512,GLOW(運営)アセット,90184106319,FALSE,,サムネイルロゴ監修,901810360137,FALSE,
GLOW,90100408512,GLOW(運営)アセット,90184106319,FALSE,,yyyymmdd_テンプレート (copy),901806929016,TRUE,
GLOW,90100408512,GLOW(運営)企画タスク,90186898293,FALSE,,キャラ定常化対応スケジュール,901809800380,FALSE,
GLOW,90100408512,GLOW(運営)企画タスク,90186898293,FALSE,,不具合対応,901812616685,FALSE,
GLOW,90100408512,GLOW(運営)企画タスク,90186898293,FALSE,,お知らせ,901808635815,FALSE,
GLOW,90100408512,GLOW(運営)企画タスク,90186898293,FALSE,,【リリースキー】施策名称,901814853958,FALSE,
GLOW,90100408512,GLOW(運営)企画タスク,90186898293,FALSE,,【202602020】君のことが大大大大大好きな100人の彼女 いいジャン祭,901813157470,FALSE,
GLOW,90100408512,GLOW(運営)企画タスク,90186898293,FALSE,,【202603010】ふつうの軽音部 いいジャン祭,901814924275,FALSE,
GLOW,90100408512,GLOW(運営)企画タスク,90186898293,FALSE,,【202603010】ハーフアニバーサリー カウントダウン,901814934505,FALSE,
GLOW,90100408512,GLOW(運営)企画タスク,90186898293,FALSE,,【202603020】ハーフアニバーサリー前半,901815366156,FALSE,
GLOW,90100408512,GLOW(運営)企画タスク,90186898293,FALSE,,【202603025】ハーフアニバーサリー後半,901815366203,FALSE,
GLOW,90100408512,GLOW(運営)企画タスク,90186898293,FALSE,,【リリースキー】施策名,901808712247,TRUE,
GLOW,90100408512,GLOW(運営)企画タスク,90186898293,FALSE,,【202509010】リリースイベント＆怪獣8号,901806317814,TRUE,
GLOW,90100408512,GLOW(運営)企画タスク,90186898293,FALSE,,【202510010】SPY×FAMILYいいジャン祭,901808784705,TRUE,
GLOW,90100408512,GLOW(運営)企画タスク,90186898293,FALSE,,【202510020】ダンダダンいいジャン祭,901809114658,TRUE,
GLOW,90100408512,GLOW(運営)企画タスク,90186898293,FALSE,,【202511010】株式会社マジルミエ いいジャン祭,901809116372,TRUE,
GLOW,90100408512,GLOW(運営)企画タスク,90186898293,FALSE,,【202511015】1.2.1用追加デプロイ,901812597507,TRUE,
GLOW,90100408512,GLOW(運営)企画タスク,90186898293,FALSE,,【202511020】2.5次元の誘惑 いいジャン祭,901810221983,TRUE,
GLOW,90100408512,GLOW(運営)企画タスク,90186898293,FALSE,,【202511020】ブラックフライデー キャンペーン,901810221906,TRUE,
GLOW,90100408512,GLOW(運営)企画タスク,90186898293,FALSE,,【202512010】魔都精兵のスレイブ いいジャン祭,901810221990,TRUE,
GLOW,90100408512,GLOW(運営)企画タスク,90186898293,FALSE,,【202512015】クリスマス施策,901811946808,TRUE,
GLOW,90100408512,GLOW(運営)企画タスク,90186898293,FALSE,,【202512020】推しの子＆年末＆正月,901811947047,TRUE,
GLOW,90100408512,GLOW(運営)企画タスク,90186898293,FALSE,,【202601010】地獄楽いいジャン祭,901811947180,TRUE,
GLOW,90100408512,GLOW(運営)企画タスク,90186898293,FALSE,,【202602010】幼稚園WARS,901812592991,TRUE,
GLOW,90100408512,QA,90180884069,FALSE,,バグ集計,901801957419,FALSE,
GLOW,90100408512,QA,90180884069,FALSE,,バグチケット管理,901801322430,FALSE,
GLOW,90100408512,QA,90180884069,FALSE,,バグ保留,901803245861,FALSE,
GLOW,90100408512,QA,90180884069,FALSE,,データ設定依頼,901805933753,FALSE,
GLOW,90100408512,QA,90180884069,FALSE,,不具合確認依頼,901806003736,FALSE,
GLOW,90100408512,QA,90180884069,FALSE,,FIX対応困ったリスト,901809568981,FALSE,
GLOW,90100408512,QA,90180884069,FALSE,,アプリQA_VerX.X.X,901811436471,FALSE,
GLOW,90100408512,QA,90180884069,FALSE,,アプリQA_Ver1.5.0,901812719255,FALSE,
GLOW,90100408512,QA,90180884069,FALSE,,アプリQA_Ver1.5.1,901813649951,FALSE,
GLOW,90100408512,QA,90180884069,FALSE,,アプリQA_Ver1.6.0,901813499125,FALSE,
GLOW,90100408512,QA,90180884069,FALSE,,アプリQA_Ver1.6.1,901815110386,FALSE,
GLOW,90100408512,QA,90180884069,FALSE,,アプリQA_Ver1.7.0,901815512875,FALSE,
GLOW,90100408512,QA,90180884069,FALSE,,アプリQA_Ver1.8.0,901815566810,FALSE,
GLOW,90100408512,QA,90180884069,FALSE,,アプリQA_Ver1.9.0,901815567001,FALSE,
GLOW,90100408512,QA,90180884069,FALSE,,アプリQA_Ver2.0.0,901815567117,FALSE,
GLOW,90100408512,QA,90180884069,FALSE,,アプリQA_Ver2.1.0,901815622469,FALSE,
GLOW,90100408512,QA,90180884069,FALSE,,アプリQA_Ver2.2.0,901815622491,FALSE,
GLOW,90100408512,QA,90180884069,FALSE,,アプリQA_Ver2.3.0,901815622510,FALSE,
GLOW,90100408512,QA,90180884069,FALSE,,アプリQA_Ver2.4.0,901815627522,FALSE,
GLOW,90100408512,QA,90180884069,FALSE,,データQA_202602010,901814794138,FALSE,
GLOW,90100408512,QA,90180884069,FALSE,,データQA_202602020,901815522319,FALSE,
GLOW,90100408512,QA,90180884069,FALSE,,データQA_202603010,901815840307,FALSE,
GLOW,90100408512,QA,90180884069,FALSE,,アプリQA_Ver1.0.7,901811810388,TRUE,
GLOW,90100408512,QA,90180884069,FALSE,,アプリQA_Ver1.1.0,901810877305,TRUE,
GLOW,90100408512,QA,90180884069,FALSE,,データQA_202509010,901807442872,TRUE,
GLOW,90100408512,QA,90180884069,FALSE,,アプリQA_Ver1.1.1,901812136073,TRUE,
GLOW,90100408512,QA,90180884069,FALSE,,アプリQA_Ver1.1.2,901811994038,TRUE,
GLOW,90100408512,QA,90180884069,FALSE,,アプリQA_Ver1.1.3,901812350721,TRUE,
GLOW,90100408512,QA,90180884069,FALSE,,アプリQA_Ver1.2.0,901811664190,TRUE,
GLOW,90100408512,QA,90180884069,FALSE,,アプリQA_Ver1.2.1,901812770511,TRUE,
GLOW,90100408512,QA,90180884069,FALSE,,アプリQA_Ver1.3.0,901812719238,TRUE,
GLOW,90100408512,QA,90180884069,FALSE,,アプリQA_Ver1.3.1,901812827455,TRUE,
GLOW,90100408512,QA,90180884069,FALSE,,アプリQA_Ver1.4.0,901812719247,TRUE,
GLOW,90100408512,QA,90180884069,FALSE,,アプリQA_Ver1.4.1,901812770558,TRUE,
GLOW,90100408512,QA,90180884069,FALSE,,アプリQA_Ver1.4.2,901815303958,TRUE,
GLOW,90100408512,QA,90180884069,FALSE,,データQA_202511010,901812350062,TRUE,
GLOW,90100408512,QA,90180884069,FALSE,,データQA_202511020,901812719495,TRUE,
GLOW,90100408512,QA,90180884069,FALSE,,データQA_202512010,901813248471,TRUE,
GLOW,90100408512,QA,90180884069,FALSE,,データQA_202512015,901813730663,TRUE,
GLOW,90100408512,QA,90180884069,FALSE,,データQA_202510020,901811875146,TRUE,
GLOW,90100408512,QA,90180884069,FALSE,,データQA_202510010,901810877483,TRUE,
GLOW,90100408512,QA,90180884069,FALSE,,データQA_202512020,901813785587,TRUE,
GLOW,90100408512,QA,90180884069,FALSE,,データQA_202601010,901814256085,TRUE,
GLOW,90100408512,障害報告,90184308594,FALSE,,障害報告リスト,901806617226,FALSE,
GLOW,90100408512,プラン,90185094913,FALSE,,プランタスク集約リスト,901807730258,FALSE,
GLOW,90100408512,プラン,90185094913,FALSE,,要件書作成,901807754653,FALSE,
GLOW,90100408512,プラン,90185094913,FALSE,,仕様書更新,901807754684,FALSE,
GLOW,90100408512,プラン,90185094913,FALSE,,その他,901808108909,FALSE,
GLOW,90100408512,プラン,90185094913,FALSE,,プラン朝会/夕会,901812599653,FALSE,
GLOW,90100408512,サーバー,90180949470,FALSE,,サーバーバックログ,901800053804,FALSE,
GLOW,90100408512,サーバー,90180949470,FALSE,,管理ツール改善要望,901803760279,FALSE,
GLOW,90100408512,サーバー,90180949470,FALSE,,管理ツール,901806308820,FALSE,
GLOW,90100408512,サーバー,90180949470,FALSE,,リリースまでに必要な項目,901806784366,FALSE,
GLOW,90100408512,サーバー,90180949470,FALSE,,共有用リスト,901806788006,FALSE,
GLOW,90100408512,サーバー,90180949470,FALSE,,管理ツール受け入れ,901807651566,FALSE,
GLOW,90100408512,サーバー,90180949470,FALSE,,パフォーマンス改善,901808121130,FALSE,
GLOW,90100408512,クライアント,90184406853,FALSE,,クライアントバックログ,901806763086,FALSE,
GLOW,90100408512,クライアント,90184406853,FALSE,,クライアントタスク集約リスト,901806930266,FALSE,
GLOW,90100408512,PM,90183453850,FALSE,,PM,901801998375,FALSE,
GLOW,90100408512,デザイン,90184585324,FALSE,,デザインタスク集約リスト,901807016296,FALSE,
GLOW,90100408512,デザイン,90184585324,FALSE,,長潟用,901807620465,FALSE,
GLOW,90100408512,デザイン,90184585324,FALSE,,20250906_tamesi,901808548410,FALSE,
GLOW,90100408512,定例会議,90184457753,FALSE,,定例会（BNE様/WP）,901806833279,FALSE,
GLOW,90100408512,定例会議,90184457753,FALSE,,運営・監修定例（BNE様/WP）,901807024887,FALSE,
GLOW,90100408512,定例会議,90184457753,FALSE,,決める会,901807033140,FALSE,
GLOW,90100408512,定例会議,90184457753,FALSE,,QA定例,901807469366,FALSE,
GLOW,90100408512,定例会議,90184457753,FALSE,,課題リスト,901808947975,FALSE,
GLOW,90100408512,定例会議,90184457753,FALSE,,お知らせ共有リスト,901810778306,FALSE,
GLOW,90100408512,技研2,90180254845,TRUE,,技研2 プロジェクト全体管理,900303397420,FALSE,
GLOW,90100408512,技研2,90180254845,TRUE,,デザイナー技研2：12/22まで想定：α1版のUIイメージ制作タスク,900303526084,FALSE,
GLOW,90100408512,コンセプトフェーズ,90021006718,TRUE,,動画制作,900201838055,FALSE,
GLOW,90100408512,コンセプトフェーズ,90021006718,TRUE,,クライアント,900201889043,FALSE,
GLOW,90100408512,コンセプトフェーズ,90021006718,TRUE,,WF申請関連,900303540188,FALSE,
GLOW,90100408512,プリプロフェーズ,90021105106,TRUE,,OKR進捗（プリプロ版）,900303463585,FALSE,
GLOW,90100408512,プリプロフェーズ,90021105106,TRUE,,00イテレーション 0,900202026038,FALSE,
GLOW,90100408512,プリプロフェーズ,90021105106,TRUE,,01イテレーション 1 (10/9 - 10/21),900202058829,FALSE,
GLOW,90100408512,プリプロフェーズ,90021105106,TRUE,,02イテレーション 2 (10/16 - 10/22),900202078673,FALSE,
GLOW,90100408512,プリプロフェーズ,90021105106,TRUE,,03イテレーション 3 (10/23 - 10/29),900202078674,FALSE,
GLOW,90100408512,プリプロフェーズ,90021105106,TRUE,,04イテレーション 4 (10/30 - 11/5),900202078675,FALSE,
GLOW,90100408512,プリプロフェーズ,90021105106,TRUE,,05イテレーション 5 (11/6 - 11/12),900202078676,FALSE,
GLOW,90100408512,プリプロフェーズ,90021105106,TRUE,,06イテレーション 6 (11/13 - 11/19),900202078677,FALSE,
GLOW,90100408512,プリプロフェーズ,90021105106,TRUE,,07イテレーション 7 (11/20 - 11/26),900202078678,FALSE,
GLOW,90100408512,プリプロフェーズ,90021105106,TRUE,,08イテレーション 8 (11/27 - 12/3),900202078679,FALSE,
GLOW,90100408512,アルファ1準備期間,90180055954,TRUE,,List,901800075463,FALSE,
GLOW,90100408512,アルファ1準備期間,90180055954,TRUE,,イテレーション 1 (12/4 - 12/17),900303564230,FALSE,
GLOW,90100408512,アルファ1準備期間,90180055954,TRUE,,イテレーション 2 (12/18 - 12/31),900303564231,FALSE,
GLOW,90100408512,アルファ1準備期間,90180055954,TRUE,,イテレーション 3 (1/1 - 1/14),900303564232,FALSE,
GLOW,90100408512,アルファ1準備期間,90180055954,TRUE,,イテレーション 4 (1/15 - 1/28),900303564233,FALSE,
GLOW,90100408512,アルファ1準備期間,90180055954,TRUE,,イテレーション 5 (1/29 - 2/11),900303564234,FALSE,
GLOW,90100408512,アルファ1準備期間,90180055954,TRUE,,イテレーション 6 (2/12 - 2/25),900303564235,FALSE,
GLOW,90100408512,アルファ1準備期間,90180055954,TRUE,,イテレーション 7 (2/26 - 3/10),900303564236,FALSE,
GLOW,90100408512,アルファ1準備期間,90180055954,TRUE,,イテレーション 8 (3/11 - 3/25),900102058912,FALSE,
GLOW,90100408512,アルファ1準備期間,90180055954,TRUE,,イテレーション 9 (3/25 - 4/8),900102058913,FALSE,
GLOW,90100408512,アルファ1準備期間,90180055954,TRUE,,イテレーション 10 (4/8 - 4/22),901800034989,FALSE,
GLOW,90100408512,アルファ1準備期間,90180055954,TRUE,,イテレーション 11 (4/22 - 5/6),901800075488,FALSE,
GLOW,90100408512,アルファ1準備期間,90180055954,TRUE,,イテレーション 12 (5/6 - 5/20),901800075489,FALSE,
GLOW,90100408512,アルファ1準備期間,90180055954,TRUE,,イテレーション 13 (5/20 - 6/3),901800075490,FALSE,
GLOW,90100408512,アルファ1フェーズ,90031930988,TRUE,,企画(α1/α2),901800082861,FALSE,
GLOW,90100408512,アルファ1フェーズ,90031930988,TRUE,,UI(α1/α2),900303564379,FALSE,
GLOW,90100408512,アルファ1フェーズ,90031930988,TRUE,,開発スケジュール管理(α),901800066775,FALSE,
GLOW,90100408512,アルファ1フェーズ,90031930988,TRUE,,マスターデータ(α1),900303564554,FALSE,
GLOW,90100408512,アルファ1フェーズ,90031930988,TRUE,,アセット(α1),900102059057,FALSE,
GLOW,90100408512,アルファ1フェーズ,90031930988,TRUE,,開発進行系タスク(α1),900303564702,FALSE,
GLOW,90100408512,アルファ1フェーズ,90031930988,TRUE,,イテレーション 21 (9/9 - 9/23),901800075521,TRUE,
GLOW,90100408512,アルファ1フェーズ,90031930988,TRUE,,イテレーション 22 (9/23 - 10/7),901800075866,TRUE,
GLOW,90100408512,アルファ1フェーズ,90031930988,TRUE,,イテレーション 23 (10/7 - 10/21),901800081174,TRUE,
GLOW,90100408512,アルファ1フェーズ,90031930988,TRUE,,イテレーション 24 (10/21 - 11/4),901800081175,TRUE,
GLOW,90100408512,アルファ1フェーズ,90031930988,TRUE,,イテレーション 25 (11/4 - 11/18),901800081176,TRUE,
GLOW,90100408512,アルファ1フェーズ,90031930988,TRUE,,イテレーション 26 (11/18 - 12/2),901800082056,TRUE,
