ENABLE,id,release_key
e,dungeon_spy1_challenge01_00005,999999999
e,dungeon_spy1_challenge02_00001,999999999
e,dungeon_spy1_challenge03_00001,999999999
e,dungeon_aka1_challenge01_00001,999999999
e,dungeon_aka1_challenge02_00001,999999999
e,dungeon_aka1_challenge03_00001,999999999
e,dungeon_rik1_challenge01_00001,999999999
e,dungeon_rik1_challenge02_00001,999999999
e,dungeon_rik1_challenge03_00001,999999999
e,dungeon_dan1_challenge01_00005,999999999
e,dungeon_dan1_challenge02_00001,999999999
e,dungeon_dan1_challenge03_00001,999999999
e,dungeon_gom1_challenge01_00001,999999999
e,dungeon_gom1_challenge02_00001,999999999
e,dungeon_gom1_challenge03_00001,999999999
e,dungeon_chi1_challenge01_00001,999999999
e,dungeon_chi1_challenge02_00001,999999999
e,dungeon_chi1_challenge03_00001,999999999
e,dungeon_mag1_challenge01_00005,999999999
e,dungeon_mag1_challenge02_00001,999999999
e,dungeon_mag1_challenge03_00001,999999999
e,dungeon_dos1_challenge01_00001,999999999
e,dungeon_dos1_challenge02_00001,999999999
e,dungeon_dos1_challenge03_00001,999999999
e,dungeon_bat1_challenge01_00001,999999999
e,dungeon_bat1_challenge02_00001,999999999
e,dungeon_bat1_challenge03_00001,999999999
e,dungeon_kai1_challenge01_00005,999999999
e,dungeon_kai1_challenge02_00001,999999999
e,dungeon_kai1_challenge03_00001,999999999
e,dungeon_yuw1_challenge01_00005,999999999
e,dungeon_yuw1_challenge02_00001,999999999
e,dungeon_yuw1_challenge03_00001,999999999
e,dungeon_sur1_challenge01_00005,999999999
e,dungeon_sur1_challenge02_00001,999999999
e,dungeon_sur1_challenge03_00001,999999999
e,dungeon_ron1_challenge01_00001,999999999
e,dungeon_ron1_challenge02_00001,999999999
e,dungeon_ron1_challenge03_00001,999999999
e,dungeon_aha1_challenge01_00001,999999999
e,dungeon_aha1_challenge02_00001,999999999
e,dungeon_aha1_challenge03_00001,999999999
e,dungeon_sum1_challenge01_00001,999999999
e,dungeon_sum1_challenge02_00001,999999999
e,dungeon_sum1_challenge03_00001,999999999
e,dungeon_jig1_challenge01_00005,999999999
e,dungeon_jig1_challenge02_00001,999999999
e,dungeon_jig1_challenge03_00001,999999999
e,dungeon_tak1_challenge01_00001,999999999
e,dungeon_tak1_challenge02_00001,999999999
e,dungeon_tak1_challenge03_00001,999999999
e,dungeon_osh1_challenge01_00005,999999999
e,dungeon_osh1_challenge02_00001,999999999
e,dungeon_osh1_challenge03_00001,999999999
e,dungeon_you1_challenge01_00005,999999999
e,dungeon_you1_challenge02_00001,999999999
e,dungeon_you1_challenge03_00001,999999999
e,dungeon_kim1_challenge01_00005,999999999
e,dungeon_kim1_challenge02_00001,999999999
e,dungeon_kim1_challenge03_00001,999999999
e,dungeon_hut1_challenge01_00005,999999999
e,dungeon_hut1_challenge02_00001,999999999
e,dungeon_hut1_challenge03_00001,999999999
