ENABLE,id,hp,is_damage_invalidation,outpost_asset_key,artwork_asset_key,release_key
e,event_spy1_challenge01_00005,80000,,,event_spy_0001,999999999
e,event_spy1_challenge02_00001,100000,,,event_spy_0001,999999999
e,event_spy1_challenge03_00001,150000,,,event_spy_0001,999999999
e,event_aka1_challenge01_00001,80000,,,event_aka_0001,999999999
e,event_aka1_challenge02_00001,100000,,,event_aka_0001,999999999
e,event_aka1_challenge03_00001,150000,,,event_aka_0001,999999999
e,event_rik1_challenge01_00001,80000,,,event_rik_0001,999999999
e,event_rik1_challenge02_00001,100000,,,event_rik_0001,999999999
e,event_rik1_challenge03_00001,150000,,,event_rik_0001,999999999
e,event_dan1_challenge01_00005,80000,,,event_dan_0001,999999999
e,event_dan1_challenge02_00001,100000,,,event_dan_0001,999999999
e,event_dan1_challenge03_00001,150000,,,event_dan_0001,999999999
e,event_gom1_challenge01_00001,80000,,,event_gom_0001,999999999
e,event_gom1_challenge02_00001,100000,,,event_gom_0001,999999999
e,event_gom1_challenge03_00001,150000,,,event_gom_0001,999999999
e,event_chi1_challenge01_00001,80000,,outpost_event_chi_0001,event_chi_0001,999999999
e,event_chi1_challenge02_00001,100000,,outpost_event_chi_0001,event_chi_0001,999999999
e,event_chi1_challenge03_00001,150000,,outpost_event_chi_0001,event_chi_0001,999999999
e,event_mag1_challenge01_00005,80000,,outpost_event_mag_0001,event_mag_0001,999999999
e,event_mag1_challenge02_00001,100000,,outpost_event_mag_0001,event_mag_0001,999999999
e,event_mag1_challenge03_00001,150000,,outpost_event_mag_0001,event_mag_0001,999999999
e,event_dos1_challenge01_00001,80000,,outpost_event_dos_0001,event_dos_0001,999999999
e,event_dos1_challenge02_00001,100000,,outpost_event_dos_0001,event_dos_0001,999999999
e,event_dos1_challenge03_00001,150000,,outpost_event_dos_0001,event_dos_0001,999999999
e,event_bat1_challenge01_00001,80000,,outpost_event_bat_0001,event_bat_0001,999999999
e,event_bat1_challenge02_00001,100000,,outpost_event_bat_0001,event_bat_0001,999999999
e,event_bat1_challenge03_00001,150000,,outpost_event_bat_0001,event_bat_0001,999999999
e,event_kai1_challenge02_00001,100000,,outpost_event_kai_0001,event_kai_0001,999999999
e,event_kai1_challenge03_00001,150000,,outpost_event_kai_0001,event_kai_0001,999999999
e,event_yuw1_challenge01_00005,80000,false,enemy_outpost_yuw_00001,event_yuw_0001,999999999
e,event_yuw1_challenge02_00001,100000,false,enemy_outpost_yuw_00001,event_yuw_0001,999999999
e,event_yuw1_challenge03_00001,150000,false,enemy_outpost_yuw_00001,event_yuw_0001,999999999
e,event_sur1_challenge01_00005,80000,false,enemy_outpost_sur_00001,event_sur_0001,999999999
e,event_sur1_challenge02_00001,100000,false,enemy_outpost_sur_00001,event_sur_0001,999999999
e,event_sur1_challenge03_00001,150000,false,enemy_outpost_sur_00001,event_sur_0001,999999999
e,event_ron1_challenge01_00001,80000,false,enemy_outpost_ron_00001,event_ron_0001,999999999
e,event_ron1_challenge02_00001,100000,false,enemy_outpost_ron_00001,event_ron_0001,999999999
e,event_ron1_challenge03_00001,150000,false,enemy_outpost_ron_00001,event_ron_0001,999999999
e,event_aha1_challenge01_00001,80000,false,enemy_outpost_aha_00001,event_aha_0001,999999999
e,event_aha1_challenge02_00001,100000,false,enemy_outpost_aha_00001,event_aha_0001,999999999
e,event_aha1_challenge03_00001,150000,false,enemy_outpost_aha_00001,event_aha_0001,999999999
e,event_sum1_challenge01_00001,80000,false,enemy_outpost_sum_00001,event_sum_0001,999999999
e,event_sum1_challenge02_00001,100000,false,enemy_outpost_sum_00001,event_sum_0001,999999999
e,event_sum1_challenge03_00001,150000,false,enemy_outpost_sum_00001,event_sum_0001,999999999
e,event_jig1_challenge01_00005,80000,,,event_jig_0001,999999999
e,event_jig1_challenge02_00001,100000,,,event_jig_0001,999999999
e,event_jig1_challenge03_00001,150000,,,event_jig_0001,999999999
e,event_tak1_challenge01_00001,80000,,,event_tak_0001,999999999
e,event_tak1_challenge02_00001,100000,,,event_tak_0001,999999999
e,event_tak1_challenge03_00001,150000,,,event_tak_0001,999999999
e,event_osh1_challenge01_00005,80000,,,event_osh_0001,999999999
e,event_osh1_challenge02_00001,100000,,,event_osh_0001,999999999
e,event_osh1_challenge03_00001,150000,,,event_osh_0001,999999999
e,event_you1_challenge01_00005,80000,,,event_you_0001,999999999
e,event_you1_challenge02_00001,100000,,,event_you_0001,999999999
e,event_you1_challenge03_00001,150000,,,event_you_0001,999999999
e,event_kim1_challenge01_00005,80000,,,event_kim_0001,999999999
e,event_kim1_challenge02_00001,100000,,,event_kim_0001,999999999
e,event_kim1_challenge03_00001,150000,,,event_kim_0001,999999999
e,event_hut1_challenge01_00005,80000,,,event_hut_0001,999999999
e,event_hut1_challenge02_00001,100000,,,event_hut_0001,999999999
e,event_hut1_challenge03_00001,150000,,,event_hut_0001,999999999
