ENABLE,id,hp,is_damage_invalidation,outpost_asset_key,artwork_asset_key,release_key
e,event_mag1_1day_00001,500,,,event_mag_0001,202511010
e,event_mag1_charaget01_00001,5000,,,event_mag_0001,202511010
e,event_mag1_charaget01_00002,6000,,,event_mag_0001,202511010
e,event_mag1_charaget01_00003,8000,,,event_mag_0001,202511010
e,event_mag1_charaget01_00004,12000,,,event_mag_0001,202511010
e,event_mag1_charaget01_00005,18000,,,event_mag_0001,202511010
e,event_mag1_charaget01_00006,22000,,,event_mag_0001,202511010
e,event_mag1_charaget01_00007,50000,,,event_mag_0001,202511010
e,event_mag1_charaget01_00008,50000,,,event_mag_0001,202511010
e,event_mag1_charaget02_00001,5000,,,event_mag_0002,202511010
e,event_mag1_charaget02_00002,6000,,,event_mag_0002,202511010
e,event_mag1_charaget02_00003,8000,,,event_mag_0002,202511010
e,event_mag1_charaget02_00004,12000,,,event_mag_0002,202511010
e,event_mag1_charaget02_00005,18000,,,event_mag_0002,202511010
e,event_mag1_charaget02_00006,22000,,,event_mag_0002,202511010
e,event_mag1_charaget02_00007,50000,,,event_mag_0002,202511010
e,event_mag1_charaget02_00008,50000,,,event_mag_0002,202511010
e,event_mag1_challenge01_00001,40000,,,mag_0001,202511010
e,event_mag1_challenge01_00002,60000,,,mag_0001,202511010
e,event_mag1_challenge01_00003,60000,,,mag_0001,202511010
e,event_mag1_challenge01_00004,80000,,,mag_0001,202511010
e,event_mag1_savage_00001,120000,,,mag_0001,202511010
e,event_mag1_savage_00002,150000,,,mag_0001,202511010
e,raid_mag1_00001,1000000,1,,mag_0001,202511010
