ENABLE,release_key,id,mst_mission_event_id,language,description
e,202511010,event_mag_00001_1_ja,event_mag_00001_1,ja,"重本 浩司 をグレード2まで強化しよう"
e,202511010,event_mag_00001_2_ja,event_mag_00001_2,ja,"重本 浩司 をグレード3まで強化しよう"
e,202511010,event_mag_00001_3_ja,event_mag_00001_3,ja,"重本 浩司 をグレード4まで強化しよう"
e,202511010,event_mag_00001_4_ja,event_mag_00001_4,ja,"重本 浩司 をグレード5まで強化しよう"
e,202511010,event_mag_00001_5_ja,event_mag_00001_5,ja,"重本 浩司 をLv.20まで強化しよう"
e,202511010,event_mag_00001_6_ja,event_mag_00001_6,ja,"重本 浩司 をLv.30まで強化しよう"
e,202511010,event_mag_00001_7_ja,event_mag_00001_7,ja,"重本 浩司 をLv.40まで強化しよう"
e,202511010,event_mag_00001_8_ja,event_mag_00001_8,ja,"槇野 あかね をグレード2まで強化しよう"
e,202511010,event_mag_00001_9_ja,event_mag_00001_9,ja,"槇野 あかね をグレード3まで強化しよう"
e,202511010,event_mag_00001_10_ja,event_mag_00001_10,ja,"槇野 あかね をグレード4まで強化しよう"
e,202511010,event_mag_00001_11_ja,event_mag_00001_11,ja,"槇野 あかね をグレード5まで強化しよう"
e,202511010,event_mag_00001_12_ja,event_mag_00001_12,ja,"槇野 あかね をLv.20まで強化しよう"
e,202511010,event_mag_00001_13_ja,event_mag_00001_13,ja,"槇野 あかね をLv.30まで強化しよう"
e,202511010,event_mag_00001_14_ja,event_mag_00001_14,ja,"槇野 あかね をLv.40まで強化しよう"
e,202511010,event_mag_00001_15_ja,event_mag_00001_15,ja,ストーリークエスト「うちの美学」をクリアしよう
e,202511010,event_mag_00001_16_ja,event_mag_00001_16,ja,ストーリークエスト「よく見てる」をクリアしよう
e,202511010,event_mag_00001_17_ja,event_mag_00001_17,ja,チャレンジクエスト「色々な魔法少女」をクリアしよう
e,202511010,event_mag_00001_18_ja,event_mag_00001_18,ja,高難易度『「怪異」現象』をクリアしよう
e,202511010,event_mag_00001_19_ja,event_mag_00001_19,ja,敵を10体撃破しよう
e,202511010,event_mag_00001_20_ja,event_mag_00001_20,ja,敵を20体撃破しよう
e,202511010,event_mag_00001_21_ja,event_mag_00001_21,ja,敵を30体撃破しよう
e,202511010,event_mag_00001_22_ja,event_mag_00001_22,ja,敵を40体撃破しよう
e,202511010,event_mag_00001_23_ja,event_mag_00001_23,ja,敵を50体撃破しよう
e,202511010,event_mag_00001_24_ja,event_mag_00001_24,ja,敵を100体撃破しよう
