ENABLE,id,mst_stage_id,condition_type,condition_value,animation_start_delay,animation_speed,is_pause,can_skip,asset_key,release_key
e,genga_mag_event_1day_00001_01_start,event_mag1_1day_00001,Start,0,0,0.7,1,1,genga_mag_event_1day_00001_01_start,202511010
e,genga_mag_event_challenge_00001_01_appear,event_mag1_challenge01_00001,EnemySummon,6,0,0.7,1,1,genga_mag_event_challenge_00001_01_appear,202511010
e,genga_mag_event_challenge_00001_02_appear,event_mag1_challenge01_00002,EnemySummon,9,0,0.7,1,1,genga_mag_event_challenge_00001_02_appear,202511010
e,genga_mag_event_challenge_00001_03_appear,event_mag1_challenge01_00003,EnemySummon,5,0,0.7,1,1,genga_mag_event_challenge_00001_03_appear,202511010
e,genga_mag_event_challenge_00001_04_appear,event_mag1_challenge01_00004,EnemySummon,3,0,0.7,1,1,genga_mag_event_challenge_00001_04_appear,202511010
e,genga_mag_event_savage_00001_01_start,event_mag1_savage_00001,Start,0,0,0.7,1,1,genga_mag_event_savage_00001_01_start,202511010
e,genga_mag_event_savage_00001_02_start,event_mag1_savage_00002,Start,0,0,0.7,1,1,genga_mag_event_savage_00001_02_start,202511010
e,genga_mag_event_story_00001_01_start,event_mag1_charaget01_00001,Start,0,0,0.7,1,1,genga_mag_event_story_00001_01_start,202511010
e,genga_mag_event_story_00001_01_victory,event_mag1_charaget01_00001,Victory,0,0,0.7,1,1,genga_mag_event_story_00001_01_victory,202511010
e,genga_mag_event_story_00001_02_start,event_mag1_charaget01_00002,Start,0,0,0.7,1,1,genga_mag_event_story_00001_02_start,202511010
e,genga_mag_event_story_00001_02_victory,event_mag1_charaget01_00002,Victory,0,0,0.7,1,1,genga_mag_event_story_00001_02_victory,202511010
e,genga_mag_event_story_00001_03_start,event_mag1_charaget01_00003,Start,0,0,0.7,1,1,genga_mag_event_story_00001_03_start,202511010
e,genga_mag_event_story_00001_03_victory,event_mag1_charaget01_00003,Victory,0,0,0.7,1,1,genga_mag_event_story_00001_03_victory,202511010
e,genga_mag_event_story_00001_04_start,event_mag1_charaget01_00004,Start,0,0,0.7,1,1,genga_mag_event_story_00001_04_start,202511010
e,genga_mag_event_story_00001_04_victory,event_mag1_charaget01_00004,Victory,0,0,0.7,1,1,genga_mag_event_story_00001_04_victory,202511010
e,genga_mag_event_story_00001_05_start,event_mag1_charaget01_00005,Start,0,0,0.7,1,1,genga_mag_event_story_00001_05_start,202511010
e,genga_mag_event_story_00001_06_start,event_mag1_charaget01_00006,Start,0,0,0.7,1,1,genga_mag_event_story_00001_06_start,202511010
e,genga_mag_event_story_00001_06_victory,event_mag1_charaget01_00006,Victory,0,0,0.7,1,1,genga_mag_event_story_00001_06_victory,202511010
e,genga_mag_event_story_00001_07_start,event_mag1_charaget01_00007,Start,0,0,0.7,1,1,genga_mag_event_story_00001_07_start,202511010
e,genga_mag_event_story_00001_07_victory,event_mag1_charaget01_00007,Victory,0,0,0.7,1,1,genga_mag_event_story_00001_07_victory,202511010
e,genga_mag_event_story_00001_08_start,event_mag1_charaget01_00008,Start,0,0,0.7,1,1,genga_mag_event_story_00001_08_start,202511010
e,genga_mag_event_story_00001_08_victory,event_mag1_charaget01_00008,Victory,0,0,0.7,1,1,genga_mag_event_story_00001_08_victory,202511010
e,genga_mag_event_story_00002_01_start,event_mag1_charaget02_00001,Start,0,0,0.7,1,1,genga_mag_event_story_00002_01_start,202511010
e,genga_mag_event_story_00002_02_start,event_mag1_charaget02_00002,Start,0,0,0.7,1,1,genga_mag_event_story_00002_02_start,202511010
e,genga_mag_event_story_00002_02_victory,event_mag1_charaget02_00002,Victory,0,0,0.7,1,1,genga_mag_event_story_00002_02_victory,202511010
e,genga_mag_event_story_00002_03_start,event_mag1_charaget02_00003,Start,0,0,0.7,1,1,genga_mag_event_story_00002_03_start,202511010
e,genga_mag_event_story_00002_03_victory,event_mag1_charaget02_00003,Victory,0,0,0.7,1,1,genga_mag_event_story_00002_03_victory,202511010
e,genga_mag_event_story_00002_04_start,event_mag1_charaget02_00004,Start,0,0,0.7,1,1,genga_mag_event_story_00002_04_start,202511010
e,genga_mag_event_story_00002_05_victory,event_mag1_charaget02_00005,Victory,0,0,0.7,1,1,genga_mag_event_story_00002_05_victory,202511010
e,genga_mag_event_story_00002_06_start,event_mag1_charaget02_00006,Start,0,0,0.7,1,1,genga_mag_event_story_00002_06_start,202511010
e,genga_mag_event_story_00002_06_victory,event_mag1_charaget02_00006,Victory,0,0,0.7,1,1,genga_mag_event_story_00002_06_victory,202511010
e,genga_mag_event_story_00002_07_start,event_mag1_charaget02_00007,Start,0,0,0.7,1,1,genga_mag_event_story_00002_07_start,202511010
e,genga_mag_event_story_00002_07_victory,event_mag1_charaget02_00007,Victory,0,0,0.7,1,1,genga_mag_event_story_00002_07_victory,202511010
e,genga_mag_event_story_00002_08_start,event_mag1_charaget02_00008,Start,0,0,0.7,1,1,genga_mag_event_story_00002_08_start,202511010
e,genga_mag_event_story_00002_08_victory,event_mag1_charaget02_00008,Victory,0,0,0.7,1,1,genga_mag_event_story_00002_08_victory,202511010
