ENABLE,release_key,id,mst_in_game_id,language,result_tips,description
e,202511010,pvp_mag_01_ja,pvp_mag_01,ja,,
e,202511010,event_mag1_1day_00001_ja,event_mag1_1day_00001,ja,キャラを強化してみよう!,"【属性情報】\n無属性の敵が登場するぞ!\n\n毎日1回クエストをクリアして、「プリズム」をGETしよう!                                                                                                                                                                                                                                                                                                                                        "
e,202511010,event_mag1_charaget01_00001_ja,event_mag1_charaget01_00001,ja,キャラを強化してみよう!,"【属性情報】\n無属性の敵が登場するぞ!"
e,202511010,event_mag1_charaget01_00002_ja,event_mag1_charaget01_00002,ja,緑属性のキャラを編成してみよう!,"【属性情報】\n黄属性の敵が登場するので緑属性のキャラは有利に戦うこともできるぞ!"
e,202511010,event_mag1_charaget01_00003_ja,event_mag1_charaget01_00003,ja,"ファントムゲートを攻撃すると、強敵が登場するぞ!\n強敵登場に向けてディフェンスキャラを召喚してみよう!","【属性情報】\n黄属性の敵が登場するので緑属性のキャラは有利に戦うこともできるぞ!\nさらに、無属性の敵も登場するぞ!"
e,202511010,event_mag1_charaget01_00004_ja,event_mag1_charaget01_00004,ja,緑属性のキャラを編成してみよう!,"【属性情報】\n黄属性の敵が登場するので緑属性のキャラは有利に戦うこともできるぞ!\nさらに、無属性の敵も登場するぞ!"
e,202511010,event_mag1_charaget01_00005_ja,event_mag1_charaget01_00005,ja,緑属性のキャラを強化して編成してみよう!,"【属性情報】\n黄属性の敵が登場するので緑属性のキャラは有利に戦うこともできるぞ!"
e,202511010,event_mag1_charaget01_00006_ja,event_mag1_charaget01_00006,ja,攻撃DOWNコマ無効を持っているキャラを強化して編成してみよう!,"【属性情報】\n黄属性の敵が登場するので緑属性のキャラは有利に戦うこともできるぞ!\n\n【コマ効果情報】\n攻撃DOWNコマが登場するぞ!\n特性で攻撃DOWNコマ無効化を持っているキャラを編成しよう!"
e,202511010,event_mag1_charaget01_00007_ja,event_mag1_charaget01_00007,ja,ダメージコマ無効を持っているキャラを強化して編成してみよう!,"【属性情報】\n黄属性の敵が登場するので緑属性のキャラは有利に戦うこともできるぞ!\n\n【コマ効果情報】\nダメージコマが登場するぞ!\n特性でダメージコマ無効化を持っているキャラを編成しよう!"
e,202511010,event_mag1_charaget01_00008_ja,event_mag1_charaget01_00008,ja,毒コマ無効を持っているキャラを強化して編成してみよう!,"【属性情報】\n黄属性の敵が登場するので緑属性のキャラは有利に戦うこともできるぞ!\n\n【コマ効果情報】\n毒コマが登場するぞ!\n特性で毒ダメージ軽減を持っているキャラを編成しよう!"
e,202511010,event_mag1_charaget02_00001_ja,event_mag1_charaget02_00001,ja,キャラを強化してみよう!,"【属性情報】\n無属性の敵が登場するぞ!"
e,202511010,event_mag1_charaget02_00002_ja,event_mag1_charaget02_00002,ja,赤属性のキャラを編成してみよう!,"【属性情報】\n緑属性の敵が登場するので赤属性のキャラは有利に戦うこともできるぞ!"
