ENABLE,release_key,id,mst_artwork_fragment_id,position
e,202511010,artwork_fragment_event_mag_00001,artwork_fragment_event_mag_00001,10
e,202511010,artwork_fragment_event_mag_00002,artwork_fragment_event_mag_00002,8
e,202511010,artwork_fragment_event_mag_00003,artwork_fragment_event_mag_00003,1
e,202511010,artwork_fragment_event_mag_00004,artwork_fragment_event_mag_00004,11
e,202511010,artwork_fragment_event_mag_00005,artwork_fragment_event_mag_00005,14
e,202511010,artwork_fragment_event_mag_00006,artwork_fragment_event_mag_00006,6
e,202511010,artwork_fragment_event_mag_00007,artwork_fragment_event_mag_00007,7
e,202511010,artwork_fragment_event_mag_00008,artwork_fragment_event_mag_00008,3
e,202511010,artwork_fragment_event_mag_00009,artwork_fragment_event_mag_00009,9
e,202511010,artwork_fragment_event_mag_00010,artwork_fragment_event_mag_00010,15
e,202511010,artwork_fragment_event_mag_00011,artwork_fragment_event_mag_00011,12
e,202511010,artwork_fragment_event_mag_00012,artwork_fragment_event_mag_00012,2
e,202511010,artwork_fragment_event_mag_00013,artwork_fragment_event_mag_00013,5
e,202511010,artwork_fragment_event_mag_00014,artwork_fragment_event_mag_00014,16
e,202511010,artwork_fragment_event_mag_00015,artwork_fragment_event_mag_00015,13
e,202511010,artwork_fragment_event_mag_00016,artwork_fragment_event_mag_00016,4
e,202511010,artwork_fragment_event_mag_00101,artwork_fragment_event_mag_00101,13
e,202511010,artwork_fragment_event_mag_00102,artwork_fragment_event_mag_00102,14
e,202511010,artwork_fragment_event_mag_00103,artwork_fragment_event_mag_00103,12
e,202511010,artwork_fragment_event_mag_00104,artwork_fragment_event_mag_00104,11
e,202511010,artwork_fragment_event_mag_00105,artwork_fragment_event_mag_00105,1
e,202511010,artwork_fragment_event_mag_00106,artwork_fragment_event_mag_00106,8
e,202511010,artwork_fragment_event_mag_00107,artwork_fragment_event_mag_00107,2
e,202511010,artwork_fragment_event_mag_00108,artwork_fragment_event_mag_00108,10
e,202511010,artwork_fragment_event_mag_00109,artwork_fragment_event_mag_00109,3
e,202511010,artwork_fragment_event_mag_00110,artwork_fragment_event_mag_00110,5
e,202511010,artwork_fragment_event_mag_00111,artwork_fragment_event_mag_00111,7
e,202511010,artwork_fragment_event_mag_00112,artwork_fragment_event_mag_00112,16
e,202511010,artwork_fragment_event_mag_00113,artwork_fragment_event_mag_00113,15
e,202511010,artwork_fragment_event_mag_00114,artwork_fragment_event_mag_00114,6
e,202511010,artwork_fragment_event_mag_00115,artwork_fragment_event_mag_00115,4
e,202511010,artwork_fragment_event_mag_00116,artwork_fragment_event_mag_00116,9
