テーブル,列,現在のパターン,説明,提案パターン,提案理由,想定最大文字数
MstComebackBonus,id,comeback_1_[連番],"プレフィックス_comeback_1 + 通算連番（範囲: 1～7, 件数: 7）",comeback_bonus_[schedule_id]_[login_day_count],スケジュールIDとログイン日数の組み合わせでIDを構成。バージョン番号（comeback_1_）は削除し、より明確な構造にする。,39文字（例: comeback_bonus_comeback_daily_bonus_1_7）
MstDailyBonusReward,id,comeback_reward_1_[連番],"プレフィックス_comeback_reward_1 + 通算連番（範囲: 1～7, 件数: 7）",comeback_reward_1_[release_key]_[連番],現在の接頭辞（comeback_reward_1）を維持しつつ、release_keyを追加してデプロイ単位を分離。テーブル名は「DailyBonus」だが、実際の用途（カムバックボーナス）に合わせた接頭辞を尊重。月に複数回デプロイがある場合も対応可能。,comeback_reward_1_202603011_999 → 32文字
MstDummyOutpost,id,[連番],"数字のみの通算連番（範囲: 1～90, 件数: 90）",dummy_outpost_[連番],ダミーゲートは固定数のマスタデータなので、シンプルなプレフィックス + 連番で十分。プレフィックスを追加することで他のIDと区別しやすくする。,17文字（例: dummy_outpost_999）
MstDummyUserI18n,id,[連番],"数字のみの通算連番（範囲: 1～100, 件数: 100）",dummy_user_i18n_[user_id],ダミーユーザーIDをベースにしたID。1ユーザーに1つのi18nレコードが対応するため、ユーザーIDを使うことで一意性を保証。,19文字（例: dummy_user_i18n_999）
MstDummyUserUnit,id,[連番],"数字のみの通算連番（範囲: 1～100, 件数: 100）",dummy_user_unit_[user_id]_[unit_id],ダミーユーザーIDとユニットIDの組み合わせでIDを構成。ユーザーとユニットの組み合わせで一意に決まる。,35文字（例: dummy_user_unit_999_chara_kai_00701）
MstEventBonusUnit,id,[連番],"数字のみの通算連番（範囲: 1～72, 件数: 71）",event_bonus_unit_[event_id]_[unit_id],イベントIDとユニットIDの組み合わせでIDを構成。イベントとユニットの組み合わせで一意に決まるため、連番は不要。既存のevent_idとunit_idを使うことで、過去の最大値を確認する必要がない。,event_bonus_unit_event_kai_1_chara_kai_00701 → 47文字
MstExchangeI18n,id,[連番],"数字のみの通算連番（範囲: 1～4, 件数: 4）",exchange_i18n_[exchange_id],交換マスタIDをベースにしたID。1つの交換に1つのi18nレコードが対応するため、交換IDを使うことで一意性を保証。,27文字（例: exchange_i18n_[exchange_id]）
MstFragmentBox,id,fragment_box_[連番],"プレフィックス_fragment_box + 通算連番（範囲: 1～8, 件数: 8）",fragment_box_[mst_item_id],アイテムIDをベースにしたID。1つのアイテムに1つのフラグメントボックスが対応するため、アイテムIDを使うことで一意性を保証。,26文字（例: fragment_box_box_glo_00001）
MstIdleIncentiveItem,id,[連番],"数字のみの通算連番（範囲: 1～100, 件数: 100）",idle_incentive_item_[release_key]_[連番],現在は数字のみだが、接頭辞を追加してテーブル種別を明示。release_key単位でデータが追加されるため、release_key別の連番が適切。同一release_key内では連番が1から始まるため、過去の最大値を確認する必要がない。月に複数回デプロイがある場合も対応可能。,idle_incentive_item_202603011_999 → 35文字
MstIdleIncentiveReward,id,mst_idle_incentive_reward_[連番],"プレフィックス_mst_idle_incentive_reward + 通算連番（範囲: 1～81, 件数: 81）",idle_incentive_reward_[release_key]_[連番],現在の接頭辞から「mst_」を除去して短縮し、release_keyを追加。release_key単位でデータが追加されるため、release_key別の連番が適切。同一release_key内では連番が1から始まるため、過去の最大値を確認する必要がない。月に複数回デプロイがある場合も対応可能。,idle_incentive_reward_202603011_999 → 37文字
MstInGameSpecialRuleUnitStatus,id,[連番],"数字のみの通算連番（範囲: 1～25, 件数: 25）",ingame_special_rule_unit_status_[rule_id]_[unit_id],特殊ルールIDとユニットIDの組み合わせでIDを構成。ルールとユニットの組み合わせで一意に決まる。,56文字（例: ingame_special_rule_unit_status_rule_001_chara_kai_00701）
MstItemRarityTrade,id,rarity_trade_[連番],"プレフィックス_rarity_trade + 通算連番（範囲: 1～4, 件数: 4）",item_rarity_trade_[from_rarity]_to_[to_rarity],交換元と交換先のレアリティをIDに含める。レアリティの組み合わせで一意に決まるため、通算連番は不要。,24文字（例: item_rarity_trade_5_to_6）
MstItemTransition,id,[連番],"数字のみの通算連番（範囲: 1～10041, 件数: 85）",item_transition_[from_item_id]_to_[to_item_id],アイテム変換元と変換先のアイテムIDをIDに含める。変換ルールごとに一意に決まるため、通算連番は不要。,48文字（例: item_transition_item_glo_00001_to_item_glo_00002）
MstMissionAchievement,id,achievement_2_[連番],"プレフィックス_achievement_2 + 通算連番（範囲: 1～100, 件数: 100）",achievement_2_[release_key]_[連番],バージョン番号（_2）を維持しつつ、release_keyを追加してデプロイ単位を分離。criterion_type別連番の問題を解消。同一release_key内では連番が1から始まるため、過去の最大値確認が不要。月に複数回デプロイがある場合も対応可能。,achievement_2_202603011_999 → 27文字
MstMissionAchievementDependency,id,[連番],"数字のみの通算連番（範囲: 1～100, 件数: 100）",mission_achievement_dependency_[parent_id]_[child_id],依存関係を表すテーブルなので、親IDと子IDの組み合わせをIDとする。通算連番は不要。,38文字（例: mission_achievement_dependency_999_999）
MstMissionDailyBonus,id,daily_bonus_[連番],"プレフィックス_daily_bonus + 通算連番（範囲: 1～7, 件数: 7）",mission_daily_bonus_[login_day_count],"ログイン日数（login_day_count）をIDに含める。日数ごとに一意なので通算連番は不要。例: mission_daily_bonus_1, mission_daily_bonus_2, ...",21文字（例: mission_daily_bonus_7）
MstMissionEventDependency,id,[連番],"数字のみの通算連番（範囲: 1～100, 件数: 100）",mission_event_dependency_[parent_id]_[child_id],依存関係を表すテーブルなので、親IDと子IDの組み合わせをIDとする。通算連番は不要。,32文字（例: mission_event_dependency_999_999）
MstMissionLimitedTerm,id,limited_term_[連番],"プレフィックス_limited_term + 通算連番（範囲: 1～48, 件数: 48）",mission_limited_term_[作品ID]_[イベントID]_[連番],作品IDとイベントIDをベースにした採番。既存のmst_mission_reward_group_id（例: kai_00001_limited_term_1）と同様の構造。イベントごとに連番を振ることで、過去の最大値を考慮する必要がなくなる。,34文字（例: mission_limited_term_kai_00001_999）
MstMissionReward,id,mission_reward_[連番],"プレフィックス_mission_reward + 通算連番（範囲: 1～100, 件数: 100）",mission_reward_[group_id]_[連番],group_idごとにグループ内連番を振る。同じgroup_idに複数の報酬レコードが存在するため、group_id + 連番の組み合わせが必要。接頭辞「mission_reward」は現状を維持。,mission_reward_kai_00001_event_reward_99_999 → 42文字
MstNgWord,id,ng_[連番],"プレフィックス_ng + 通算連番（範囲: 1～100, 件数: 100）",ng_[連番],"現状維持。継続的に蓄積される固定マスタデータであり、8,263件のデータが既に存在。特殊文字を含む単語も多数あり、単語そのものをIDにするのは不適切。通算連番だが、追加頻度が低く運用可能な範囲。",ng_9999 → 7文字
MstOutpostEnhancement,id,enhance_1_[連番],"プレフィックス_enhance_1 + 通算連番（範囲: 3～8, 件数: 6）",outpost_enhancement_[outpost_type]_[enhancement_type]_[連番],拠点タイプと強化タイプごとに連番を振る。バージョン番号（enhance_1_）は削除し、より明確な構造にする。,57文字（例: outpost_enhancement_[outpost_type]_[enhancement_type]_999）
MstPackContent,id,[連番],"数字のみの通算連番（範囲: 1～100, 件数: 100）",pack_content_[pack_id]_[連番],パックIDごとに連番を振る。各パック単位でコンテンツが追加されるため、パック別の連番が適切。同じパック内では連番が1から始まるため、過去の最大値を確認する必要がない。,pack_content_start_chara_pack_1_999 → 38文字
MstPvpDummy,id,pvp_dummy_[連番],"プレフィックス_pvp_dummy + 通算連番（範囲: 13～112, 件数: 100）",pvp_dummy_[release_key]_[連番],現在の接頭辞（pvp_dummy）を維持しつつ、release_keyを追加してデプロイ単位を分離。release_key単位でダミーデータが追加されるため、release_key別の連番が適切。同一release_key内では連番が1から始まるため、過去の最大値を確認する必要がない。月に複数回デプロイがある場合も対応可能。,pvp_dummy_202603011_999 → 24文字
