テーブル,列,パターン,説明
MstComebackBonus,id,comeback_1_[連番],"プレフィックス_comeback_1 + 通算連番（範囲: 1～7, 件数: 7）"
MstDailyBonusReward,id,comeback_reward_1_[連番],"プレフィックス_comeback_reward_1 + 通算連番（範囲: 1～7, 件数: 7）"
MstDummyOutpost,id,[連番],"数字のみの通算連番（範囲: 1～90, 件数: 90）"
MstDummyUserI18n,id,[連番],"数字のみの通算連番（範囲: 1～100, 件数: 100）"
MstDummyUserUnit,id,[連番],"数字のみの通算連番（範囲: 1～100, 件数: 100）"
MstEventBonusUnit,id,[連番],"数字のみの通算連番（範囲: 1～72, 件数: 71）"
MstExchangeI18n,id,[連番],"数字のみの通算連番（範囲: 1～4, 件数: 4）"
MstFragmentBox,id,fragment_box_[連番],"プレフィックス_fragment_box + 通算連番（範囲: 1～8, 件数: 8）"
MstIdleIncentiveItem,id,[連番],"数字のみの通算連番（範囲: 1～100, 件数: 100）"
MstIdleIncentiveReward,id,mst_idle_incentive_reward_[連番],"プレフィックス_mst_idle_incentive_reward + 通算連番（範囲: 1～81, 件数: 81）"
MstInGameSpecialRuleUnitStatus,id,[連番],"数字のみの通算連番（範囲: 1～25, 件数: 25）"
MstItemRarityTrade,id,rarity_trade_[連番],"プレフィックス_rarity_trade + 通算連番（範囲: 1～4, 件数: 4）"
MstItemTransition,id,[連番],"数字のみの通算連番（範囲: 1～10041, 件数: 85）"
MstMissionAchievement,id,achievement_2_[連番],"プレフィックス_achievement_2 + 通算連番（範囲: 1～100, 件数: 100）"
MstMissionAchievementDependency,id,[連番],"数字のみの通算連番（範囲: 1～100, 件数: 100）"
MstMissionDailyBonus,id,daily_bonus_[連番],"プレフィックス_daily_bonus + 通算連番（範囲: 1～7, 件数: 7）"
MstMissionEventDependency,id,[連番],"数字のみの通算連番（範囲: 1～100, 件数: 100）"
MstMissionLimitedTerm,id,limited_term_[連番],"プレフィックス_limited_term + 通算連番（範囲: 1～48, 件数: 48）"
MstMissionReward,id,mission_reward_[連番],"プレフィックス_mission_reward + 通算連番（範囲: 1～100, 件数: 100）"
MstNgWord,id,ng_[連番],"プレフィックス_ng + 通算連番（範囲: 1～100, 件数: 100）"
MstOutpostEnhancement,id,enhance_1_[連番],"プレフィックス_enhance_1 + 通算連番（範囲: 3～8, 件数: 6）"
MstPackContent,id,[連番],"数字のみの通算連番（範囲: 1～100, 件数: 100）"
MstPvpDummy,id,pvp_dummy_[連番],"プレフィックス_pvp_dummy + 通算連番（範囲: 13～112, 件数: 100）"
MstQuestBonusUnit,id,[連番],"数字のみの通算連番（範囲: 1～77, 件数: 77）"
MstQuestEventBonusSchedule,id,[連番],"数字のみの通算連番（範囲: 1～12, 件数: 12）"
MstResultTipI18n,id,[連番],"数字のみの通算連番（範囲: 1～18, 件数: 18）"
MstShopPass,id,premium_pass_[連番],"プレフィックス_premium_pass + 通算連番（範囲: 1～3, 件数: 3）"
MstShopPassEffect,id,premium_pass_01_effect_[連番],"プレフィックス_premium_pass_01_effect + 通算連番（範囲: 1～2, 件数: 2）"
MstSpecialAttackI18n,id,[連番],"数字のみの通算連番（範囲: 1～100, 件数: 100）"
MstSpeechBalloonI18n,id,[連番],"数字のみの通算連番（範囲: 1～154, 件数: 100）"
MstStageEnhanceRewardParam,id,[連番],"数字のみの通算連番（範囲: 1～14, 件数: 14）"
MstStageEventReward,id,[連番],"数字のみの通算連番（範囲: 1～100, 件数: 100）"
MstStageEventSetting,id,[連番],"数字のみの通算連番（範囲: 1～101, 件数: 100）"
MstStageReward,id,[連番],"数字のみの通算連番（範囲: 1～100, 件数: 100）"
MstStoreProduct,id,[連番],"数字のみの通算連番（範囲: 1～100, 件数: 100）"
MstTutorialTipI18n,id,[連番],"数字のみの通算連番（範囲: 1～28, 件数: 24）"
MstUnitEncyclopediaEffect,id,unit_encyclopedia_effect_[連番],"プレフィックス_unit_encyclopedia_effect + 通算連番（範囲: 5～1300, 件数: 44）"
MstUnitEncyclopediaReward,id,unit_encyclopedia_reward_rank_[連番],"プレフィックス_unit_encyclopedia_reward_rank + 通算連番（範囲: 5～1300, 件数: 44）"
MstUnitFragmentConvert,id,[連番],"数字のみの通算連番（範囲: 1～8, 件数: 8）"
MstUnitGradeCoefficient,id,[連番],"数字のみの通算連番（範囲: 1～75, 件数: 40）"
MstUnitGradeUp,id,[連番],"数字のみの通算連番（範囲: 1～67, 件数: 32）"
MstUnitLevelUp,id,[連番],"数字のみの通算連番（範囲: 1～100, 件数: 100）"
MstUnitRankCoefficient,id,[連番],"数字のみの通算連番（範囲: 1～6, 件数: 6）"
MstUnitRankUp,id,[連番],"数字のみの通算連番（範囲: 1～69, 件数: 48）"
MstUnitRoleBonus,id,[連番],"数字のみの通算連番（範囲: 1～6, 件数: 6）"
MstUserLevel,id,[連番],"数字のみの通算連番（範囲: 1～100, 件数: 100）"
MstUserLevelBonus,id,[連番],"数字のみの通算連番（範囲: 1～21, 件数: 21）"
MstUserLevelBonusGroup,id,[連番],"数字のみの通算連番（範囲: 1～31, 件数: 31）"
MstWhiteWord,id,wh_[連番],"プレフィックス_wh + 通算連番（範囲: 1～100, 件数: 100）"
OprGachaDisplayUnitI18n,id,[連番],"数字のみの通算連番（範囲: 1～107, 件数: 84）"
OprGachaUpper,id,[連番],"数字のみの通算連番（範囲: 1～26, 件数: 23）"
OprGachaUseResource,id,[連番],"数字のみの通算連番（範囲: 1～93, 件数: 81）"
OprProduct,id,[連番],"数字のみの通算連番（範囲: 1～100, 件数: 100）"
