作品_ID,作品バナーID,作品ロゴID,作品名,連載曜日,サブタイトル,サブタイトルの位置,タイトル合成,display_order,設定ID,left1,left2,left3,メインサムネ1画像AssetKey,メインサムネ2画像AssetKey,メインサムネ3画像AssetKey,メインサムネ3画像AssetKey,BGMジャンル(通常),BGMジャンル(ボス),デプロイ,リリース監状況
spy,series_banner_spy,series_logo_spy,SPY×FAMILY,月曜日,-,,SPY×FAMILY,001,spy,s,sp,spy,quest_image_spy_01,,,,日常・ギャグ,強敵/ボス登場時2 （高難度）,,
aka,series_banner_aka,series_logo_aka,ラーメン赤猫,月曜日,-,,ラーメン赤猫,002,akaneko,a,ak,aka,quest_image_aka_01,,,,バトル系2,強敵/ボス登場時2 （高難度）,,
rik,series_banner_rik,series_logo_rik,トマトイプーのリコピン,月曜日,-,,トマトイプーのリコピン,003,rikopin,r,ri,rik,quest_image_rik_01,,,,日常・ギャグ,強敵/ボス登場時2 （高難度）,,
dan,series_banner_dan,series_logo_dan,ダンダダン,火曜日,-,,ダンダダン,004,dan,d,da,dan,quest_image_dan_01,,,,バトル系1,強敵/ボスバトル1,,
gom,series_banner_gom,series_logo_gom,姫様“拷問”の時間です,火曜日,-,,姫様“拷問”の時間です,005,gomon,g,go,gom,quest_image_gom_01,,,,バトル系2,強敵/ボス登場時2 （高難度）,,
chi,series_banner_chi,series_logo_chi,チェンソーマン,水曜日,-,,チェンソーマン,006,chienso,c,ch,chi,quest_image_chi_01,,,,バトル系1,強敵/ボスバトル1,,
chi2,series_banner_chi2,series_logo_chi2,チェンソーマン 第二部,,,,チェンソーマン 第二部,,,,,,,,,,,,,
mag,series_banner_mag,series_logo_mag,株式会社マジルミエ,水曜日,-,,株式会社マジルミエ,007,magirumie,m,ma,mag,quest_image_mag_01,,,,バトル系1,強敵/ボスバトル1,,
dos,series_banner_dos,series_logo_dos,道産子ギャルはなまらめんこい,水曜日,-,,道産子ギャルはなまらめんこい,008,dosanko,d,do,dos,quest_image_dos_01,,,,ラブコメ2,強敵/ボス登場時2 （高難度）,,
bat,series_banner_bat,series_logo_bat,忘却バッテリー,木曜日,-,,忘却バッテリー,009,batteri,b,ba,bat,quest_image_bat_01,,,,バトル系1,強敵/ボス登場時2 （高難度）,,
kai,series_banner_kai,series_logo_kai,怪獣８号,金曜日,-,,怪獣８号,010,kaiju,k,ka,kai,quest_image_kai_01,,,,バトル系1,強敵/ボスバトル1,,
yuw,series_banner_yuw,series_logo_yuw,2.5次元の誘惑,土曜日,-,,2.5次元の誘惑,011,yuwaku,y,yu,yuw,quest_image_yuw_01,,,,バトル系2,強敵/ボス登場時2 （高難度）,,
sur,series_banner_sur,series_logo_sur,魔都精兵のスレイブ,土曜日,-,,魔都精兵のスレイブ,012,sureibu,s,su,sur,quest_image_sur_01,,,,バトル系1,強敵/ボスバトル1,,
