,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,■基礎設計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,■シミュレーション,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,検索用,,,,,,,,,,,,,,,,,,,,,,,
,特筆事項,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,実装日,,,,,,,,,,,,Lv,,基礎HP,基礎ATK,Rnk込星1HP,Rnk込星1ATK,星2HP,星3HP,星4HP,星5HP,星6HP,星7HP,星8HP,星9HP,星10HP,星2ATK,星3ATK,星4ATK,星5ATK,星6ATK,星7ATK,星8ATK,星9ATK,星10ATK
,"【キャラコンセプト】
・無属性キャラ前提
　　└メリット：不利属性なし(不利属性に対する攻撃30%カット無し)
　　└デメリット：有利属性なし(有利属性に対する攻撃50%UP無し)

・無属性の立ち位置(設計思想)
　└汎用性&対応力高めのポジション(※後述の特性でカバー&実現)
　└最大火力は「属性有り」のキャラに負けるが、最低火力は勝つ(※後述の特性でカバー&実現)
　↑どの編成にも対応可能なジョーカー的な存在

・テクニカルキャラ大枠の存在意義として、「状態異常」をどのタイミングで打つか？というゲームメイクの遊び・楽しみに加えて、
　必殺ワザを駆使することでユーザーが自分でキャラをコントロールしている楽しみ・体験の付加価値を提供したい。
　例
　・前線が崩れそうな時に壁役として運用したい場合：体力70%以上を維持
　・火力を出して押し込みたい場合：体力69%以下を維持
　　↑に加えて、自身の火力を落としてでも、ジャンブルラッシュで押し込みたい場合や、
　　　自身の火力を落とさずに(69%以下維持)したまま弱体化効果を付与して、ジャンブルラッシュを叩き込むなど、
　　　ユーザー自身がゲームメイクしている感覚(楽しみ)になれる要素の自由度が高め。

【コスト：高コスト(1000)】
・テクニカルキャラの中でフィニッシャーにあたる存在が「画眉丸」しかいないため、ユーザーのゲームメイクに幅を持たせたい。

　■コスト詳細(内訳)
　・特性コスト加算値合計：60
　└コスト加算値30：体力条件強化(以上/被ダメカット) 体力70%以上時に40%被ダメージカット
　└コスト加算値30：体力条件強化(以下/攻撃)体力69%以下時に35%攻撃UP

　・必殺ワザコスト加算値合計：60
　└コスト加算値10：攻撃(必殺)
　└コスト加算値30：弱体化
　└コスト加算値20：体力吸収

【特性】
　■体力条件強化(以上/被ダメカット) ：体力70%以上時に40%被ダメージカット
　　└汎用性&対応力高めのポジション
　　　不利属性なしメリットをユーザーがよりわかりやすくするための設計
　　　※被ダメージカットがない場合、どの属性のキャラからも敵の攻撃を100%ダメージもらうキャラになってしまう(無属性の「安定感・汎用性」が伝わりにくい)
　　　　結果的に無属性の強みが薄い可能性があるので、
　　　　キャラの個性として、体力の制限付きで40%カットを設定(不利属性に対する攻撃30%カットが無属性キャラにない分を補正)

　■体力条件強化(以下/攻撃)：体力69%以下時に35%攻撃UP
　　└最大火力は「属性有り」のキャラに負けるが、最低火力は勝つ「強み」として設計
　　　※攻撃UPがない場合、どの属性のキャラにも攻撃1.5倍のシステムバフがないことで、結果的に火力がでないキャラになってします。
　　　　結果的に無属性の強みが薄い可能性があるので、
　　　　キャラの個性として、体力の制限付きで攻撃+35%設定(有利属性に対する攻撃50%UPが無属性キャラにない分を少しだけ補正緩和)

　※特性補足
　体力条件を2つ設定した意図としては前述の通りですが、
　体験面として必殺ワザの体力吸収の特性上、片方の特性のみを「維持している楽しみ」よりもシステム側に「維持させられている」所感を持ったため、
　テクニカルキャラという建て付けもあるので、ユーザーが任意で性能を切り替えられる楽しみに昇華するために、2つの体力条件を設定しています。(HP管理がより意味を持つ)
　また、プレイヤーが「結局、体力を上げた方が、下げた方がいいキャラ？」と迷う＝ 無属性の立ち位置がぼやける対策。
　数値はシステム側に寄せているので、将来インフレにも耐える想定。
　例：HP69%以上の時間帯が 完全に無個性で、若干、性能として虚無感・残念感が手触りとしてある

　※特性補足2
　　体力条件の閾値として、被ダメージカットと攻撃UPの発動条件が両方とも「70%」だと、ピッタリ70%の時だけ最強になってしまう。
　　また、実現できる以上はユーザーは狙うことは難しいが、狙う動きをすると仮定していますが、
　　本来このキャラの体験としてユーザーに提供したい遊びの意図とは異なるため、体力の閾値は被らないように特別調整しています。
　　

【必殺ワザ】
■弱体化
　・ゲームコントロールしている楽しさの体験を優先して設計
　　└完凸時：効果値被ダメージ1.5倍上昇、効果時間5.5秒(CT：22.8秒。効果時間毎の実質ワザ間隔：17.3秒)

　・新ワザの設計要点
　　└弱体化の強い使い方として、効果時間短くして発動回転率が早い形が強い使い方。
　　　ただ、弱体化効果を発動してすぐにラッシュ打つだけのラッシュゲーとなってしまうため、効果値、効果時間と回転率の良い塩梅で設計。
　　
　　※補足：ラッシュ1ゲージのチャージ時間は、20秒(ゲートLv20強化時)。
　　　　　　2回目以降のCTは22.8秒かかるので、ジャンブルラッシュと同時発動は微妙に脳死ラッシュできない。(やろうと思えばPS介入で可能)
　　　　　　初回発動もかなりCTを重くしているが、体力的に必殺ワザを発動したいのに発動できず倒される可能性が高くなり、
　　　　　　ゲーム体験が損なわれる可能性があるため20秒以上にはしていない。


・弱体化：説明文言レギュ↓
https://docs.google.com/spreadsheets/d/1tAaChe98Zh7vhMfGMK5Y4_ijmNb40fr519GtdZkkDUY/edit?gid=610643942#gid=610643942&range=B67:G67

■体力吸収
　・複数体を必殺ワザ対象として巻き込んだ時に強い設計　※基準・比較対象は既存キャラのチェンソーマン
　性能や弱体化必殺ワザCTの体感の兼ね合いもあるため、キャラの性能に合わせて完全個別調整(本来の効果値より半分あたりまで下げた調整)
　└Lv80完凸時に加え、体力69%以下(攻撃35%UP)時に「3.5体」の敵複数体にヒットした場合、全回復。※実際にはノックバックなどでスカるとCT23秒なのでかなり厳しい
　※グレード1では「13体」巻き込まないと全回復できないので、凸の旨みがある設計。",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-16 15:00:00,,,,,,,,,,,,1,,2100,2500,2100,2500,2436,2646,2772,2835,2835,2835,2835,2835,2835,2900,3150,3300,3375,3375,3375,3375,3375,3375
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,デプロイ,,,,,,,,,,,,※少数切り上げ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,地獄楽いいジャン祭,,,,,,,,,,,,Lv,Rnk,基礎HP,基礎ATK,Rnk込星1HP,Rnk込星1ATK,星2HP,星3HP,星4HP,星5HP,星6HP,星7HP,星8HP,星9HP,星10HP,星2ATK,星3ATK,星4ATK,星5ATK,星6ATK,星7ATK,星8ATK,星9ATK,星10ATK
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,基礎情報,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,消さないで,,,,,1,0,2100,2500,2100,2500,2436,2646,2772,2835,2835,2835,2835,2835,2835,2900,3150,3300,3375,3375,3375,3375,3375,3375
,キャラ_ID,,,,キャラクター名,,,,,,,,作品名,,,,,,,,,,,,,,,,,,,,,,,,,,,,PremiumUR,,,,,2,0,2176,2591,2176,2591,2524,2741,2872,2937,2937,2937,2937,2937,2937,3005,3264,3420,3497,3497,3497,3497,3497,3497
,chara_jig_00401,,,,賊王 亜左 弔兵衛,,,,,,,,地獄楽,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,2264,2696,2264,2696,2626,2852,2988,3056,3056,3056,3056,3056,3056,3127,3396,3558,3639,3639,3639,3639,3639,3639
