,02_施策,,,,,,,,,,,,
,,,,,,,,,,,,安藤メモ,
,▼全体概要,,,,,,,,,1スタミナ*,,名称,登場可否
,カテゴリー,施策名称,,開始日,終了日,キャンペーンの有無,キャンペーン期間,キャンペーン内容,イベント全般,×15コイン,,冷却系の怪異,ストーリー以外なら可能
,ガシャ,フェス限ガシャ,,12/22 12:00,1/16 10:59,-,-,-,,,,つらら,ストーリー以外なら可能
,パック,クリスマスパック,,12/22 15:00,12/31 23:59,-,-,-,"⇩ストーリークエスト1つで
獲得できるメインの報酬数（初回クリア）",,,建造物寄生型の怪異（大）,可能
,高難易度クエスト,クリスマスバトル!!,,12/22 15:00,12/31 23:59,-,-,-,報酬名,報酬数,,建造物寄生型の怪異（小）,可能
,【チャレンジ】,,,,,-,-,-,そのキャラのカラーメモリー,1100,,工事現場の怪異,ストーリー２可能
,【高難易度】,,,,,-,-,-,メモリーフラグメント・初級,15,,,
,【降臨バトル】,,,,,-,-,-,メモリーフラグメント・中級,10,,,
,【ログインボーナス】,,,,,,,,メモリーフラグメント・上級,1,,,
,【ミッション】,,,,,,,,コイン,2800,,,
,コイン獲得クエスト,コイン獲得クエストキャラボーナス,,2025/12/22 15:00:00,2026/01/16 10:59:59,,,,,,,,
,,,,,,,,,,,,,
,◆ログインボーナス,実施無し,,,,,,,,,,,
,,,,,,,,,,,,,
,項目,内容,,,,,,,,,,,
,施策名称,,,,※〇〇[半角スペース]いいジャン祭[半角スペース]特別ログインボーナス　例：怪獣8号 いいジャン祭 特別ログインボーナス,,,,,,,,
,開催期間,,〜,,,,,,,,,,
,,,,,,,,,,,,,
,"ログイン日数
（日別）",日付,プリズム,コイン,ピックアップガシャチケット,スペシャルガシャチケット,メモリーフラグメント・初級,メモリーフラグメント・中級,カラーメモリー・レッド,カラーメモリー・イエロー,報酬設定の有無,,
月,1,,,,1,,,,,,1,,
火,2,12/30 13:00,,5000,,,,,,,5000,,
水,3,12/31 13:00,20,,,,,,,,20,,
木,4,1/1 13:00,,,,,,,300,,300,,
金,5,1/2 13:00,,,,1,,,,,1,,
土,6,1/3 13:00,,,,,3,,,,3,,
日,7,1/4 13:00,20,,,,,,,,20,,
月,8,1/5 13:00,,,1,,,,,,1,,
火,9,1/6 13:00,,,,,,,,300,300,,
水,10,1/7 13:00,,,,,,2,,,2,,
木,11,1/8 13:00,20,,,,,,,,20,,
金,12,1/9 13:00,,,1,,,,,,1,,
土,13,1/10 13:00,,,,,3,,,,3,,
日,14,1/11 13:00,,5000,,,,,,,5000,,
月,15,1/12 13:00,20,,,,,,,,20,,
火,16,1/13 13:00,,,,1,,,,,1,,
水,17,1/14 13:00,,,,,3,,,,3,,
木,18,1/15 13:00,,,,,,,300,,300,,
金,19,1/16 13:00,,5000,,,,,,,5000,,
土,20,1/17 13:00,,,,,3,,,,3,,
日,21,1/18 13:00,,,,,,2,,,2,,
月,22,1/19 13:00,,,,,,,,300,300,,
火,23,1/20 13:00,,,,,3,,,,3,,
,24,1/21 13:00,20,,,,,,,,20,,
,,報酬合計数,100,15000,3,2,15,4,600,600,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,◆デイリークエスト,,,,,,,,,,,,
,,,,,,,,,,,,,
,項目,内容,,,,,,,,,,,
,クエスト名,フェス限ガシャ,,,,,,,,,,,
,開催期間,12/22 12:00,〜,1/16 10:59,,,,,,,,,
,基礎設計URL,,,,,,,,,,,,
,原画演出URL,,,,,,,,,,,,
,,,,,,,,,,,,,
,ステージ,推奨Lv,スタミナ,獲得リーダーEXP,ステージサムネイル,登場キャラ,登場強敵キャラ,背景ID,開始時原画演出,終了時原画演出,ステージ開放条件,,
,1話,1,1,100,プリズム,醜鬼,なし,koma_background_sur_00003,1巻074-088P,なし,なし,,
,,,,,,,,,,,,,
,ステージ報酬,,,,,期間中全日プレイで獲得できるプリズム,ステージ背景ID,,,,,,
,ステージ,報酬カテゴリー,プリズム,コイン,,480,koma_background_sur_00003,,,,,,
