,04_ミッション,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,◆いいジャン祭ミッション,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,項目,内容,,,,,,,,,,,,,,,
,施策名称,,,,,,,,,,,,,,,,
,開催期間,,〜,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,ミッション内容,プリズム,コイン,ピックアップガシャチケット,スペシャルガシャチケット,メモリーフラグメント・初級,メモリーフラグメント・中級,メモリーフラグメント・上級,カラーメモリー・レッド,カラーメモリー・グリーン,カラーメモリー・イエロー,カラーメモリー・ブルー,カラーメモリー・グレー,和倉 青羽のかけら,無窮の鎖 和倉 優希のかけら,和倉 青羽のカラーメモリー,無窮の鎖 和倉 優希のカラーメモリー
,無窮の鎖 和倉 優希 をグレード2まで強化しよう,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200
,無窮の鎖 和倉 優希 をグレード3まで強化しよう,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300
,無窮の鎖 和倉 優希 をグレード4まで強化しよう,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350
,無窮の鎖 和倉 優希 をグレード5まで強化しよう,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,無窮の鎖 和倉 優希 をLv.20まで強化しよう,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0
,無窮の鎖 和倉 優希 をLv.30まで強化しよう,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
,無窮の鎖 和倉 優希 をLv.40まで強化しよう,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,和倉 青羽 をグレード2まで強化しよう,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0
,和倉 青羽 をグレード3まで強化しよう,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0
,和倉 青羽 をグレード4まで強化しよう,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350,0
,和倉 青羽 をグレード5まで強化しよう,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,和倉 青羽 をLv.20まで強化しよう,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0
,和倉 青羽 をLv.30まで強化しよう,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0
,和倉 青羽 をLv.40まで強化しよう,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,ストーリークエスト「スレイブの誕生」をクリアしよう,0,12500,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,ストーリークエスト「隠れ里の戦い」をクリアしよう,0,12500,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,チャレンジクエスト「魔都防衛隊」をクリアしよう,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
,"高難易度「スレイブと組長
」をクリアしよう",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,ファントムを10体撃破しよう,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
,ファントムを20体撃破しよう,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0
,ファントムを30体撃破しよう,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
,ファントムを40体撃破しよう,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0
,ファントムを50体撃破しよう,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
,ファントムを100体撃破しよう,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,
,報酬合計数,100,25000,3,3,5,15,2,200,0,0,200,0,175,175,850,850
