ENABLE,id,mst_page_id,row,height,koma_line_layout_asset_key,koma1_asset_key,koma1_width,koma1_back_ground_offset,koma1_effect_type,koma1_effect_parameter1,koma1_effect_parameter2,koma1_effect_target_side,koma1_effect_target_colors,koma1_effect_target_roles,koma2_asset_key,koma2_width,koma2_back_ground_offset,koma2_effect_type,koma2_effect_parameter1,koma2_effect_parameter2,koma2_effect_target_side,koma2_effect_target_colors,koma2_effect_target_roles,koma3_asset_key,koma3_width,koma3_back_ground_offset,koma3_effect_type,koma3_effect_parameter1,koma3_effect_parameter2,koma3_effect_target_side,koma3_effect_target_colors,koma3_effect_target_roles,koma4_asset_key,koma4_width,koma4_back_ground_offset,koma4_effect_type,koma4_effect_parameter1,koma4_effect_parameter2,koma4_effect_target_side,koma4_effect_target_colors,koma4_effect_target_roles,release_key
e,event_spy1_challenge01_00005_1,event_spy1_challenge01_00005,1,1,koma_line_layout_03,spy_00001,0.4,0,AttackPowerUp,20,,Player,,,spy_00001,0.6,0.02,None,,,,,,,,,,,,,,,,,,,,,,,,999999999
e,event_spy1_challenge01_00005_2,event_spy1_challenge01_00005,2,1,koma_line_layout_01,spy_00001,1.0,1.0,AttackPowerDown,20,,Enemy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999999999
e,event_spy1_challenge02_00001_1,event_spy1_challenge02_00001,1,1,koma_line_layout_03,spy_00001,0.4,0,AttackPowerUp,30,,Player,,,spy_00001,0.6,0.02,None,,,,,,,,,,,,,,,,,,,,,,,,999999999
e,event_spy1_challenge02_00001_2,event_spy1_challenge02_00001,2,1,koma_line_layout_01,spy_00001,1.0,1.0,AttackPowerDown,30,,Enemy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999999999
e,event_spy1_challenge02_00001_3,event_spy1_challenge02_00001,3,1,koma_line_layout_03,spy_00001,0.4,-1.0,None,,,,,,spy_00001,0.6,-1.02,AttackPowerUp,30,,Player,,,,,,,,,,,,,,,,,,,,,999999999
e,event_spy1_challenge03_00001_1,event_spy1_challenge03_00001,1,1,koma_line_layout_01,spy_00001,1.0,0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999999999
e,event_aka1_challenge01_00001_1,event_aka1_challenge01_00001,1,1,koma_line_layout_03,aka_00001,0.4,0,AttackPowerUp,20,,Player,,,aka_00001,0.6,0.02,None,,,,,,,,,,,,,,,,,,,,,,,,999999999
e,event_aka1_challenge01_00001_2,event_aka1_challenge01_00001,2,1,koma_line_layout_01,aka_00001,1.0,1.0,AttackPowerDown,20,,Enemy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999999999
e,event_aka1_challenge02_00001_1,event_aka1_challenge02_00001,1,1,koma_line_layout_03,aka_00001,0.4,0,AttackPowerUp,30,,Player,,,aka_00001,0.6,0.02,None,,,,,,,,,,,,,,,,,,,,,,,,999999999
e,event_aka1_challenge02_00001_2,event_aka1_challenge02_00001,2,1,koma_line_layout_01,aka_00001,1.0,1.0,AttackPowerDown,30,,Enemy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999999999
e,event_aka1_challenge02_00001_3,event_aka1_challenge02_00001,3,1,koma_line_layout_03,aka_00001,0.4,-1.0,None,,,,,,aka_00001,0.6,-1.02,AttackPowerUp,30,,Player,,,,,,,,,,,,,,,,,,,,,999999999
e,event_aka1_challenge03_00001_1,event_aka1_challenge03_00001,1,1,koma_line_layout_01,aka_00001,1.0,0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999999999
e,event_rik1_challenge01_00001_1,event_rik1_challenge01_00001,1,1,koma_line_layout_03,rik_00001,0.4,0,AttackPowerUp,20,,Player,,,rik_00001,0.6,0.02,None,,,,,,,,,,,,,,,,,,,,,,,,999999999
e,event_rik1_challenge01_00001_2,event_rik1_challenge01_00001,2,1,koma_line_layout_01,rik_00001,1.0,1.0,AttackPowerDown,20,,Enemy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999999999
e,event_rik1_challenge02_00001_1,event_rik1_challenge02_00001,1,1,koma_line_layout_03,rik_00001,0.4,0,AttackPowerUp,30,,Player,,,rik_00001,0.6,0.02,None,,,,,,,,,,,,,,,,,,,,,,,,999999999
e,event_rik1_challenge02_00001_2,event_rik1_challenge02_00001,2,1,koma_line_layout_01,rik_00001,1.0,1.0,AttackPowerDown,30,,Enemy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999999999
e,event_rik1_challenge02_00001_3,event_rik1_challenge02_00001,3,1,koma_line_layout_03,rik_00001,0.4,-1.0,None,,,,,,rik_00001,0.6,-1.02,AttackPowerUp,30,,Player,,,,,,,,,,,,,,,,,,,,,999999999
e,event_rik1_challenge03_00001_1,event_rik1_challenge03_00001,1,1,koma_line_layout_01,rik_00001,1.0,0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999999999
e,event_dan1_challenge01_00001_1,event_dan1_challenge01_00001,1,1,koma_line_layout_03,dan_00001,0.4,0,AttackPowerUp,20,,Player,,,dan_00001,0.6,0.02,None,,,,,,,,,,,,,,,,,,,,,,,,999999999
