ENABLE,release_key,id,unit_encyclopedia_rank,resource_type,resource_id,resource_amount
e,202509010,unit_encyclopedia_reward_rank_5,5,Item,ticket_glo_90000,5
e,202509010,unit_encyclopedia_reward_rank_10,10,Item,ticket_glo_90000,5
e,202509010,unit_encyclopedia_reward_rank_15,15,Item,ticket_glo_90000,5
e,202509010,unit_encyclopedia_reward_rank_20,20,Item,ticket_glo_90000,5
e,202509010,unit_encyclopedia_reward_rank_25,25,Item,ticket_glo_90000,5
e,202509010,unit_encyclopedia_reward_rank_30,30,Item,ticket_glo_90000,5
e,202509010,unit_encyclopedia_reward_rank_35,35,Item,ticket_glo_90000,5
e,202509010,unit_encyclopedia_reward_rank_40,40,Item,ticket_glo_90000,5
e,202509010,unit_encyclopedia_reward_rank_45,45,Item,ticket_glo_90000,5
e,202509010,unit_encyclopedia_reward_rank_50,50,Item,ticket_glo_90000,10
e,202509010,unit_encyclopedia_reward_rank_55,55,Item,ticket_glo_90000,5
e,202509010,unit_encyclopedia_reward_rank_60,60,Item,ticket_glo_90000,5
e,202509010,unit_encyclopedia_reward_rank_65,65,Item,ticket_glo_90000,5
e,202509010,unit_encyclopedia_reward_rank_70,70,Item,ticket_glo_90000,5
e,202509010,unit_encyclopedia_reward_rank_75,75,Item,ticket_glo_90000,10
e,202509010,unit_encyclopedia_reward_rank_80,80,Item,ticket_glo_90000,5
e,202509010,unit_encyclopedia_reward_rank_85,85,Item,ticket_glo_90000,5
e,202509010,unit_encyclopedia_reward_rank_90,90,Item,ticket_glo_90000,5
e,202509010,unit_encyclopedia_reward_rank_95,95,Item,ticket_glo_90000,5
e,202509010,unit_encyclopedia_reward_rank_100,100,Item,ticket_glo_90000,10
e,202509010,unit_encyclopedia_reward_rank_125,125,Item,ticket_glo_90000,5
e,202509010,unit_encyclopedia_reward_rank_150,150,Item,ticket_glo_90000,5
e,202509010,unit_encyclopedia_reward_rank_175,175,Item,ticket_glo_90000,5
e,202509010,unit_encyclopedia_reward_rank_200,200,Item,ticket_glo_90000,5
e,202509010,unit_encyclopedia_reward_rank_225,225,Item,ticket_glo_90000,10
e,202509010,unit_encyclopedia_reward_rank_250,250,Item,ticket_glo_90000,5
e,202509010,unit_encyclopedia_reward_rank_275,275,Item,ticket_glo_90000,5
e,202509010,unit_encyclopedia_reward_rank_300,300,Item,ticket_glo_90000,10
e,202509010,unit_encyclopedia_reward_rank_325,325,Item,ticket_glo_90000,5
e,202509010,unit_encyclopedia_reward_rank_350,350,Item,ticket_glo_90000,5
e,202509010,unit_encyclopedia_reward_rank_375,375,Item,ticket_glo_90000,10
e,202509010,unit_encyclopedia_reward_rank_400,400,Item,ticket_glo_90000,5
e,202509010,unit_encyclopedia_reward_rank_425,425,Item,ticket_glo_90000,5
e,202509010,unit_encyclopedia_reward_rank_450,450,Item,ticket_glo_90000,10
e,202509010,unit_encyclopedia_reward_rank_475,475,Item,ticket_glo_90000,5
e,202509010,unit_encyclopedia_reward_rank_500,500,Item,ticket_glo_90000,5
e,202509010,unit_encyclopedia_reward_rank_600,600,Item,ticket_glo_90000,10
e,202509010,unit_encyclopedia_reward_rank_700,700,Item,ticket_glo_90000,5
e,202509010,unit_encyclopedia_reward_rank_800,800,Item,ticket_glo_90000,5
e,202509010,unit_encyclopedia_reward_rank_900,900,Item,ticket_glo_90000,5
e,202509010,unit_encyclopedia_reward_rank_1000,1000,Item,ticket_glo_90000,10
e,202509010,unit_encyclopedia_reward_rank_1100,1100,Item,ticket_glo_90000,10
e,202509010,unit_encyclopedia_reward_rank_1200,1200,Item,ticket_glo_90000,10
e,202509010,unit_encyclopedia_reward_rank_1300,1300,Item,ticket_glo_90000,10
