ENABLE,id,destination,destination_path,asset_key,start_at,end_at,sort_order,release_key
e,1,Event,event_kai_00001,hometop_event_kai_00001,2025-09-22 11:00:00,2025-10-06 11:59:59,6,202509010
e,2,Gacha,Pickup_kai_001,hometop_gacha_kai_00001,2025-09-22 11:00:00,2025-10-06 11:59:59,5,202509010
e,3,Pack,"",hometop_shop_pack_00001,2025-09-22 11:00:00,2034-01-01 00:00:00,4,202509010
e,4,Pack,"",hometop_shop_pack_00002,2025-09-22 11:00:00,2034-01-01 00:00:00,3,202509010
e,6,Pvp,"",hometop_pvp_00001,2024-01-01 00:00:00,2030-01-02 00:00:00,1,202509010
e,7,Event,event_spy_00001,hometop_event_spy_00001,2025-10-06 15:00:00,2025-10-22 14:59:59,6,202510010
e,8,Gacha,Pickup_spy_001,hometop_gacha_spy_00001,2025-10-06 15:00:00,2025-10-22 14:59:59,5,202510010
e,9,Gacha,Pickup_spy_002,hometop_gacha_spy_00002,2025-10-06 15:00:00,2025-10-22 14:59:59,5,202510010
e,10,Event,event_dan_00001,hometop_event_dan_00001,2025-10-22 15:00:00,2025-11-06 14:59:59,6,202510020
e,11,Gacha,Pickup_dan_001,hometop_gacha_dan_00001,2025-10-22 15:00:00,2025-11-06 14:59:59,5,202510020
e,12,Gacha,Pickup_dan_002,hometop_gacha_dan_00002,2025-10-22 15:00:00,2025-11-06 14:59:59,5,202510020
e,13,Web,https://survey.bandainamcoent.co.jp/jfe/form/SV_eXtadyJ4LcMCpBs,hometop_user_questionnaire_00001,2025-10-06 15:00:00,2025-10-20 23:59:59,10,202510010
e,14,Event,event_mag_00001,hometop_event_mag_00001,2025-11-06 15:00:00,2025-11-25 14:59:59,6,202511010
e,15,Gacha,Pickup_mag_001,hometop_gacha_mag_00001,2025-11-06 15:00:00,2025-11-25 14:59:59,5,202511010
e,16,Gacha,Pickup_mag_002,hometop_gacha_mag_00002,2025-11-06 15:00:00,2025-11-25 14:59:59,5,202511010
e,17,Event,event_yuw_00001,hometop_event_yuw_00001,2025-11-25 15:00:00,2025-12-08 14:59:59,7,202511020
e,18,Gacha,Pickup_yuw_001,hometop_gacha_yuw_00001,2025-11-25 15:00:00,2025-12-08 14:59:59,6,202511020
e,19,Gacha,Pickup_yuw_002,hometop_gacha_yuw_00002,2025-11-25 15:00:00,2025-12-08 14:59:59,5,202511020
e,17,Event,event_sur_00001,hometop_event_sur_00001,2025-12-08 15:00:00,2025-12-31 23:59:59,7,202512010
e,18,Gacha,Pickup_sur_001,hometop_gacha_sur_00001,2025-12-08 15:00:00,2025-12-31 23:59:59,6,202512010
e,19,Gacha,Pickup_sur_002,hometop_gacha_sur_00002,2025-12-08 15:00:00,2025-12-31 23:59:59,5,202512010
e,20,Gacha,Fest_Xmas_001,hometop_gacha_glo_00001,2025-12-22 15:00:00,2025-12-31 23:59:59,10,202512015
e,21,Pack,"",hometop_shop_pack_00016,2025-12-22 15:00:00,2025-12-26 14:59:59,9,202512015
e,22,CreditShop,"",hometop_campaign_00003,2025-12-26 15:00:00,2025-12-31 23:59:59,8,202512015
e,26,Event,event_osh_00001,hometop_event_osh_00001,2026-01-01 00:00:00,2026-01-16 10:59:59,7,202512020
e,27,Gacha,Fest_osh_001,hometop_gacha_glo_00002,2026-01-01 00:00:00,2026-02-02 10:59:59,6,202512020
e,28,Gacha,Pickup_osh_001,hometop_gacha_osh_00001,2026-01-01 00:00:00,2026-01-16 10:59:59,6,202512020
e,29,Pack,"",hometop_shop_pack_00018,2026-01-01 00:00:00,2026-01-15 10:59:59,5,202512020
e,30,CreditShop,"",hometop_campaign_00004,2026-01-01 00:00:00,2026-01-15 10:59:59,5,202512020
