memo
TABLE,MstExchangeReward,MstExchangeReward,MstExchangeReward,MstExchangeReward,MstExchangeReward,MstExchangeReward,MstExchangeReward
ENABLE,id,mst_exchange_lineup_id,resource_type,resource_id,resource_amount,release_key
e,event_kim_00001_01_lineup_00001,event_kim_00001_01_lineup_00001,FreeDiamond,,30,202601101
e,event_kim_00001_01_lineup_00002,event_kim_00001_01_lineup_00002,FreeDiamond,,50,202601101
e,event_kim_00001_01_lineup_00003,event_kim_00001_01_lineup_00003,Item,piece_kim_00101,2,202601101
e,event_kim_00001_01_lineup_00004,event_kim_00001_01_lineup_00004,Item,piece_kim_00101,2,202601101
e,event_kim_00001_01_lineup_00005,event_kim_00001_01_lineup_00005,Item,piece_kim_00201,2,202601101
e,event_kim_00001_01_lineup_00006,event_kim_00001_01_lineup_00006,Item,piece_kim_00201,2,202601101
e,event_kim_00001_01_lineup_00007,event_kim_00001_01_lineup_00007,Item,piece_kim_00301,2,202601101
e,event_kim_00001_01_lineup_00008,event_kim_00001_01_lineup_00008,Item,piece_kim_00301,2,202601101
e,event_kim_00001_01_lineup_00009,event_kim_00001_01_lineup_00009,Emblem,emblem_event_kim_00002,1,202601101
e,event_kim_00001_01_lineup_00010,event_kim_00001_01_lineup_00010,Emblem,emblem_event_kim_00003,1,202601101
e,event_kim_00001_01_lineup_00011,event_kim_00001_01_lineup_00011,Emblem,emblem_event_kim_00004,1,202601101
e,event_kim_00001_01_lineup_00012,event_kim_00001_01_lineup_00012,Emblem,emblem_event_kim_00005,1,202601101
e,event_kim_00001_01_lineup_00013,event_kim_00001_01_lineup_00013,Item,ticket_glo_00002,1,202601101
e,event_kim_00001_01_lineup_00014,event_kim_00001_01_lineup_00014,Item,ticket_glo_00003,1,202601101
e,event_kim_00001_01_lineup_00015,event_kim_00001_01_lineup_00015,Item,memoryfragment_glo_00001,1,202601101
e,event_kim_00001_01_lineup_00016,event_kim_00001_01_lineup_00016,Item,memoryfragment_glo_00002,1,202601101
e,event_kim_00001_01_lineup_00017,event_kim_00001_01_lineup_00017,Item,memoryfragment_glo_00003,1,202601101
e,event_kim_00001_01_lineup_00018,event_kim_00001_01_lineup_00018,Item,memory_glo_00001,50,202601101
e,event_kim_00001_01_lineup_00019,event_kim_00001_01_lineup_00019,Item,memory_glo_00002,50,202601101
e,event_kim_00001_01_lineup_00020,event_kim_00001_01_lineup_00020,Item,memory_glo_00005,50,202601101
e,event_kim_00001_01_lineup_00021,event_kim_00001_01_lineup_00021,Item,memory_glo_00004,50,202601101
e,event_kim_00001_01_lineup_00022,event_kim_00001_01_lineup_00022,Item,memory_glo_00003,50,202601101
e,event_kim_00001_01_lineup_00023,event_kim_00001_01_lineup_00023,Coin,,100,202601101
