memo
TABLE,MstExchangeLineup,MstExchangeLineup,MstExchangeLineup,MstExchangeLineup,MstExchangeLineup,MstExchangeLineup
ENABLE,id,group_id,tradable_count,display_order,release_key
e,event_kim_00001_01_lineup_00001,event_kim_00001_01_lineup,1,1,202601101
e,event_kim_00001_01_lineup_00002,event_kim_00001_01_lineup,14,2,202601101
e,event_kim_00001_01_lineup_00003,event_kim_00001_01_lineup,10,3,202601101
e,event_kim_00001_01_lineup_00004,event_kim_00001_01_lineup,10,4,202601101
e,event_kim_00001_01_lineup_00005,event_kim_00001_01_lineup,10,5,202601101
e,event_kim_00001_01_lineup_00006,event_kim_00001_01_lineup,10,6,202601101
e,event_kim_00001_01_lineup_00007,event_kim_00001_01_lineup,10,7,202601101
e,event_kim_00001_01_lineup_00008,event_kim_00001_01_lineup,10,8,202601101
e,event_kim_00001_01_lineup_00009,event_kim_00001_01_lineup,1,9,202601101
e,event_kim_00001_01_lineup_00010,event_kim_00001_01_lineup,1,10,202601101
e,event_kim_00001_01_lineup_00011,event_kim_00001_01_lineup,1,11,202601101
e,event_kim_00001_01_lineup_00012,event_kim_00001_01_lineup,1,12,202601101
e,event_kim_00001_01_lineup_00013,event_kim_00001_01_lineup,3,13,202601101
e,event_kim_00001_01_lineup_00014,event_kim_00001_01_lineup,3,14,202601101
e,event_kim_00001_01_lineup_00015,event_kim_00001_01_lineup,100,15,202601101
e,event_kim_00001_01_lineup_00016,event_kim_00001_01_lineup,50,16,202601101
e,event_kim_00001_01_lineup_00017,event_kim_00001_01_lineup,10,17,202601101
e,event_kim_00001_01_lineup_00018,event_kim_00001_01_lineup,10,18,202601101
e,event_kim_00001_01_lineup_00019,event_kim_00001_01_lineup,10,19,202601101
e,event_kim_00001_01_lineup_00020,event_kim_00001_01_lineup,10,20,202601101
e,event_kim_00001_01_lineup_00021,event_kim_00001_01_lineup,10,21,202601101
e,event_kim_00001_01_lineup_00022,event_kim_00001_01_lineup,10,22,202601101
e,event_kim_00001_01_lineup_00023,event_kim_00001_01_lineup,1000,23,202601101
