,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,■基礎設計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,■シミュレーション,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,検索用,,,,,,,,,,,,,,,,,,,,,,,
,特筆事項,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,実装日,,,,,,,,,,,,Lv,,基礎HP,基礎ATK,Rnk込星1HP,Rnk込星1ATK,星2HP,星3HP,星4HP,星5HP,星6HP,星7HP,星8HP,星9HP,星10HP,星2ATK,星3ATK,星4ATK,星5ATK,星6ATK,星7ATK,星8ATK,星9ATK,星10ATK
,"・キャラコンセプト
　└範囲デバフ最強キャラ + 必殺ワザ短縮を所持している唯一性能
　年始最初の目玉商品として、ショップ関連商材との噛み合わせとガチャの売上最大化を意識。
　具体的な仕掛けの一部として「グレード3」まで凸をした場合に、アイをより快適に強く、運用できるようになる性能設計。
　(性能重視でキャラを引いてくれている課金意欲の高いユーザー向け。※3凸しないと使えない調整ではなく、3凸したくなるような調整)
　例：1体目はガチャで獲得。その後、「お正月 DXお得パック松」に付いている「選べるURキャラのかけらBOX50個」で、更に凸を進める。
　　その後、ガチャorその他パックで、もう1凸だけ頑張れば「自身+3秒短縮」の追加効果で更に強くなる獲得欲に刺さるような意図。

・コスト
　└高コスト：900
　※コスト加算値内訳        
　特性
　└15：スタン攻撃無効化
　└10：突風コマ無効化
　└10：ダメージコマ無効化

　必殺ワザ
　└10：攻撃(必殺)
　└10：攻撃力Down
　└45：必殺ワザ短縮
　 →合計加算値：100 (高コスト下限値800 + 100)

・特性
　└スタン攻撃無効化：スタン環境アンチ
　└突風コマ無効化：コマ範囲系の必殺ワザと噛み合わせ「◎」
　└ダメージコマ無効化：耐久力UP

・必殺ワザ
　└攻撃DOWN：天花の攻撃DOWN版のイメージ
　└必殺ワザ短縮：完凸時18秒短縮(3回目から30秒に1回必殺ワザ発動可能)。
　　グレード3から追加効果「自身の必殺ワザクールタイム3秒短縮」。グレード5で「自身の必殺ワザクールタイム5秒短縮」
　※2回目以降CT最大キャラ：コスプレに託す乙女心 橘 美花莉(35秒)。短縮後CT：17(秒)。短縮割合：51.4%。(アイ必殺ワザフレーム+手動ロス1秒込みでの体感短縮割合:64.0%)

・特殊調整点
　└初回必殺ワザCT、2回目以降CT：テクニカルキャラの中で最大に重い調整。
　└攻撃DOWN：現環境でも攻撃DOWNが輝くように効果値関連を再調整&アイ専用に若干強化して整合性が取れる形でバランスを最適化。※以降、攻撃DOWNアンチ特性があると◯。
　└その他：Fes_URキャラとして強さ(売り)をより強調するため、体力、攻撃力を2割程度強化etc

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-01 0:00:00,,,,,,,,,,,,1,,2160,3520,2160,3520,2548,2786,2894,2980,2980,2980,2980,2980,2980,4153,4540,4716,4857,4857,4857,4857,4857,4857
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,デプロイ,,,,,,,,,,,,※少数切り上げ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,【推しの子】いいジャン祭,,,,,,,,,,,,Lv,Rnk,基礎HP,基礎ATK,Rnk込星1HP,Rnk込星1ATK,星2HP,星3HP,星4HP,星5HP,星6HP,星7HP,星8HP,星9HP,星10HP,星2ATK,星3ATK,星4ATK,星5ATK,星6ATK,星7ATK,星8ATK,星9ATK,星10ATK
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,基礎情報,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,消さないで,,,,,1,0,2160,3520,2160,3520,2548,2786,2894,2980,2980,2980,2980,2980,2980,4153,4540,4716,4857,4857,4857,4857,4857,4857
,キャラ_ID,,,,キャラクター名,,,,,,,,作品名,,,,,,,,,,,,,,,,,,,,,,,,,,,,#N/A,,,,,2,0,2239,3648,2239,3648,2642,2888,3000,3089,3089,3089,3089,3089,3089,4304,4705,4888,5034,5034,5034,5034,5034,5034
,chara_osh_00001,,,,B小町不動のセンター アイ,,,,,,,,【推しの子】,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,2329,3796,2329,3796,2748,3004,3120,3214,3214,3214,3214,3214,3214,4479,4896,5086,5238,5238,5238,5238,5238,5238
