,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
グレード倍率,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
必殺ワザ,攻撃範囲,グレード,効果種別,DropR,DropSR,DropSSR,PremiumR,PremiumSR,PremiumSSR,PremiumUR,FestivalUR,攻撃範囲,グレード,効果種別,DropR,DropSR,DropSSR,PremiumR,PremiumSR,PremiumSSR,PremiumUR,FestivalUR,攻撃範囲,グレード,効果種別,DropR,DropSR,DropSSR,PremiumR,PremiumSR,PremiumSSR,PremiumUR,FestivalUR,攻撃範囲,グレード,効果種別,DropR,DropSR,DropSSR,PremiumR,PremiumSR,PremiumSSR,PremiumUR,FestivalUR,攻撃範囲,グレード,効果種別,DropR,DropSR,DropSSR,PremiumR,PremiumSR,PremiumSSR,PremiumUR,FestivalUR,攻撃範囲,グレード,効果種別,DropR,DropSR,DropSSR,PremiumR,PremiumSR,PremiumSSR,PremiumUR,FestivalUR
攻撃(必殺),単体,1,効果値,105,109,113,116,120,130,150,150,範囲(小),1,効果値,79,82,84,87,90,98,113,113,範囲(中),1,効果値,68,71,73,76,78,85,98,98,範囲(大),1,効果値,58,60,62,64,66,72,83,83,範囲(特大),1,効果値,53,54,56,58,60,65,75,75,範囲(小：威力減),1,効果値,53,54,56,58,60,65,75,75
攻撃(必殺),単体,2,効果値,123,126,129,133,136,150,170,172,範囲(小),2,効果値,92,95,97,100,102,112,127,129,範囲(中),2,効果値,80,82,84,86,88,97,110,112,範囲(大),2,効果値,68,69,71,73,75,82,93,95,範囲(特大),2,効果値,61,63,65,66,68,75,85,86,範囲(小：威力減),2,効果値,61,63,65,66,68,75,85,86
攻撃(必殺),単体,3,効果値,135,138,141,144,147,163,183,187,範囲(小),3,効果値,101,103,106,108,110,122,137,140,範囲(中),3,効果値,88,90,91,93,95,106,119,121,範囲(大),3,効果値,74,76,77,79,81,90,101,103,範囲(特大),3,効果値,67,69,70,72,73,82,92,93,範囲(小：威力減),3,効果値,67,69,70,72,73,82,92,93
攻撃(必殺),単体,4,効果値,144,147,149,152,155,173,193,198,範囲(小),4,効果値,108,110,112,114,116,130,145,148,範囲(中),4,効果値,94,95,97,99,101,113,126,128,範囲(大),4,効果値,79,81,82,84,85,95,106,109,範囲(特大),4,効果値,72,73,75,76,77,87,97,99,範囲(小：威力減),4,効果値,72,73,75,76,77,87,97,99
攻撃(必殺),単体,5,効果値,150,153,155,158,160,180,200,205,範囲(小),5,効果値,113,114,116,118,120,135,150,154,範囲(中),5,効果値,98,99,101,102,104,117,130,133,範囲(大),5,効果値,83,84,85,87,88,99,110,113,範囲(特大),5,効果値,75,76,78,79,80,90,100,103,範囲(小：威力減),5,効果値,75,76,78,79,80,90,100,103
キラー攻撃,単体,1,効果値,105,105,105,105,105,110,120,120,範囲(小),1,効果値,79,79,79,79,79,83,90,90,範囲(中),1,効果値,68,68,68,68,68,72,78,78,範囲(大),1,効果値,58,58,58,58,58,61,66,66,範囲(特大),1,効果値,53,53,53,53,53,55,60,60,範囲(小：威力減),1,効果値,53,53,53,53,53,55,60,60
キラー攻撃,単体,2,効果値,110,112,114,116,118,125,139,141,範囲(小),2,効果値,83,84,86,87,89,94,104,106,範囲(中),2,効果値,72,73,74,75,77,81,90,92,範囲(大),2,効果値,61,62,63,64,65,69,76,78,範囲(特大),2,効果値,55,56,57,58,59,63,70,71,範囲(小：威力減),2,効果値,55,56,57,58,59,63,70,71
キラー攻撃,単体,3,効果値,114,118,121,124,128,136,153,156,範囲(小),3,効果値,86,89,91,93,96,102,115,117,範囲(中),3,効果値,74,77,79,81,83,88,99,101,範囲(大),3,効果値,63,65,67,68,70,75,84,86,範囲(特大),3,効果値,57,59,61,62,64,68,77,78,範囲(小：威力減),3,効果値,57,59,61,62,64,68,77,78
キラー攻撃,単体,4,効果値,117,122,126,130,135,144,163,167,範囲(小),4,効果値,88,92,95,98,101,108,122,125,範囲(中),4,効果値,76,79,82,85,88,94,106,109,範囲(大),4,効果値,64,67,69,72,74,79,90,92,範囲(特大),4,効果値,59,61,63,65,68,72,82,84,範囲(小：威力減),4,効果値,59,61,63,65,68,72,82,84
キラー攻撃,単体,5,効果値,120,125,130,135,140,150,170,175,範囲(小),5,効果値,90,94,98,101,105,113,128,131,範囲(中),5,効果値,78,81,85,88,91,98,111,114,範囲(大),5,効果値,66,69,72,74,77,83,94,96,範囲(特大),5,効果値,60,63,65,68,70,75,85,88,範囲(小：威力減),5,効果値,60,63,65,68,70,75,85,88
キラー攻撃(赤),単体,1,効果値,105,105,105,105,105,110,120,120,範囲(小),1,効果値,79,79,79,79,79,83,90,90,範囲(中),1,効果値,68,68,68,68,68,72,78,78,範囲(大),1,効果値,58,58,58,58,58,61,66,66,範囲(特大),1,効果値,53,53,53,53,53,55,60,60,範囲(小：威力減),1,効果値,53,53,53,53,53,55,60,60
キラー攻撃(赤),単体,2,効果値,110,112,114,116,118,125,139,141,範囲(小),2,効果値,83,84,86,87,89,94,104,106,範囲(中),2,効果値,72,73,74,75,77,81,90,92,範囲(大),2,効果値,61,62,63,64,65,69,76,78,範囲(特大),2,効果値,55,56,57,58,59,63,70,71,範囲(小：威力減),2,効果値,55,56,57,58,59,63,70,71
キラー攻撃(赤),単体,3,効果値,114,118,121,124,128,136,153,156,範囲(小),3,効果値,86,89,91,93,96,102,115,117,範囲(中),3,効果値,74,77,79,81,83,88,99,101,範囲(大),3,効果値,63,65,67,68,70,75,84,86,範囲(特大),3,効果値,57,59,61,62,64,68,77,78,範囲(小：威力減),3,効果値,57,59,61,62,64,68,77,78
キラー攻撃(赤),単体,4,効果値,117,122,126,130,135,144,163,167,範囲(小),4,効果値,88,92,95,98,101,108,122,125,範囲(中),4,効果値,76,79,82,85,88,94,106,109,範囲(大),4,効果値,64,67,69,72,74,79,90,92,範囲(特大),4,効果値,59,61,63,65,68,72,82,84,範囲(小：威力減),4,効果値,59,61,63,65,68,72,82,84
キラー攻撃(赤),単体,5,効果値,120,125,130,135,140,150,170,175,範囲(小),5,効果値,90,94,98,101,105,113,128,131,範囲(中),5,効果値,78,81,85,88,91,98,111,114,範囲(大),5,効果値,66,69,72,74,77,83,94,96,範囲(特大),5,効果値,60,63,65,68,70,75,85,88,範囲(小：威力減),5,効果値,60,63,65,68,70,75,85,88
キラー攻撃(青),単体,1,効果値,105,105,105,105,105,110,120,120,範囲(小),1,効果値,79,79,79,79,79,83,90,90,範囲(中),1,効果値,68,68,68,68,68,72,78,78,範囲(大),1,効果値,58,58,58,58,58,61,66,66,範囲(特大),1,効果値,53,53,53,53,53,55,60,60,範囲(小：威力減),1,効果値,53,53,53,53,53,55,60,60
キラー攻撃(青),単体,2,効果値,110,112,114,116,118,125,139,141,範囲(小),2,効果値,83,84,86,87,89,94,104,106,範囲(中),2,効果値,72,73,74,75,77,81,90,92,範囲(大),2,効果値,61,62,63,64,65,69,76,78,範囲(特大),2,効果値,55,56,57,58,59,63,70,71,範囲(小：威力減),2,効果値,55,56,57,58,59,63,70,71
キラー攻撃(青),単体,3,効果値,114,118,121,124,128,136,153,156,範囲(小),3,効果値,86,89,91,93,96,102,115,117,範囲(中),3,効果値,74,77,79,81,83,88,99,101,範囲(大),3,効果値,63,65,67,68,70,75,84,86,範囲(特大),3,効果値,57,59,61,62,64,68,77,78,範囲(小：威力減),3,効果値,57,59,61,62,64,68,77,78
キラー攻撃(青),単体,4,効果値,117,122,126,130,135,144,163,167,範囲(小),4,効果値,88,92,95,98,101,108,122,125,範囲(中),4,効果値,76,79,82,85,88,94,106,109,範囲(大),4,効果値,64,67,69,72,74,79,90,92,範囲(特大),4,効果値,59,61,63,65,68,72,82,84,範囲(小：威力減),4,効果値,59,61,63,65,68,72,82,84
キラー攻撃(青),単体,5,効果値,120,125,130,135,140,150,170,175,範囲(小),5,効果値,90,94,98,101,105,113,128,131,範囲(中),5,効果値,78,81,85,88,91,98,111,114,範囲(大),5,効果値,66,69,72,74,77,83,94,96,範囲(特大),5,効果値,60,63,65,68,70,75,85,88,範囲(小：威力減),5,効果値,60,63,65,68,70,75,85,88
キラー攻撃(緑),単体,1,効果値,105,105,105,105,105,110,120,120,範囲(小),1,効果値,79,79,79,79,79,83,90,90,範囲(中),1,効果値,68,68,68,68,68,72,78,78,範囲(大),1,効果値,58,58,58,58,58,61,66,66,範囲(特大),1,効果値,53,53,53,53,53,55,60,60,範囲(小：威力減),1,効果値,53,53,53,53,53,55,60,60
キラー攻撃(緑),単体,2,効果値,110,112,114,116,118,125,139,141,範囲(小),2,効果値,83,84,86,87,89,94,104,106,範囲(中),2,効果値,72,73,74,75,77,81,90,92,範囲(大),2,効果値,61,62,63,64,65,69,76,78,範囲(特大),2,効果値,55,56,57,58,59,63,70,71,範囲(小：威力減),2,効果値,55,56,57,58,59,63,70,71
キラー攻撃(緑),単体,3,効果値,114,118,121,124,128,136,153,156,範囲(小),3,効果値,86,89,91,93,96,102,115,117,範囲(中),3,効果値,74,77,79,81,83,88,99,101,範囲(大),3,効果値,63,65,67,68,70,75,84,86,範囲(特大),3,効果値,57,59,61,62,64,68,77,78,範囲(小：威力減),3,効果値,57,59,61,62,64,68,77,78
キラー攻撃(緑),単体,4,効果値,117,122,126,130,135,144,163,167,範囲(小),4,効果値,88,92,95,98,101,108,122,125,範囲(中),4,効果値,76,79,82,85,88,94,106,109,範囲(大),4,効果値,64,67,69,72,74,79,90,92,範囲(特大),4,効果値,59,61,63,65,68,72,82,84,範囲(小：威力減),4,効果値,59,61,63,65,68,72,82,84
キラー攻撃(緑),単体,5,効果値,120,125,130,135,140,150,170,175,範囲(小),5,効果値,90,94,98,101,105,113,128,131,範囲(中),5,効果値,78,81,85,88,91,98,111,114,範囲(大),5,効果値,66,69,72,74,77,83,94,96,範囲(特大),5,効果値,60,63,65,68,70,75,85,88,範囲(小：威力減),5,効果値,60,63,65,68,70,75,85,88
キラー攻撃(黄),単体,1,効果値,105,105,105,105,105,110,120,120,範囲(小),1,効果値,79,79,79,79,79,83,90,90,範囲(中),1,効果値,68,68,68,68,68,72,78,78,範囲(大),1,効果値,58,58,58,58,58,61,66,66,範囲(特大),1,効果値,53,53,53,53,53,55,60,60,範囲(小：威力減),1,効果値,53,53,53,53,53,55,60,60
キラー攻撃(黄),単体,2,効果値,110,112,114,116,118,125,139,141,範囲(小),2,効果値,83,84,86,87,89,94,104,106,範囲(中),2,効果値,72,73,74,75,77,81,90,92,範囲(大),2,効果値,61,62,63,64,65,69,76,78,範囲(特大),2,効果値,55,56,57,58,59,63,70,71,範囲(小：威力減),2,効果値,55,56,57,58,59,63,70,71
キラー攻撃(黄),単体,3,効果値,114,118,121,124,128,136,153,156,範囲(小),3,効果値,86,89,91,93,96,102,115,117,範囲(中),3,効果値,74,77,79,81,83,88,99,101,範囲(大),3,効果値,63,65,67,68,70,75,84,86,範囲(特大),3,効果値,57,59,61,62,64,68,77,78,範囲(小：威力減),3,効果値,57,59,61,62,64,68,77,78
キラー攻撃(黄),単体,4,効果値,117,122,126,130,135,144,163,167,範囲(小),4,効果値,88,92,95,98,101,108,122,125,範囲(中),4,効果値,76,79,82,85,88,94,106,109,範囲(大),4,効果値,64,67,69,72,74,79,90,92,範囲(特大),4,効果値,59,61,63,65,68,72,82,84,範囲(小：威力減),4,効果値,59,61,63,65,68,72,82,84
キラー攻撃(黄),単体,5,効果値,120,125,130,135,140,150,170,175,範囲(小),5,効果値,90,94,98,101,105,113,128,131,範囲(中),5,効果値,78,81,85,88,91,98,111,114,範囲(大),5,効果値,66,69,72,74,77,83,94,96,範囲(特大),5,効果値,60,63,65,68,70,75,85,88,範囲(小：威力減),5,効果値,60,63,65,68,70,75,85,88
