ENABLE,id,release_key,mst_mission_event_daily_bonus_schedule_id,login_day_count,mst_mission_reward_group_id,sort_order,備考
e,event_yuw_00001_daily_bonus_1,202511020,event_yuw_00001_daily_bonus,1,event_yuw_00001_daily_bonus_1,1,ピックアップガシャチケット
e,event_yuw_00001_daily_bonus_2,202511020,event_yuw_00001_daily_bonus,2,event_yuw_00001_daily_bonus_2,1,コイン
e,event_yuw_00001_daily_bonus_3,202511020,event_yuw_00001_daily_bonus,3,event_yuw_00001_daily_bonus_3,1,プリズム
e,event_yuw_00001_daily_bonus_4,202511020,event_yuw_00001_daily_bonus,4,event_yuw_00001_daily_bonus_4,1,カラーメモリー・レッド
e,event_yuw_00001_daily_bonus_5,202511020,event_yuw_00001_daily_bonus,5,event_yuw_00001_daily_bonus_5,1,カラーメモリー・ブルー
e,event_yuw_00001_daily_bonus_6,202511020,event_yuw_00001_daily_bonus,6,event_yuw_00001_daily_bonus_6,1,メモリーフラグメント・初級
e,event_yuw_00001_daily_bonus_7,202511020,event_yuw_00001_daily_bonus,7,event_yuw_00001_daily_bonus_7,1,プリズム
e,event_yuw_00001_daily_bonus_8,202511020,event_yuw_00001_daily_bonus,8,event_yuw_00001_daily_bonus_8,1,スペシャルガシャチケット
e,event_yuw_00001_daily_bonus_9,202511020,event_yuw_00001_daily_bonus,9,event_yuw_00001_daily_bonus_9,1,メモリーフラグメント・中級
e,event_yuw_00001_daily_bonus_10,202511020,event_yuw_00001_daily_bonus,10,event_yuw_00001_daily_bonus_10,1,カラーメモリー・レッド
e,event_yuw_00001_daily_bonus_11,202511020,event_yuw_00001_daily_bonus,11,event_yuw_00001_daily_bonus_11,1,カラーメモリー・ブルー
e,event_yuw_00001_daily_bonus_12,202511020,event_yuw_00001_daily_bonus,12,event_yuw_00001_daily_bonus_12,1,スペシャルガシャチケット
e,event_yuw_00001_daily_bonus_13,202511020,event_yuw_00001_daily_bonus,13,event_yuw_00001_daily_bonus_13,1,ピックアップガシャチケット
