ENABLE,id,release_key,mst_box_gacha_id,box_level
e,box_gacha_test_group_1,202602010,box_gacha_test,1
e,box_gacha_kim_01_group_001,202602020,box_gacha_kim_01,1
e,box_gacha_kim_01_group_002,202602020,box_gacha_kim_01,2
e,box_gacha_kim_01_group_003,202602020,box_gacha_kim_01,3
e,box_gacha_kim_01_group_004,202602020,box_gacha_kim_01,4
e,box_gacha_kim_01_group_005,202602020,box_gacha_kim_01,5
e,box_gacha_kim_01_group_006,202602020,box_gacha_kim_01,6
e,box_gacha_kim_01_group_007,202602020,box_gacha_kim_01,7
e,box_gacha_kim_01_group_008,202602020,box_gacha_kim_01,8
e,box_gacha_kim_01_group_009,202602020,box_gacha_kim_01,9
e,box_gacha_kim_01_group_010,202602020,box_gacha_kim_01,10
e,box_gacha_kim_01_group_011,202602020,box_gacha_kim_01,11
