ENABLE,id,mst_dummy_user_id,language,name,release_key
e,1,bronze_0_user1,ja,リーダー0001,202509010
e,2,bronze_0_user2,ja,リーダー0002,202509010
e,3,bronze_0_user3,ja,リーダー0003,202509010
e,4,bronze_0_user4,ja,リーダー0004,202509010
e,5,bronze_0_user5,ja,リーダー0005,202509010
e,6,bronze_0_user6,ja,リーダー0006,202509010
e,7,bronze_1_user1,ja,リーダー0007,202509010
e,8,bronze_1_user2,ja,リーダー0008,202509010
e,9,bronze_1_user3,ja,リーダー0009,202509010
e,10,bronze_1_user4,ja,リーダー0010,202509010
e,11,bronze_1_user5,ja,リーダー0011,202509010
e,12,bronze_1_user6,ja,リーダー0012,202509010
e,13,bronze_2_user1,ja,リーダー0013,202509010
e,14,bronze_2_user2,ja,リーダー0014,202509010
e,15,bronze_2_user3,ja,リーダー0015,202509010
e,16,bronze_2_user4,ja,リーダー0016,202509010
e,17,bronze_2_user5,ja,リーダー0017,202509010
e,18,bronze_2_user6,ja,リーダー0018,202509010
e,19,bronze_3_user1,ja,リーダー0019,202509010
e,20,bronze_3_user2,ja,リーダー0020,202509010
e,21,bronze_3_user3,ja,リーダー0021,202509010
e,22,bronze_3_user4,ja,リーダー0022,202509010
e,23,bronze_3_user5,ja,リーダー0023,202509010
e,24,bronze_3_user6,ja,リーダー0024,202509010
e,25,bronze_4_user1,ja,リーダー0025,202509010
e,26,bronze_4_user2,ja,リーダー0026,202509010
e,27,bronze_4_user3,ja,リーダー0027,202509010
e,28,bronze_4_user4,ja,リーダー0028,202509010
e,29,bronze_4_user5,ja,リーダー0029,202509010
e,30,bronze_4_user6,ja,リーダー0030,202509010
e,31,Silver_1_user1,ja,リーダー0031,202509010
e,32,Silver_1_user2,ja,リーダー0032,202509010
e,33,Silver_1_user3,ja,リーダー0033,202509010
e,34,Silver_1_user4,ja,リーダー0034,202509010
e,35,Silver_1_user5,ja,リーダー0035,202509010
e,36,Silver_1_user6,ja,リーダー0036,202509010
e,37,Silver_2_user1,ja,リーダー0037,202509010
e,38,Silver_2_user2,ja,リーダー0038,202509010
e,39,Silver_2_user3,ja,リーダー0039,202509010
e,40,Silver_2_user4,ja,リーダー0040,202509010
e,41,Silver_2_user5,ja,リーダー0041,202509010
e,42,Silver_2_user6,ja,リーダー0042,202509010
e,43,Silver_3_user1,ja,リーダー0043,202509010
e,44,Silver_3_user2,ja,リーダー0044,202509010
e,45,Silver_3_user3,ja,リーダー0045,202509010
e,46,Silver_3_user4,ja,リーダー0046,202509010
e,47,Silver_3_user5,ja,リーダー0047,202509010
e,48,Silver_3_user6,ja,リーダー0048,202509010
e,49,Silver_4_user1,ja,リーダー0049,202509010
e,50,Silver_4_user2,ja,リーダー0050,202509010
e,51,Silver_4_user3,ja,リーダー0051,202509010
e,52,Silver_4_user4,ja,リーダー0052,202509010
e,53,Silver_4_user5,ja,リーダー0053,202509010
e,54,Silver_4_user6,ja,リーダー0054,202509010
e,55,Gold_1_user1,ja,リーダー0055,202509010
e,56,Gold_1_user2,ja,リーダー0056,202509010
e,57,Gold_1_user3,ja,リーダー0057,202509010
e,58,Gold_1_user4,ja,リーダー0058,202509010
e,59,Gold_1_user5,ja,リーダー0059,202509010
e,60,Gold_1_user6,ja,リーダー0060,202509010
e,61,Gold_2_user1,ja,リーダー0061,202509010
e,62,Gold_2_user2,ja,リーダー0062,202509010
e,63,Gold_2_user3,ja,リーダー0063,202509010
e,64,Gold_2_user4,ja,リーダー0064,202509010
e,65,Gold_2_user5,ja,リーダー0065,202509010
e,66,Gold_2_user6,ja,リーダー0066,202509010
e,67,Gold_3_user1,ja,リーダー0067,202509010
e,68,Gold_3_user2,ja,リーダー0068,202509010
e,69,Gold_3_user3,ja,リーダー0069,202509010
e,70,Gold_3_user4,ja,リーダー0070,202509010
e,71,Gold_3_user5,ja,リーダー0071,202509010
e,72,Gold_3_user6,ja,リーダー0072,202509010
e,73,Gold_4_user1,ja,リーダー0073,202509010
e,74,Gold_4_user2,ja,リーダー0074,202509010
e,75,Gold_4_user3,ja,リーダー0075,202509010
e,76,Gold_4_user4,ja,リーダー0076,202509010
e,77,Gold_4_user5,ja,リーダー0077,202509010
e,78,Gold_4_user6,ja,リーダー0078,202509010
e,79,Platinum_1_user1,ja,リーダー0079,202509010
e,80,Platinum_1_user2,ja,リーダー0080,202509010
e,81,Platinum_1_user3,ja,リーダー0081,202509010
e,82,Platinum_1_user4,ja,リーダー0082,202509010
e,83,Platinum_1_user5,ja,リーダー0083,202509010
e,84,Platinum_1_user6,ja,リーダー0084,202509010
e,85,Platinum_2_user1,ja,リーダー0085,202509010
e,86,Platinum_2_user2,ja,リーダー0086,202509010
e,87,Platinum_2_user3,ja,リーダー0087,202509010
e,88,Platinum_2_user4,ja,リーダー0088,202509010
e,89,Platinum_2_user5,ja,リーダー0089,202509010
e,90,Platinum_2_user6,ja,リーダー0090,202509010
e,91,Platinum_3_user1,ja,リーダー0091,202509010
e,92,Platinum_3_user2,ja,リーダー0092,202509010
e,93,Platinum_3_user3,ja,リーダー0093,202509010
e,94,Platinum_3_user4,ja,リーダー0094,202509010
e,95,Platinum_3_user5,ja,リーダー0095,202509010
e,96,Platinum_3_user6,ja,リーダー0096,202509010
e,97,Platinum_4_user1,ja,リーダー0097,202509010
e,98,Platinum_4_user2,ja,リーダー0098,202509010
e,99,Platinum_4_user3,ja,リーダー0099,202509010
e,100,Platinum_4_user4,ja,リーダー0100,202509010
e,101,Platinum_4_user5,ja,リーダー0101,202509010
e,102,Platinum_4_user6,ja,リーダー0102,202509010
