,04_ミッション,,,,
,,,,,
,◆いいジャン祭ミッション,,,,
,,,,,
,項目,内容,,,
,施策名称,【推しの子】いいジャン祭 特別ミッション,,,
,開催期間,1/1(木) 00:00,〜,2/2(月) 10:59,
,,,,,
,ミッション内容,プリズム,賀正ガシャチケット,スペシャルガシャチケット,
,ステージを5回クリアしよう,,2,,
,ステージを10回クリアしよう,,3,,
,ステージを15回クリアしよう,,3,,
,ステージを20回クリアしよう,,3,,
,ステージを30回クリアしよう,50,,,
,ステージを40回クリアしよう,,3,,
,ステージを50回クリアしよう,,3,,
,ステージを60回クリアしよう,50,,,
,ステージを70回クリアしよう,,3,,
,ステージを80回クリアしよう,,3,,
,ステージを90回クリアしよう,100,,,
,ステージを100回クリアしよう,,3,,
,ステージを110回クリアしよう,,3,,
,ステージを120回クリアしよう,,3,,
,ステージを150回クリアしよう,100,,,
,ステージを180回クリアしよう,,3,,
,ステージを190回クリアしよう,,3,,
,ステージを200回クリアしよう,100,,,
,ステージを210回クリアしよう,,3,,
,ステージを250回クリアしよう,100,,,
,ステージを300回クリアしよう,,3,,
,ステージを350回クリアしよう,100,,,
,ステージを400回クリアしよう,,3,,
,ステージを450回クリアしよう,150,,,
,ステージを500回クリアしよう,,3,,
,ステージを550回クリアしよう,150,,,
,ステージを600回クリアしよう,200,,,
,賀正ガシャ2026を10回引こう,,,1,
,賀正ガシャ2026を20回引こう,,,1,
,賀正ガシャ2026を30回引こう,,,1,
,賀正ガシャ2026を40回引こう,,,1,
,賀正ガシャ2026を50回引こう,200,,,
,,,,,
,,プリズム,賀正ガシャチケット,スペシャルガシャチケット,
,報酬合計数,"1,300",50,4,
,,,,,
,,,,,
,◆ぴえヨンミッション,,,,
,,,,,
,項目,内容,,,
,施策名称,ぴえヨン特別ブートミッション,,,
,開催期間,1/1(木) 00:00,〜,2/2(月) 10:59,
,,,,,
,ミッション内容,コイン,筋肉推し!エンブレム,,
,【汗が輝いてるよ!】ぴえヨンを編成に入れて「ファンと推し合戦！」を1回クリア,1000,,,連れ歩こう系ミッションもスタミナブーストが使えること確認
,【バルクきてるよ!】ぴえヨンを編成に入れて「ファンと推し合戦！」を3回クリア,1000,,,
,【仕上がってるよ!】ぴえヨンを編成に入れて「ファンと推し合戦！」を5回クリア,1000,,,
,【胸筋の登山始まってるよ!】収集クエスト「芸能界へ！」をクリアしよう,1000,,,
,【ナイスバルク!】ぴえヨンを編成に入れて「芸能界へ！」3話を5回クリア,500,,,
,【背中QRコードか!】ぴえヨンを編成に入れて「芸能界へ！」3話を10回クリア,500,,,
,【いい血管出てるよ!】ぴえヨンを編成に入れて「芸能界へ！」3話を30回クリア,500,,,
,【手羽先の完全究極体!】ぴえヨンを編成に入れて「芸能界へ！」3話を50回クリア,5000,,,
,【新年号は筋肉です】ぴえヨンを編成に入れて「芸能界へ！」3話を100回クリア,,1,,
,【背中に羽がある!】強化クエスト「ぴえヨンのブートクエスト」をクリアしよう,1000,,,
,【板チョコのようだ!】ぴえヨンを編成に入れて「ぴえヨンのブートクエスト」3話を3回クリア,500,,,
,【見てるこっちが筋肉痛!】ぴえヨンを編成に入れて「ぴえヨンのブートクエスト」3話を5回クリア,500,,,
,【マッチョの枯山水!】ぴえヨンを編成に入れて「ぴえヨンのブートクエスト」3話を10回クリア,500,,,
,【筋肉国宝!】ぴえヨンを編成に入れて「ぴえヨンのブートクエスト」3話を20回クリア,5000,,,
,【上腕二頭筋ナイス!】ぴえヨンを編成に入れて「推しの子になってやる」1話を1回挑戦,1000,,,
,【腹筋6LDK!】ぴえヨンを編成に入れて「推しの子になってやる」2話を1回挑戦,1000,,,
,【カニカマの千倍!】ぴえヨンを編成に入れて「推しの子になってやる」3話を1回挑戦,1000,,,
,【もはや説明不要!】ぴえヨンを編成に入れて「推しの子になってやる」4話を1回挑戦,1000,,,
,【背筋が立ってる!】ぴえヨンを編成に入れて「芸能界には才能が集まる」1話を1回挑戦,1000,,,
,【眠れない夜もあっただろ!】ぴえヨンを編成に入れて「芸能界には才能が集まる」2話を1回挑戦,1000,,,
,【よ!阿修羅像!】ぴえヨンを編成に入れて「芸能界には才能が集まる」3話を1回挑戦,1000,,,
,,,,,
,報酬合計数,25000,1,0,
,,,,,
,,,,,
,降臨バトルミッション,,,,
,,,,,
,,,,,
,◆年始ミッション,,,,
,,,,,
,項目,内容,,,
,施策名称,年始ミッション,,,
,開催期間,1/1(木) 00:00,〜,1/5(月) 23:59,
,,,,,
,ミッション内容,コイン,,,
,デイリークエスト「開運!ジャンブル運試し」を1回クリアしよう,1000,,,
,デイリークエスト「開運!ジャンブル運試し」を2回クリアしよう,1000,,,
,デイリークエスト「開運!ジャンブル運試し」を3回クリアしよう,3000,,,
,,,,,
,◆メインクエスト追加の恒常ミッション,,,,
,,,,,
,項目,内容,,,
,施策名称,メインクエスト追加の恒常ミッション,,,
,開催期間,1/1(木) 00:00,〜,無期限,
,,,,,
,ミッション内容,プリズム,,,
,メインクエスト「【推しの子】」の難易度ノーマルをクリアしよう,50,,,
,メインクエスト「【推しの子】」の難易度ハードをクリアしよう,50,,,
,メインクエスト「【推しの子】」の難易度エクストラをクリアしよう,50,,,
