,,,,,,,,,,,,,,
,ハイスコア報酬,,,,,ランク報酬,,,,,ランキング報酬,,,
,pt,ID,アイテム名,個数,,pt,ID,アイテム名,個数,,pt,ID,アイテム名,個数
,5000,prism_glo_00001,プリズム,20,,Bronze1,prism_glo_00001,プリズム,10,,1位,emblem_adventbattle_osh_season01_00001,エンブレム,1
,7500,Coin,コイン,1500,,Bronze1,Coin,コイン,1000,,1位,prism_glo_00001,プリズム,1000
,10000,prism_glo_00001,プリズム,30,,Bronze1,memoryfragment_glo_00001,メモリーフラグメント・初級,1,,1位,Coin,コイン,100000
,15000,Coin,コイン,3000,,Bronze2,prism_glo_00001,プリズム,10,,1位,ticket_glo_00002,スペシャルガシャチケット,5
,30000,prism_glo_00001,プリズム,50,,Bronze2,Coin,コイン,1000,,2位,emblem_adventbattle_osh_season01_00002,エンブレム,1
,45000,Coin,コイン,4500,,Bronze2,memoryfragment_glo_00001,メモリーフラグメント・初級,1,,2位,prism_glo_00001,プリズム,750
,60000,prism_glo_00001,プリズム,50,,Bronze3,prism_glo_00001,プリズム,10,,2位,Coin,コイン,75000
,75000,Coin,コイン,6000,,Bronze3,Coin,コイン,1000,,2位,ticket_glo_00002,スペシャルガシャチケット,5
,100000,prism_glo_00001,プリズム,100,,Bronze3,memoryfragment_glo_00001,メモリーフラグメント・初級,1,,3位,emblem_adventbattle_osh_season01_00003,エンブレム,1
,150000,memoryfragment_glo_00003,メモリーフラグメント・上級,1,,Bronze4,prism_glo_00001,プリズム,10,,3位,prism_glo_00001,プリズム,500
,200000,ticket_glo_00002,スペシャルガシャチケット,1,,Bronze4,Coin,コイン,1000,,3位,Coin,コイン,50000
,,error,,,,Bronze4,memoryfragment_glo_00001,メモリーフラグメント・初級,1,,3位,ticket_glo_00002,スペシャルガシャチケット,5
,,error,,,,Silver1,prism_glo_00001,プリズム,20,,4位~50位,emblem_adventbattle_osh_season01_00004,エンブレム,1
,,error,,,,Silver1,Coin,コイン,2000,,4位~50位,prism_glo_00001,プリズム,300
,,error,,,,Silver1,memoryfragment_glo_00001,メモリーフラグメント・初級,1,,4位~50位,Coin,コイン,30000
,,error,,,,Silver2,prism_glo_00001,プリズム,20,,4位~50位,ticket_glo_00002,スペシャルガシャチケット,4
,,error,,,,Silver2,Coin,コイン,2000,,51位~300位,emblem_adventbattle_osh_season01_00005,エンブレム,1
,,,,,,Silver2,memoryfragment_glo_00001,メモリーフラグメント・初級,1,,51位~300位,prism_glo_00001,プリズム,200
,,,,,,Silver3,prism_glo_00001,プリズム,20,,51位~300位,Coin,コイン,20000
,,,,,,Silver3,Coin,コイン,2000,,51位~300位,ticket_glo_00002,スペシャルガシャチケット,3
,,,,,,Silver3,memoryfragment_glo_00001,メモリーフラグメント・初級,2,,301位~1000位,emblem_adventbattle_osh_season01_00006,エンブレム,1
,,,,,,Silver4,prism_glo_00001,プリズム,20,,301位~1000位,prism_glo_00001,プリズム,150
,,,,,,Silver4,Coin,コイン,2000,,301位~1000位,Coin,コイン,15000
,,,,,,Silver4,memoryfragment_glo_00001,メモリーフラグメント・初級,2,,301位~1000位,ticket_glo_00002,スペシャルガシャチケット,3
,,,,,,Gold1,prism_glo_00001,プリズム,30,,1001位~5000位,prism_glo_00001,プリズム,100
,,,,,,Gold1,Coin,コイン,3000,,1001位~5000位,Coin,コイン,10000
,,,,,,Gold1,memoryfragment_glo_00001,メモリーフラグメント・初級,2,,1001位~5000位,ticket_glo_00002,スペシャルガシャチケット,2
,,,,,,Gold1,memoryfragment_glo_00002,メモリーフラグメント・中級,1,,5001位~10000位,prism_glo_00001,プリズム,50
,,,,,,Gold2,prism_glo_00001,プリズム,30,,5001位~10000位,Coin,コイン,5000
,,,,,,Gold2,Coin,コイン,3000,,5001位~10000位,ticket_glo_00002,スペシャルガシャチケット,2
,,,,,,Gold2,memoryfragment_glo_00001,メモリーフラグメント・初級,2,,10001位〜,prism_glo_00001,プリズム,20
,,,,,,Gold2,memoryfragment_glo_00002,メモリーフラグメント・中級,2,,10001位〜,Coin,コイン,2000
,,,,,,Gold3,prism_glo_00001,プリズム,30,,10001位〜,ticket_glo_00002,スペシャルガシャチケット,1
,,,,,,Gold3,Coin,コイン,3000,,,error,,
,,,,,,Gold3,memoryfragment_glo_00001,メモリーフラグメント・初級,2,,,error,,
,,,,,,Gold3,memoryfragment_glo_00002,メモリーフラグメント・中級,2,,,error,,
,,,,,,Gold4,prism_glo_00001,プリズム,30,,,,,
,,,,,,Gold4,Coin,コイン,3000,,,,,
,,,,,,Gold4,memoryfragment_glo_00001,メモリーフラグメント・初級,2,,,,,
,,,,,,Gold4,memoryfragment_glo_00002,メモリーフラグメント・中級,2,,,,,
,,,,,,Master1,prism_glo_00001,プリズム,40,,,,,
,,,,,,Master1,Coin,コイン,4000,,,,,
,,,,,,Master1,memoryfragment_glo_00001,メモリーフラグメント・初級,3,,,,,
,,,,,,Master1,memoryfragment_glo_00002,メモリーフラグメント・中級,2,,,,,
,,,,,,Master2,prism_glo_00001,プリズム,40,,,,,
,,,,,,Master2,Coin,コイン,4000,,,,,
,,,,,,Master2,memoryfragment_glo_00001,メモリーフラグメント・初級,3,,,,,
,,,,,,Master2,memoryfragment_glo_00002,メモリーフラグメント・中級,2,,,,,
,,,,,,Master3,prism_glo_00001,プリズム,40,,,,,
,,,,,,Master3,Coin,コイン,4000,,,,,
,,,,,,Master3,memoryfragment_glo_00001,メモリーフラグメント・初級,3,,,,,
,,,,,,Master3,memoryfragment_glo_00002,メモリーフラグメント・中級,2,,,,,
,,,,,,Master4,prism_glo_00001,プリズム,40,,,,,
,,,,,,Master4,Coin,コイン,4000,,,,,
,,,,,,Master4,memoryfragment_glo_00001,メモリーフラグメント・初級,3,,,,,
,,,,,,Master4,memoryfragment_glo_00002,メモリーフラグメント・中級,2,,,,,
,,,,,,Master4,memoryfragment_glo_00003,メモリーフラグメント・上級,1,,,,,
