"作品ID
+
施策回数",作品名,"クエスト難易度
or
種別",クエストタイプ,クエストカテゴリー,クエスト_id,クエスト名,ステージ_id,"stage_id
※降臨バトルは不要","ステージアイコン画像ID
※イベントや降臨バトルは不要",リリースキー,備考
▼メインクエスト（ノーマル）,,,,,,,,,,,
,,,,,,,,,,,
spy,SPY×FAMILY,normal,main,メインクエスト,quest_main_spy_normal_1,1.SPY FAMILY,01,normal_spy_00001,stage_icon_spy_normal_01,,
spy,SPY×FAMILY,normal,main,メインクエスト,quest_main_spy_normal_1,1.SPY FAMILY,02,normal_spy_00002,stage_icon_spy_normal_02,,
spy,SPY×FAMILY,normal,main,メインクエスト,quest_main_spy_normal_1,1.SPY FAMILY,03,normal_spy_00003,stage_icon_spy_normal_03,,
spy,SPY×FAMILY,normal,main,メインクエスト,quest_main_spy_normal_1,1.SPY FAMILY,04,normal_spy_00004,stage_icon_spy_normal_04,,
spy,SPY×FAMILY,normal,main,メインクエスト,quest_main_spy_normal_1,1.SPY FAMILY,05,normal_spy_00005,stage_icon_spy_normal_05,,
spy,SPY×FAMILY,normal,main,メインクエスト,quest_main_spy_normal_1,1.SPY FAMILY,06,normal_spy_00006,stage_icon_spy_normal_06,,
,,,,,,,,,,,
gom,姫様“拷問”の時間です,normal,main,メインクエスト,quest_main_gom_normal_2,2.姫様“拷問”の時間です,01,normal_gom_00001,stage_icon_gom_normal_01,,
gom,姫様“拷問”の時間です,normal,main,メインクエスト,quest_main_gom_normal_2,2.姫様“拷問”の時間です,02,normal_gom_00002,stage_icon_gom_normal_02,,
gom,姫様“拷問”の時間です,normal,main,メインクエスト,quest_main_gom_normal_2,2.姫様“拷問”の時間です,03,normal_gom_00003,stage_icon_gom_normal_03,,
gom,姫様“拷問”の時間です,normal,main,メインクエスト,quest_main_gom_normal_2,2.姫様“拷問”の時間です,04,normal_gom_00004,stage_icon_gom_normal_04,,
gom,姫様“拷問”の時間です,normal,main,メインクエスト,quest_main_gom_normal_2,2.姫様“拷問”の時間です,05,normal_gom_00005,stage_icon_gom_normal_05,,
gom,姫様“拷問”の時間です,normal,main,メインクエスト,quest_main_gom_normal_2,2.姫様“拷問”の時間です,06,normal_gom_00006,stage_icon_gom_normal_06,,
,,,,,,,,,,,
aka,ラーメン赤猫,normal,main,メインクエスト,quest_main_aka_normal_3,3.ラーメン赤猫,01,normal_aka_00001,stage_icon_aka_normal_01,,
aka,ラーメン赤猫,normal,main,メインクエスト,quest_main_aka_normal_3,3.ラーメン赤猫,02,normal_aka_00002,stage_icon_aka_normal_02,,
aka,ラーメン赤猫,normal,main,メインクエスト,quest_main_aka_normal_3,3.ラーメン赤猫,03,normal_aka_00003,stage_icon_aka_normal_03,,
,,,,,,,,,,,
glo1,GLOW,normal,main,メインクエスト,quest_main_glo1_normal_4,4.リミックスクエスト Vol.1,01,normal_glo1_00001,stage_icon_glo1_normal_01,,
glo1,GLOW,normal,main,メインクエスト,quest_main_glo1_normal_4,4.リミックスクエスト Vol.1,02,normal_glo1_00002,stage_icon_glo1_normal_02,,
glo1,GLOW,normal,main,メインクエスト,quest_main_glo1_normal_4,4.リミックスクエスト Vol.1,03,normal_glo1_00003,stage_icon_glo1_normal_03,,
